time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:21:38.528817,[],0,"(-0.5427543520927429, 0.413998544216156, -0.5989917516708374, -0.41860705614089966, -0.15243025124073029, 0.04103965684771538, 0.08036147803068161, 9.774434089660645, -0.2428242713212967, 0.7480320334434509, 0.15506210923194885, 0.7718106508255005, -0.06434346735477448, -0.613289475440979, -0.021479299291968346, -0.0315997488796711, 0.0866367518901825, 8.989422798156738, -3.1615822315216064, -2.489396810531616, 0.7501149773597717, 0.20162588357925415, 0.6017835736274719, -0.18582533299922943, -0.4845200479030609, 0.04398674517869949, 0.19127771258354187, 9.714824676513672, -0.5629427433013916, -2.3532350063323975, -0.03339620307087898, 0.7577448487281799, -0.2290215790271759, -0.6101282835006714, -0.00410114461556077, 0.003418056294322014, -0.011574345640838146, 9.335601806640625, -2.9094841480255127, -1.2694580554962158, -0.4500318169593811, 0.6403271555900574, -0.29740676283836365, -0.546810507774353, -0.5403689742088318, 0.0058892653323709965, -0.02205706387758255, 9.53238296508789, 0.5985994935035706, -2.6441805362701416, 0.06929387152194977, 0.33097368478775024, 0.13926425576210022, -0.9307310581207275, 0.015473580919206142, -0.013673757202923298, 0.002797611989080906, 6.151866436004639, -0.4285324513912201, 7.668824672698975, 0.22382676601409912, 0.2741917371749878, 0.38759252429008484, -0.8511712551116943, -0.2673006057739258, 0.01294166874140501, -0.06671060621738434, 6.064669609069824, -2.0059430599212646, 7.612864971160889, 0.0)"
2023/02/21/14:21:38.538634,[],0,"(-0.5427543520927429, 0.413998544216156, -0.5989917516708374, -0.41860705614089966, -0.15243025124073029, 0.04103965684771538, 0.08036147803068161, 9.774434089660645, -0.2428242713212967, 0.7480320334434509, 0.15506210923194885, 0.7718106508255005, -0.06434346735477448, -0.613289475440979, -0.021479299291968346, -0.0315997488796711, 0.0866367518901825, 8.989422798156738, -3.1615822315216064, -2.489396810531616, 0.7501149773597717, 0.20162588357925415, 0.6017835736274719, -0.18582533299922943, -0.4845200479030609, 0.04398674517869949, 0.19127771258354187, 9.714824676513672, -0.5629427433013916, -2.3532350063323975, -0.03339620307087898, 0.7577448487281799, -0.2290215790271759, -0.6101282835006714, -0.00410114461556077, 0.003418056294322014, -0.011574345640838146, 9.335601806640625, -2.9094841480255127, -1.2694580554962158, -0.4500318169593811, 0.6403271555900574, -0.29740676283836365, -0.546810507774353, -0.5403689742088318, 0.0058892653323709965, -0.02205706387758255, 9.53238296508789, 0.5985994935035706, -2.6441805362701416, 0.06929387152194977, 0.33097368478775024, 0.13926425576210022, -0.9307310581207275, 0.015473580919206142, -0.013673757202923298, 0.002797611989080906, 6.151866436004639, -0.4285324513912201, 7.668824672698975, 0.22382676601409912, 0.2741917371749878, 0.38759252429008484, -0.8511712551116943, -0.2673006057739258, 0.01294166874140501, -0.06671060621738434, 6.064669609069824, -2.0059430599212646, 7.612864971160889, 0.0)"
2023/02/21/14:21:38.548698,[],0,"(-0.5409440398216248, 0.41575804352760315, -0.5986663103103638, -0.41967061161994934, -0.048983968794345856, 0.014677264727652073, 0.008840401656925678, 9.596237182617188, -0.9924183487892151, 0.6831462383270264, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7538941502571106, 0.18184016644954681, 0.6050429940223694, -0.18027961254119873, -0.417542427778244, 0.06601602584123611, 0.277668297290802, 9.506065368652344, -0.7295140027999878, -1.7593001127243042, -0.032529883086681366, 0.757631778717041, -0.22772924602031708, -0.6107988953590393, -0.09190177917480469, 0.04191241413354874, -0.02028278261423111, 9.548920631408691, -2.911964178085327, -1.2922390699386597, -0.4500318169593811, 0.6403271555900574, -0.29740676283836365, -0.546810507774353, -0.5403689742088318, 0.0058892653323709965, -0.02205706387758255, 9.53238296508789, 0.5985994935035706, -2.6441805362701416, 0.06920672953128815, 0.3312690258026123, 0.1392282098531723, -0.9306378364562988, 0.013317489996552467, -0.028003282845020294, 1.6115813195938244e-05, 6.116325855255127, -0.4485873878002167, 7.56321382522583, 0.23481208086013794, 0.2683864235877991, 0.39872321486473083, -0.8448975086212158, -0.5024325847625732, 0.015398142859339714, -0.2752433121204376, 6.232023239135742, -1.6892269849777222, 7.41004753112793, 0.0)"
2023/02/21/14:21:38.558668,[],0,"(-0.5409440398216248, 0.41575804352760315, -0.5986663103103638, -0.41967061161994934, -0.048983968794345856, 0.014677264727652073, 0.008840401656925678, 9.596237182617188, -0.9924183487892151, 0.6831462383270264, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7538941502571106, 0.18184016644954681, 0.6050429940223694, -0.18027961254119873, -0.417542427778244, 0.06601602584123611, 0.277668297290802, 9.506065368652344, -0.7295140027999878, -1.7593001127243042, -0.032529883086681366, 0.757631778717041, -0.22772924602031708, -0.6107988953590393, -0.09190177917480469, 0.04191241413354874, -0.02028278261423111, 9.548920631408691, -2.911964178085327, -1.2922390699386597, -0.4500318169593811, 0.6403271555900574, -0.29740676283836365, -0.546810507774353, -0.5403689742088318, 0.0058892653323709965, -0.02205706387758255, 9.53238296508789, 0.5985994935035706, -2.6441805362701416, 0.06920672953128815, 0.3312690258026123, 0.1392282098531723, -0.9306378364562988, 0.013317489996552467, -0.028003282845020294, 1.6115813195938244e-05, 6.116325855255127, -0.4485873878002167, 7.56321382522583, 0.23481208086013794, 0.2683864235877991, 0.39872321486473083, -0.8448975086212158, -0.5024325847625732, 0.015398142859339714, -0.2752433121204376, 6.232023239135742, -1.6892269849777222, 7.41004753112793, 0.0)"
2023/02/21/14:21:38.568656,[],0,"(-0.5412690043449402, 0.4156413972377777, -0.598315954208374, -0.41986680030822754, 0.024791469797492027, -0.01677834801375866, -0.03488989919424057, 9.491655349731445, -0.8274840712547302, 0.49934840202331543, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7546447515487671, 0.175649493932724, 0.6062561273574829, -0.17919842898845673, -0.20394307374954224, 0.07401160150766373, 0.18403899669647217, 9.501529693603516, -0.6602668762207031, -1.9446908235549927, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.43495112657546997, 0.6500142812728882, -0.2740907073020935, -0.5596188902854919, -0.4038437008857727, -0.04367583245038986, -0.08011440187692642, 9.479610443115234, 1.5448172092437744, -1.312442421913147, 0.06896722316741943, 0.3321256637573242, 0.1391163170337677, -0.9303669929504395, 0.020634261891245842, -0.0479477122426033, -0.0026097919326275587, 6.288949012756348, -0.41134142875671387, 7.482851505279541, 0.237345352768898, 0.26768553256988525, 0.4013456702232361, -0.8431686162948608, -0.42625582218170166, -0.025247419252991676, -0.24147547781467438, 6.391364097595215, -1.416737675666809, 7.266551494598389, 0.0)"
2023/02/21/14:21:38.578549,[],0,"(-0.5412690043449402, 0.4156413972377777, -0.598315954208374, -0.41986680030822754, 0.024791469797492027, -0.01677834801375866, -0.03488989919424057, 9.491655349731445, -0.8274840712547302, 0.49934840202331543, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7546447515487671, 0.175649493932724, 0.6062561273574829, -0.17919842898845673, -0.20394307374954224, 0.07401160150766373, 0.18403899669647217, 9.501529693603516, -0.6602668762207031, -1.9446908235549927, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.43495112657546997, 0.6500142812728882, -0.2740907073020935, -0.5596188902854919, -0.4038437008857727, -0.04367583245038986, -0.08011440187692642, 9.479610443115234, 1.5448172092437744, -1.312442421913147, 0.06896722316741943, 0.3321256637573242, 0.1391163170337677, -0.9303669929504395, 0.020634261891245842, -0.0479477122426033, -0.0026097919326275587, 6.288949012756348, -0.41134142875671387, 7.482851505279541, 0.237345352768898, 0.26768553256988525, 0.4013456702232361, -0.8431686162948608, -0.42625582218170166, -0.025247419252991676, -0.24147547781467438, 6.391364097595215, -1.416737675666809, 7.266551494598389, 0.0)"
2023/02/21/14:21:38.588716,[],0,"(-0.5412690043449402, 0.4156413972377777, -0.598315954208374, -0.41986680030822754, 0.024791469797492027, -0.01677834801375866, -0.03488989919424057, 9.491655349731445, -0.8274840712547302, 0.49934840202331543, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7546447515487671, 0.175649493932724, 0.6062561273574829, -0.17919842898845673, -0.20394307374954224, 0.07401160150766373, 0.18403899669647217, 9.501529693603516, -0.6602668762207031, -1.9446908235549927, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.43495112657546997, 0.6500142812728882, -0.2740907073020935, -0.5596188902854919, -0.4038437008857727, -0.04367583245038986, -0.08011440187692642, 9.479610443115234, 1.5448172092437744, -1.312442421913147, 0.06896722316741943, 0.3321256637573242, 0.1391163170337677, -0.9303669929504395, 0.020634261891245842, -0.0479477122426033, -0.0026097919326275587, 6.288949012756348, -0.41134142875671387, 7.482851505279541, 0.237345352768898, 0.26768553256988525, 0.4013456702232361, -0.8431686162948608, -0.42625582218170166, -0.025247419252991676, -0.24147547781467438, 6.391364097595215, -1.416737675666809, 7.266551494598389, 0.0)"
2023/02/21/14:21:38.598819,[],0,"(-0.5412690043449402, 0.4156413972377777, -0.598315954208374, -0.41986680030822754, 0.024791469797492027, -0.01677834801375866, -0.03488989919424057, 9.491655349731445, -0.8274840712547302, 0.49934840202331543, 0.15583637356758118, 0.7719000577926636, -0.06443245708942413, -0.612971305847168, -0.05779307708144188, -0.021336955949664116, 0.0646476298570633, 9.201823234558105, -3.1865952014923096, -2.304783582687378, 0.7546447515487671, 0.175649493932724, 0.6062561273574829, -0.17919842898845673, -0.20394307374954224, 0.07401160150766373, 0.18403899669647217, 9.501529693603516, -0.6602668762207031, -1.9446908235549927, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.43495112657546997, 0.6500142812728882, -0.2740907073020935, -0.5596188902854919, -0.4038437008857727, -0.04367583245038986, -0.08011440187692642, 9.479610443115234, 1.5448172092437744, -1.312442421913147, 0.06896722316741943, 0.3321256637573242, 0.1391163170337677, -0.9303669929504395, 0.020634261891245842, -0.0479477122426033, -0.0026097919326275587, 6.288949012756348, -0.41134142875671387, 7.482851505279541, 0.237345352768898, 0.26768553256988525, 0.4013456702232361, -0.8431686162948608, -0.42625582218170166, -0.025247419252991676, -0.24147547781467438, 6.391364097595215, -1.416737675666809, 7.266551494598389, 0.0)"
2023/02/21/14:21:38.608665,[],0,"(-0.5417187809944153, 0.41527971625328064, -0.5983158349990845, -0.41964471340179443, 0.06605129688978195, -0.018399063497781754, -0.030604129657149315, 9.507033348083496, -0.7099269032478333, 0.4739229083061218, 0.15606994926929474, 0.7724394202232361, -0.06593772768974304, -0.612071692943573, 0.019772620871663094, -0.027810996398329735, 0.02298000268638134, 8.935192108154297, -3.174236297607422, -2.3939461708068848, 0.7543092966079712, 0.17470398545265198, 0.6067478060722351, -0.17986977100372314, -0.003709581447765231, 0.052807677537202835, 0.052590854465961456, 9.394970893859863, -0.26749783754348755, -2.0254626274108887, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.4334971010684967, 0.6508392095565796, -0.2710576355457306, -0.5612631440162659, -0.1636403650045395, 0.008402147330343723, -0.05259516462683678, 9.402261734008789, 2.0293357372283936, -1.3522846698760986, 0.06879644095897675, 0.3326939642429352, 0.13907213509082794, -0.9301831722259521, 0.008943635039031506, -0.020262351259589195, -0.002074744086712599, 6.339982986450195, -0.39191901683807373, 7.429509162902832, 0.24056123197078705, 0.2674057185649872, 0.4040184020996094, -0.8410669565200806, -0.17497026920318604, -0.05760200694203377, -0.08090297132730484, 6.607348918914795, -1.6736149787902832, 6.889640808105469, 0.0)"
2023/02/21/14:21:38.618888,[],0,"(-0.5417187809944153, 0.41527971625328064, -0.5983158349990845, -0.41964471340179443, 0.06605129688978195, -0.018399063497781754, -0.030604129657149315, 9.507033348083496, -0.7099269032478333, 0.4739229083061218, 0.15606994926929474, 0.7724394202232361, -0.06593772768974304, -0.612071692943573, 0.019772620871663094, -0.027810996398329735, 0.02298000268638134, 8.935192108154297, -3.174236297607422, -2.3939461708068848, 0.7543092966079712, 0.17470398545265198, 0.6067478060722351, -0.17986977100372314, -0.003709581447765231, 0.052807677537202835, 0.052590854465961456, 9.394970893859863, -0.26749783754348755, -2.0254626274108887, -0.032706085592508316, 0.7576475143432617, -0.22668322920799255, -0.6111589074134827, -0.029085852205753326, 0.006169639993458986, -0.03605397790670395, 9.14480209350586, -3.2420921325683594, -1.46156644821167, -0.4334971010684967, 0.6508392095565796, -0.2710576355457306, -0.5612631440162659, -0.1636403650045395, 0.008402147330343723, -0.05259516462683678, 9.402261734008789, 2.0293357372283936, -1.3522846698760986, 0.06879644095897675, 0.3326939642429352, 0.13907213509082794, -0.9301831722259521, 0.008943635039031506, -0.020262351259589195, -0.002074744086712599, 6.339982986450195, -0.39191901683807373, 7.429509162902832, 0.24056123197078705, 0.2674057185649872, 0.4040184020996094, -0.8410669565200806, -0.17497026920318604, -0.05760200694203377, -0.08090297132730484, 6.607348918914795, -1.6736149787902832, 6.889640808105469, 0.0)"
