time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:10:50.368609,[],0,"(0.5315123796463013, -0.4026414453983307, 0.6049547791481018, 0.4352059066295624, -0.012895158492028713, 0.03231299668550491, -0.009314287453889847, 9.795453071594238, -0.22486968338489532, 0.8458438515663147, -0.1717265397310257, -0.7668745517730713, 0.08206487447023392, 0.6129264235496521, -0.009137528948485851, -0.0020212382078170776, 0.005306364968419075, 8.941302299499512, -3.3554248809814453, -2.2881295680999756, -0.7526472806930542, -0.20367693901062012, -0.6097649931907654, 0.14221258461475372, -0.022269167006015778, 0.003088320605456829, -0.020471520721912384, 9.57380485534668, 0.330838143825531, -2.142477035522461, 0.020480254665017128, -0.7403962016105652, 0.23281070590019226, 0.6302326917648315, -0.01105923019349575, 0.00236133742146194, 0.003016064874827862, 9.279760360717773, -3.199118137359619, -0.9617148041725159, 0.6287886500358582, -0.47130489349365234, 0.4859144985675812, 0.38260117173194885, -0.004869360942393541, 0.0016400654567405581, 0.006560035049915314, 9.6478910446167, 0.36851051449775696, -2.3004095554351807, -0.09467341005802155, -0.3175991475582123, -0.20275402069091797, 0.9214437007904053, -0.004195588640868664, 0.002308835042640567, 0.005518360994756222, 6.0804643630981445, -0.430565744638443, 7.618635177612305, -0.2560212016105652, -0.2333790808916092, -0.49192148447036743, 0.7987493872642517, -0.007183020003139973, 0.0053167748264968395, 0.008085308596491814, 6.135781288146973, -1.740393877029419, 7.457636833190918, 0.0)"
2023/02/21/14:10:50.378624,[],0,"(0.5312508344650269, -0.40256398916244507, 0.6048859357833862, 0.43569228053092957, -0.014765852130949497, 0.02495451271533966, -0.013809824362397194, 9.770487785339355, -0.2573515474796295, 0.8260748982429504, -0.1717265397310257, -0.7668745517730713, 0.08206487447023392, 0.6129264235496521, -0.009137528948485851, -0.0020212382078170776, 0.005306364968419075, 8.941302299499512, -3.3554248809814453, -2.2881295680999756, -0.7526090145111084, -0.2036455273628235, -0.609948992729187, 0.14166989922523499, -0.025390736758708954, 0.003655822714790702, -0.02666298858821392, 9.576189994812012, 0.34242841601371765, -2.115516424179077, 0.020380541682243347, -0.7403665781021118, 0.23279446363449097, 0.6302766799926758, -0.01070585660636425, 0.0047875940799713135, 0.0020630040671676397, 9.254146575927734, -3.1513330936431885, -0.9548360705375671, 0.6287181973457336, -0.47141456604003906, 0.4859641492366791, 0.3825187385082245, 0.004080973565578461, 0.007375265937298536, 0.011334489099681377, 9.616988182067871, 0.27220577001571655, -2.276854991912842, -0.09467195719480515, -0.3176145553588867, -0.202794149518013, 0.9214297533035278, -0.0014411553274840117, 0.0033803244587033987, 0.0012967146467417479, 6.096397399902344, -0.448201060295105, 7.6014299392700195, -0.25611546635627747, -0.2332538217306137, -0.4919120967388153, 0.7987615466117859, -0.0038120870012789965, 0.0037762613501399755, 0.008038739673793316, 6.13745641708374, -1.7360016107559204, 7.470569610595703, 0.0)"
2023/02/21/14:10:50.388759,[],0,"(0.5311149954795837, -0.4024939239025116, 0.6049105525016785, 0.43588846921920776, -0.0086257578805089, 0.030001668259501457, -0.010145684704184532, 9.756551742553711, -0.24871918559074402, 0.862987220287323, -0.172052800655365, -0.7668524384498596, 0.08217207342386246, 0.6128482222557068, -0.00477273715659976, 0.0009690744918771088, 0.009360149502754211, 8.929420471191406, -3.278369903564453, -2.2728524208068848, -0.7526090145111084, -0.2036455273628235, -0.609948992729187, 0.14166989922523499, -0.025390736758708954, 0.003655822714790702, -0.02666298858821392, 9.576189994812012, 0.34242841601371765, -2.115516424179077, 0.020251082256436348, -0.7403334379196167, 0.2327948659658432, 0.6303196549415588, -0.01169765368103981, 0.005053222179412842, 0.005028633866459131, 9.265432357788086, -3.1300899982452393, -0.938497006893158, 0.6287181973457336, -0.47141456604003906, 0.4859641492366791, 0.3825187385082245, 0.004080973565578461, 0.007375265937298536, 0.011334489099681377, 9.616988182067871, 0.27220577001571655, -2.276854991912842, -0.09466823935508728, -0.3175897002220154, -0.20277246832847595, 0.9214434623718262, -0.003663843497633934, 0.008200285956263542, 0.0038893292658030987, 6.101960182189941, -0.43200188875198364, 7.5916314125061035, -0.25611546635627747, -0.2332538217306137, -0.4919120967388153, 0.7987615466117859, -0.0038120870012789965, 0.0037762613501399755, 0.008038739673793316, 6.13745641708374, -1.7360016107559204, 7.470569610595703, 0.0)"
2023/02/21/14:10:50.405905,[],0,"(0.5311149954795837, -0.4024939239025116, 0.6049105525016785, 0.43588846921920776, -0.0086257578805089, 0.030001668259501457, -0.010145684704184532, 9.756551742553711, -0.24871918559074402, 0.862987220287323, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7526090145111084, -0.2036455273628235, -0.609948992729187, 0.14166989922523499, -0.025390736758708954, 0.003655822714790702, -0.02666298858821392, 9.576189994812012, 0.34242841601371765, -2.115516424179077, 0.020251082256436348, -0.7403334379196167, 0.2327948659658432, 0.6303196549415588, -0.01169765368103981, 0.005053222179412842, 0.005028633866459131, 9.265432357788086, -3.1300899982452393, -0.938497006893158, 0.6285946369171143, -0.47159436345100403, 0.48602381348609924, 0.3824242949485779, -0.0008820765069685876, 0.004192412365227938, 0.010668317787349224, 9.631389617919922, 0.33335748314857483, -2.253117799758911, -0.09467089921236038, -0.31757092475891113, -0.20276053249835968, 0.9214522838592529, -0.0026537764351814985, 0.0072321766056120396, 0.005664787255227566, 6.106949329376221, -0.39716219902038574, 7.61250114440918, -0.25619974732398987, -0.2331206202507019, -0.4921303689479828, 0.7986389398574829, -0.004799749236553907, 0.0060557895340025425, 0.0060191648080945015, 6.137874126434326, -1.7387675046920776, 7.47391414642334, 0.0)"
2023/02/21/14:10:50.408594,[],0,"(0.5311149954795837, -0.4024939239025116, 0.6049105525016785, 0.43588846921920776, -0.0086257578805089, 0.030001668259501457, -0.010145684704184532, 9.756551742553711, -0.24871918559074402, 0.862987220287323, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7526090145111084, -0.2036455273628235, -0.609948992729187, 0.14166989922523499, -0.025390736758708954, 0.003655822714790702, -0.02666298858821392, 9.576189994812012, 0.34242841601371765, -2.115516424179077, 0.020251082256436348, -0.7403334379196167, 0.2327948659658432, 0.6303196549415588, -0.01169765368103981, 0.005053222179412842, 0.005028633866459131, 9.265432357788086, -3.1300899982452393, -0.938497006893158, 0.6285946369171143, -0.47159436345100403, 0.48602381348609924, 0.3824242949485779, -0.0008820765069685876, 0.004192412365227938, 0.010668317787349224, 9.631389617919922, 0.33335748314857483, -2.253117799758911, -0.09467089921236038, -0.31757092475891113, -0.20276053249835968, 0.9214522838592529, -0.0026537764351814985, 0.0072321766056120396, 0.005664787255227566, 6.106949329376221, -0.39716219902038574, 7.61250114440918, -0.25619974732398987, -0.2331206202507019, -0.4921303689479828, 0.7986389398574829, -0.004799749236553907, 0.0060557895340025425, 0.0060191648080945015, 6.137874126434326, -1.7387675046920776, 7.47391414642334, 0.0)"
2023/02/21/14:10:50.418633,[],0,"(0.5311149954795837, -0.4024939239025116, 0.6049105525016785, 0.43588846921920776, -0.0086257578805089, 0.030001668259501457, -0.010145684704184532, 9.756551742553711, -0.24871918559074402, 0.862987220287323, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7526090145111084, -0.2036455273628235, -0.609948992729187, 0.14166989922523499, -0.025390736758708954, 0.003655822714790702, -0.02666298858821392, 9.576189994812012, 0.34242841601371765, -2.115516424179077, 0.020251082256436348, -0.7403334379196167, 0.2327948659658432, 0.6303196549415588, -0.01169765368103981, 0.005053222179412842, 0.005028633866459131, 9.265432357788086, -3.1300899982452393, -0.938497006893158, 0.6285946369171143, -0.47159436345100403, 0.48602381348609924, 0.3824242949485779, -0.0008820765069685876, 0.004192412365227938, 0.010668317787349224, 9.631389617919922, 0.33335748314857483, -2.253117799758911, -0.09467089921236038, -0.31757092475891113, -0.20276053249835968, 0.9214522838592529, -0.0026537764351814985, 0.0072321766056120396, 0.005664787255227566, 6.106949329376221, -0.39716219902038574, 7.61250114440918, -0.25619974732398987, -0.2331206202507019, -0.4921303689479828, 0.7986389398574829, -0.004799749236553907, 0.0060557895340025425, 0.0060191648080945015, 6.137874126434326, -1.7387675046920776, 7.47391414642334, 0.0)"
2023/02/21/14:10:50.428949,[],0,"(0.5309251546859741, -0.40243464708328247, 0.6049626469612122, 0.43610215187072754, -0.01233423501253128, 0.036309462040662766, -0.006359568797051907, 9.763457298278809, -0.22067123651504517, 0.8855848908424377, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7525593042373657, -0.203900545835495, -0.610159695148468, 0.14065633714199066, -0.012179317884147167, -0.0009256015182472765, -0.027620669454336166, 9.607276916503906, 0.21384963393211365, -2.081458568572998, 0.020123286172747612, -0.7403026223182678, 0.23277141153812408, 0.6303685903549194, -0.014042429625988007, 0.005582983139902353, 0.0036957538686692715, 9.257767677307129, -3.113518238067627, -0.9292862415313721, 0.6285277009010315, -0.47186434268951416, 0.48595747351646423, 0.3822856843471527, -0.0008987257606349885, -0.0006522019393742085, 0.004886511247605085, 9.632028579711914, 0.16377076506614685, -2.2797324657440186, -0.09466005861759186, -0.3174836039543152, -0.20273326337337494, 0.9214894771575928, -0.000534481427166611, 0.008020877838134766, 0.004682281520217657, 6.091277599334717, -0.4406653046607971, 7.6293745040893555, -0.25612470507621765, -0.23316770792007446, -0.4919006824493408, 0.7987907528877258, -0.005941934883594513, 0.008603975176811218, 0.008268073201179504, 6.133565425872803, -1.717671275138855, 7.487548828125, 0.0)"
2023/02/21/14:10:50.438622,[],0,"(0.5309251546859741, -0.40243464708328247, 0.6049626469612122, 0.43610215187072754, -0.01233423501253128, 0.036309462040662766, -0.006359568797051907, 9.763457298278809, -0.22067123651504517, 0.8855848908424377, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7525593042373657, -0.203900545835495, -0.610159695148468, 0.14065633714199066, -0.012179317884147167, -0.0009256015182472765, -0.027620669454336166, 9.607276916503906, 0.21384963393211365, -2.081458568572998, 0.020123286172747612, -0.7403026223182678, 0.23277141153812408, 0.6303685903549194, -0.014042429625988007, 0.005582983139902353, 0.0036957538686692715, 9.257767677307129, -3.113518238067627, -0.9292862415313721, 0.6285277009010315, -0.47186434268951416, 0.48595747351646423, 0.3822856843471527, -0.0008987257606349885, -0.0006522019393742085, 0.004886511247605085, 9.632028579711914, 0.16377076506614685, -2.2797324657440186, -0.09466005861759186, -0.3174836039543152, -0.20273326337337494, 0.9214894771575928, -0.000534481427166611, 0.008020877838134766, 0.004682281520217657, 6.091277599334717, -0.4406653046607971, 7.6293745040893555, -0.25612470507621765, -0.23316770792007446, -0.4919006824493408, 0.7987907528877258, -0.005941934883594513, 0.008603975176811218, 0.008268073201179504, 6.133565425872803, -1.717671275138855, 7.487548828125, 0.0)"
2023/02/21/14:10:50.448961,[],0,"(0.5309251546859741, -0.40243464708328247, 0.6049626469612122, 0.43610215187072754, -0.01233423501253128, 0.036309462040662766, -0.006359568797051907, 9.763457298278809, -0.22067123651504517, 0.8855848908424377, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7525593042373657, -0.203900545835495, -0.610159695148468, 0.14065633714199066, -0.012179317884147167, -0.0009256015182472765, -0.027620669454336166, 9.607276916503906, 0.21384963393211365, -2.081458568572998, 0.020123286172747612, -0.7403026223182678, 0.23277141153812408, 0.6303685903549194, -0.014042429625988007, 0.005582983139902353, 0.0036957538686692715, 9.257767677307129, -3.113518238067627, -0.9292862415313721, 0.6285277009010315, -0.47186434268951416, 0.48595747351646423, 0.3822856843471527, -0.0008987257606349885, -0.0006522019393742085, 0.004886511247605085, 9.632028579711914, 0.16377076506614685, -2.2797324657440186, -0.09466005861759186, -0.3174836039543152, -0.20273326337337494, 0.9214894771575928, -0.000534481427166611, 0.008020877838134766, 0.004682281520217657, 6.091277599334717, -0.4406653046607971, 7.6293745040893555, -0.25612470507621765, -0.23316770792007446, -0.4919006824493408, 0.7987907528877258, -0.005941934883594513, 0.008603975176811218, 0.008268073201179504, 6.133565425872803, -1.717671275138855, 7.487548828125, 0.0)"
2023/02/21/14:10:50.458688,[],0,"(0.5302083492279053, -0.40224242210388184, 0.6051790714263916, 0.43685054779052734, -0.02271370217204094, 0.03882362321019173, -0.009376173838973045, 9.740693092346191, -0.238578200340271, 0.9204955697059631, -0.1722971498966217, -0.7668653726577759, 0.08217254281044006, 0.6127633452415466, -0.01866254210472107, 0.001064264914020896, 0.012090369127690792, 8.982349395751953, -3.2130978107452393, -2.274402379989624, -0.7526079416275024, -0.20380492508411407, -0.6102326512336731, 0.14021754264831543, -0.025384986773133278, -0.0008897535735741258, -0.022642359137535095, 9.588332176208496, 0.22130854427814484, -2.162342071533203, 0.019817084074020386, -0.7403223514556885, 0.23272204399108887, 0.6303733587265015, -0.010332233272492886, 0.0009674362954683602, 0.006352383643388748, 9.292181968688965, -3.143411636352539, -0.9340634942054749, 0.6284782290458679, -0.47200947999954224, 0.48595282435417175, 0.3821936845779419, -0.0011071608169004321, 0.005203974898904562, 0.0010150866582989693, 9.661408424377441, 0.30433568358421326, -2.3068981170654297, -0.09466005861759186, -0.3174836039543152, -0.20273326337337494, 0.9214894771575928, -0.000534481427166611, 0.008020877838134766, 0.004682281520217657, 6.091277599334717, -0.4406653046607971, 7.6293745040893555, -0.2562779486179352, -0.2330540269613266, -0.4921822249889374, 0.7986013293266296, -0.00937599316239357, 0.004605508875101805, 0.007540912367403507, 6.108851432800293, -1.734845519065857, 7.468936920166016, 0.0)"
