Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 3.000000000000000e+00,-2.734378717075250e-02
 3.010000000000000e+00,-2.732793238674546e-02
 3.020000000000000e+00,-2.731676074015184e-02
 3.030000000000000e+00,-2.731954643780878e-02
 3.040000000000000e+00,-2.734186079962488e-02
 3.050000000000000e+00,-2.738654178331934e-02
 3.060000000000000e+00,-2.745293756153055e-02
 3.070000000000000e+00,-2.753689804597271e-02
 3.080000000000000e+00,-2.763175518614672e-02
 3.090000000000000e+00,-2.772973026690154e-02
 3.100000000000000e+00,-2.782293808245633e-02
 3.110000000000000e+00,-2.790397050511653e-02
 3.120000000000000e+00,-2.796666413931075e-02
 3.130000000000000e+00,-2.800689505189781e-02
 3.140000000000000e+00,-2.802284553848996e-02
 3.150000000000000e+00,-2.801495486106228e-02
 3.160000000000000e+00,-2.798590694303299e-02
 3.170000000000000e+00,-2.794057687174818e-02
 3.180000000000000e+00,-2.788573682311937e-02
 3.190000000000000e+00,-2.782943275095831e-02
 3.200000000000000e+00,-2.778027263290668e-02
 3.210000000000000e+00,-2.774678788835216e-02
 3.220000000000000e+00,-2.773658931955669e-02
 3.230000000000000e+00,-2.775524948106689e-02
 3.240000000000000e+00,-2.780542955975769e-02
 3.250000000000000e+00,-2.788668373572237e-02
 3.260000000000000e+00,-2.799567967199240e-02
 3.270000000000000e+00,-2.812635532888847e-02
 3.280000000000000e+00,-2.827007593237738e-02
 3.290000000000000e+00,-2.841623609610131e-02
 3.300000000000000e+00,-2.855352538026548e-02
 3.310000000000000e+00,-2.867167709100864e-02
 3.320000000000000e+00,-2.876321534091733e-02
 3.330000000000000e+00,-2.882456881796039e-02
 3.340000000000000e+00,-2.885630314955270e-02
 3.350000000000000e+00,-2.886289641242246e-02
 3.360000000000000e+00,-2.885235656732538e-02
 3.370000000000000e+00,-2.883536735915444e-02
 3.380000000000000e+00,-2.882379505080639e-02
 3.390000000000000e+00,-2.882889595976909e-02
 3.400000000000000e+00,-2.885964256450108e-02
 3.410000000000000e+00,-2.892142697952975e-02
 3.420000000000000e+00,-2.901543780749473e-02
 3.430000000000000e+00,-2.913915383168626e-02
 3.440000000000000e+00,-2.928790486318996e-02
 3.450000000000000e+00,-2.945661455089565e-02
 3.460000000000000e+00,-2.964078855542327e-02
 3.470000000000000e+00,-2.983652914710165e-02
 3.480000000000000e+00,-3.004021766115616e-02
 3.490000000000000e+00,-3.024861061877039e-02
 3.500000000000000e+00,-3.045912992614137e-02
 3.510000000000000e+00,-3.066972613651094e-02
 3.520000000000000e+00,-3.087849053301644e-02
 3.530000000000000e+00,-3.108351001437525e-02
 3.540000000000000e+00,-3.128307084354748e-02
 3.550000000000000e+00,-3.147610564584143e-02
 3.560000000000000e+00,-3.166266417463844e-02
 3.570000000000000e+00,-3.184428459910366e-02
 3.580000000000000e+00,-3.202413885140984e-02
 3.590000000000000e+00,-3.220656503685885e-02
 3.600000000000000e+00,-3.239588068510402e-02
 3.610000000000000e+00,-3.259490536377026e-02
 3.620000000000000e+00,-3.280383297826255e-02
 3.630000000000000e+00,-3.301990522854731e-02
 3.640000000000000e+00,-3.323777595952036e-02
 3.650000000000000e+00,-3.345031874865114e-02
 3.660000000000000e+00,-3.364994936155016e-02
 3.670000000000000e+00,-3.383029175056043e-02
 3.680000000000000e+00,-3.398751622862262e-02
 3.690000000000000e+00,-3.412090541045976e-02
 3.700000000000000e+00,-3.423283784112683e-02
 3.710000000000000e+00,-3.432852941354592e-02
 3.720000000000000e+00,-3.441537317366353e-02
 3.730000000000000e+00,-3.450147637953387e-02
 3.740000000000000e+00,-3.459379557921578e-02
 3.750000000000000e+00,-3.469690815334971e-02
 3.760000000000000e+00,-3.481268363476777e-02
 3.770000000000000e+00,-3.494034879747396e-02
 3.780000000000000e+00,-3.507687130122687e-02
 3.790000000000000e+00,-3.521782498348098e-02
 3.800000000000000e+00,-3.535828587859124e-02
 3.810000000000000e+00,-3.549329349891887e-02
 3.820000000000000e+00,-3.561810909636198e-02
 3.830000000000000e+00,-3.572854194512022e-02
 3.840000000000000e+00,-3.582126233596948e-02
 3.850000000000000e+00,-3.589394479409606e-02
 3.860000000000000e+00,-3.594511089262230e-02
 3.870000000000000e+00,-3.597386791282352e-02
 3.880000000000000e+00,-3.597994498931974e-02
 3.890000000000000e+00,-3.596396808678343e-02
 3.900000000000000e+00,-3.592761193786136e-02
 3.910000000000000e+00,-3.587357385751378e-02
 3.920000000000000e+00,-3.580543004712446e-02
 3.930000000000000e+00,-3.572722279157427e-02
 3.940000000000000e+00,-3.564278136896722e-02
 3.950000000000000e+00,-3.555507312051988e-02
 3.960000000000000e+00,-3.546574893475701e-02
 3.970000000000000e+00,-3.537487387952756e-02
 3.980000000000000e+00,-3.528098116254030e-02
 3.990000000000000e+00,-3.518148264998686e-02
 4.000000000000000e+00,-3.507302490302613e-02
 4.010000000000000e+00,-3.495154154925719e-02
 4.020000000000000e+00,-3.481240944311566e-02
 4.030000000000000e+00,-3.465106432634966e-02
 4.040000000000000e+00,-3.446371256243827e-02
 4.050000000000000e+00,-3.424774572502470e-02
 4.060000000000000e+00,-3.400219479434748e-02
 4.070000000000000e+00,-3.372844533232264e-02
 4.080000000000000e+00,-3.343052829600517e-02
 4.090000000000000e+00,-3.311442272249974e-02
 4.100000000000000e+00,-3.278695039504272e-02
 4.110000000000000e+00,-3.245521930693169e-02
 4.120000000000000e+00,-3.212667562925880e-02
 4.130000000000000e+00,-3.180909848958726e-02
 4.140000000000000e+00,-3.151013531750936e-02
 4.150000000000000e+00,-3.123655559050417e-02
 4.160000000000000e+00,-3.099360021025229e-02
 4.170000000000000e+00,-3.078437360850898e-02
 4.180000000000000e+00,-3.060901443654890e-02
 4.190000000000000e+00,-3.046410892256019e-02
 4.200000000000000e+00,-3.034311192622510e-02
 4.210000000000000e+00,-3.023729629880042e-02
 4.220000000000000e+00,-3.013585574944171e-02
 4.230000000000000e+00,-3.002517241877605e-02
 4.240000000000000e+00,-2.988880199681102e-02
 4.250000000000000e+00,-2.970914380434472e-02
 4.260000000000000e+00,-2.947033745652048e-02
 4.270000000000000e+00,-2.916174075643499e-02
 4.280000000000000e+00,-2.877628419841632e-02
 4.290000000000000e+00,-2.831580983762049e-02
 4.300000000000000e+00,-2.778698105506922e-02
 4.310000000000000e+00,-2.720109561599864e-02
 4.320000000000000e+00,-2.657208345287424e-02
 4.330000000000000e+00,-2.591395123084077e-02
 4.340000000000000e+00,-2.523848864245081e-02
 4.350000000000000e+00,-2.455406933302267e-02
 4.360000000000000e+00,-2.386613176094703e-02
 4.370000000000000e+00,-2.317903727617809e-02
 4.380000000000000e+00,-2.249821635408662e-02
 4.390000000000000e+00,-2.183156916288843e-02
 4.400000000000000e+00,-2.118920002906054e-02
 4.410000000000000e+00,-2.058089228948349e-02
 4.420000000000000e+00,-2.001213783398051e-02
 4.430000000000000e+00,-1.948076180585777e-02
 4.440000000000000e+00,-1.897553892895193e-02
 4.450000000000000e+00,-1.847637659539871e-02
 4.460000000000000e+00,-1.795469452477152e-02
 4.470000000000000e+00,-1.737354865858171e-02
 4.480000000000000e+00,-1.668784479538487e-02
 4.490000000000000e+00,-1.584395208712154e-02
 4.500000000000000e+00,-1.477807788457972e-02
 4.510000000000000e+00,-1.341478715048091e-02
 4.520000000000000e+00,-1.166689171874964e-02
 4.530000000000000e+00,-9.436069049059116e-03
 4.540000000000000e+00,-6.613703823913966e-03
 4.550000000000000e+00,-3.082419687178304e-03
 4.560000000000000e+00, 1.281628624896225e-03
 4.570000000000000e+00, 6.606420926467125e-03
 4.580000000000000e+00, 1.302220804286846e-02
 4.590000000000000e+00, 2.065940298501426e-02
 4.600000000000000e+00, 2.964416722152019e-02
 4.610000000000000e+00, 4.008997602239030e-02
 4.620000000000000e+00, 5.208203693920425e-02
 4.630000000000000e+00, 6.566123289107384e-02
 4.640000000000000e+00, 8.080528436567024e-02
 4.650000000000000e+00, 9.741618094464261e-02
 4.660000000000000e+00, 1.153170937697766e-01
 4.670000000000000e+00, 1.342606762902751e-01
 4.680000000000000e+00, 1.539470599165423e-01
 4.690000000000000e+00, 1.740483640469738e-01
 4.700000000000000e+00, 1.942366018980499e-01
 4.710000000000000e+00, 2.142083153346380e-01
 4.720000000000000e+00, 2.337082102641758e-01
 4.730000000000000e+00, 2.525395628718360e-01
 4.740000000000000e+00, 2.705690719461550e-01
 4.750000000000000e+00, 2.877158048121331e-01
 4.760000000000000e+00, 3.039376225202117e-01
 4.770000000000000e+00, 3.192147815419608e-01
 4.780000000000000e+00, 3.335387356468599e-01
 4.790000000000000e+00, 3.469060290307013e-01
 4.800000000000000e+00, 3.593138005498209e-01
 4.810000000000000e+00, 3.707610919508262e-01
 4.820000000000000e+00, 3.812489367761073e-01
 4.830000000000000e+00, 3.907834930058114e-01
 4.840000000000000e+00, 3.993794441674979e-01
 4.850000000000000e+00, 4.070629387258229e-01
 4.860000000000000e+00, 4.138727410467161e-01
 4.870000000000000e+00, 4.198588961273100e-01
 4.880000000000000e+00, 4.250790956698264e-01
 4.890000000000000e+00, 4.295933594616904e-01
 4.900000000000000e+00, 4.334580412758278e-01
 4.910000000000000e+00, 4.367203259871775e-01
 4.920000000000000e+00, 4.394139775410222e-01
 4.930000000000000e+00, 4.415569262386969e-01
 4.940000000000000e+00, 4.431511579333299e-01
 4.950000000000000e+00, 4.441848797283013e-01
 4.960000000000000e+00, 4.446368642494888e-01
 4.970000000000000e+00, 4.444833098558687e-01
 4.980000000000000e+00, 4.437055986080090e-01
 4.990000000000000e+00, 4.422991078948288e-01
 5.000000000000000e+00, 4.402782192008676e-01
 5.010000000000000e+00, 4.376791355027502e-01
 5.020000000000000e+00, 4.345593935468991e-01
 5.029999999999999e+00, 4.309944923084575e-01
 5.040000000000000e+00, 4.270725660232370e-01
 5.050000000000000e+00, 4.228874417238350e-01
 5.060000000000000e+00, 4.185303608308982e-01
 5.070000000000000e+00, 4.140817027719948e-01
 5.080000000000000e+00, 4.096045147456879e-01
 5.090000000000000e+00, 4.051404690583650e-01
 5.100000000000000e+00, 4.007078411896048e-01
 5.109999999999999e+00, 3.963009872230905e-01
 5.120000000000000e+00, 3.918903824660944e-01
 5.130000000000000e+00, 3.874224685348793e-01
 5.140000000000001e+00, 3.828195813299795e-01
 5.150000000000000e+00, 3.779808846732022e-01
 5.160000000000000e+00, 3.727861077242511e-01
 5.170000000000000e+00, 3.671044119054727e-01
 5.180000000000000e+00, 3.608086316132779e-01
 5.190000000000000e+00, 3.537918521548856e-01
 5.200000000000000e+00, 3.459822474816779e-01
 5.210000000000000e+00, 3.373530647111571e-01
 5.220000000000001e+00, 3.279257580617186e-01
 5.230000000000000e+00, 3.177662491095538e-01
 5.240000000000000e+00, 3.069766289652115e-01
 5.250000000000000e+00, 2.956842765689397e-01
 5.260000000000000e+00, 2.840288923148643e-01
 5.270000000000000e+00, 2.721483892760451e-01
 5.279999999999999e+00, 2.601654592886574e-01
 5.290000000000000e+00, 2.481774508679518e-01
 5.300000000000000e+00, 2.362523749578860e-01
 5.310000000000000e+00, 2.244307835364871e-01
 5.320000000000000e+00, 2.127339524036017e-01
 5.330000000000000e+00, 2.011748675802001e-01
 5.340000000000000e+00, 1.897470974888524e-01
 5.350000000000000e+00, 1.784456413374691e-01
 5.359999999999999e+00, 1.672583691206905e-01
 5.370000000000000e+00, 1.561711803151876e-01
 5.380000000000000e+00, 1.451710822844610e-01
 5.390000000000001e+00, 1.342497942483152e-01
 5.400000000000000e+00, 1.234078747851648e-01
 5.410000000000000e+00, 1.126582709143700e-01
 5.420000000000000e+00, 1.020287804062680e-01
 5.430000000000000e+00, 9.156262376980860e-02
 5.440000000000000e+00, 8.131558289555942e-02
 5.450000000000000e+00, 7.134958791951555e-02
 5.460000000000000e+00, 6.172470243313454e-02
 5.470000000000001e+00, 5.249190642477689e-02
 5.480000000000000e+00, 4.368723006092353e-02
 5.490000000000000e+00, 3.532624535829086e-02
 5.500000000000000e+00, 2.739897424386567e-02
 5.510000000000000e+00, 1.986657736300020e-02
 5.520000000000000e+00, 1.266128173363785e-02
 5.529999999999999e+00, 5.690364894855512e-03
 5.540000000000000e+00,-1.156388950420655e-03
 5.550000000000000e+00,-7.997355268052769e-03
 5.560000000000000e+00,-1.494950612037346e-02
 5.570000000000000e+00,-2.212017054231236e-02
 5.580000000000000e+00,-2.960108563960387e-02
 5.590000000000000e+00,-3.746517887305147e-02
 5.600000000000000e+00,-4.576679979817097e-02
 5.609999999999999e+00,-5.454518987791340e-02
 5.620000000000000e+00,-6.382906774734014e-02
 5.630000000000000e+00,-7.364039320243332e-02
 5.640000000000001e+00,-8.399666040398678e-02
 5.650000000000000e+00,-9.491026744400062e-02
 5.660000000000000e+00,-1.063827267389631e-01
