Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00,-9.384672957276704e-03
 1.010000000000000e+00,-9.567026141319537e-03
 1.020000000000000e+00,-9.779160998167847e-03
 1.030000000000000e+00,-9.986008380703825e-03
 1.040000000000000e+00,-1.017475237359314e-02
 1.050000000000000e+00,-1.033146032174490e-02
 1.060000000000000e+00,-1.045054490575855e-02
 1.070000000000000e+00,-1.053089643508437e-02
 1.080000000000000e+00,-1.057425962887007e-02
 1.090000000000000e+00,-1.058424809199217e-02
 1.100000000000000e+00,-1.056571305015193e-02
 1.110000000000000e+00,-1.052418933096480e-02
 1.120000000000000e+00,-1.046557089146955e-02
 1.130000000000000e+00,-1.039604052973282e-02
 1.140000000000000e+00,-1.032188169199370e-02
 1.150000000000000e+00,-1.024900343507480e-02
 1.160000000000000e+00,-1.018245124173346e-02
 1.170000000000000e+00,-1.012616905395989e-02
 1.180000000000000e+00,-1.008296603288143e-02
 1.190000000000000e+00,-1.005450365010750e-02
 1.200000000000000e+00,-1.004126222877412e-02
 1.210000000000000e+00,-1.004252917323527e-02
 1.220000000000000e+00,-1.005641121541165e-02
 1.230000000000000e+00,-1.007990785200701e-02
 1.240000000000000e+00,-1.010913806792800e-02
 1.250000000000000e+00,-1.013987101953098e-02
 1.260000000000000e+00,-1.016830175366814e-02
 1.270000000000000e+00,-1.019161590774793e-02
 1.280000000000000e+00,-1.020809594692088e-02
 1.290000000000000e+00,-1.021701162336105e-02
 1.300000000000000e+00,-1.021849638610491e-02
 1.310000000000000e+00,-1.021341652468383e-02
 1.320000000000000e+00,-1.020324094583185e-02
 1.330000000000000e+00,-1.018994128918089e-02
 1.340000000000000e+00,-1.017594497333001e-02
 1.350000000000000e+00,-1.016400242977625e-02
 1.360000000000000e+00,-1.015691462492924e-02
 1.370000000000000e+00,-1.015752229264433e-02
 1.380000000000000e+00,-1.016904140903586e-02
 1.390000000000000e+00,-1.019508157108698e-02
 1.400000000000000e+00,-1.023912176497580e-02
 1.410000000000000e+00,-1.030565364049951e-02
 1.420000000000000e+00,-1.039581690845586e-02
 1.430000000000000e+00,-1.051224993271524e-02
 1.440000000000000e+00,-1.065619750690106e-02
 1.450000000000000e+00,-1.082661538410705e-02
 1.460000000000000e+00,-1.101932741342560e-02
 1.470000000000000e+00,-1.122691782469615e-02
 1.480000000000000e+00,-1.143970179452890e-02
 1.490000000000000e+00,-1.164742386362951e-02
 1.500000000000000e+00,-1.184071721466343e-02
 1.510000000000000e+00,-1.201217025823943e-02
 1.520000000000000e+00,-1.215722622804721e-02
 1.530000000000000e+00,-1.227434585989919e-02
 1.540000000000000e+00,-1.236396111077653e-02
 1.550000000000000e+00,-1.242703633160284e-02
 1.560000000000000e+00,-1.246436973102502e-02
 1.570000000000000e+00,-1.247648938516925e-02
 1.580000000000000e+00,-1.246333146757218e-02
 1.590000000000000e+00,-1.242378487977476e-02
 1.600000000000000e+00,-1.235559883318510e-02
 1.610000000000000e+00,-1.225538750732127e-02
 1.620000000000000e+00,-1.211853386269047e-02
 1.630000000000000e+00,-1.193966355688845e-02
 1.640000000000000e+00,-1.171387581078532e-02
 1.650000000000000e+00,-1.143776296993181e-02
 1.660000000000000e+00,-1.110971136863479e-02
 1.670000000000000e+00,-1.072997657929619e-02
 1.680000000000000e+00,-1.030060101068414e-02
 1.690000000000000e+00,-9.824876908190889e-03
 1.700000000000000e+00,-9.306765672512075e-03
 1.710000000000000e+00,-8.750735370679630e-03
 1.720000000000000e+00,-8.161807318794857e-03
 1.730000000000000e+00,-7.545567530562861e-03
 1.740000000000000e+00,-6.908241131133582e-03
 1.750000000000000e+00,-6.256817913242324e-03
 1.760000000000000e+00,-5.598888775769876e-03
 1.770000000000000e+00,-4.941962231630558e-03
 1.780000000000000e+00,-4.292399735310150e-03
 1.790000000000000e+00,-3.654537691646705e-03
 1.800000000000000e+00,-3.030791358119009e-03
 1.810000000000000e+00,-2.422776231399797e-03
 1.820000000000000e+00,-1.832635766501129e-03
 1.830000000000000e+00,-1.263941452172406e-03
 1.840000000000000e+00,-7.218068931243576e-04
 1.850000000000000e+00,-2.122857585002315e-04
 1.860000000000000e+00, 2.580934126896801e-04
 1.870000000000000e+00, 6.824490313738970e-04
 1.880000000000000e+00, 1.054254565515705e-03
 1.890000000000000e+00, 1.368727466964994e-03
 1.900000000000000e+00, 1.624007085292733e-03
 1.910000000000000e+00, 1.821649849623392e-03
 1.920000000000000e+00, 1.966332867295095e-03
 1.930000000000000e+00, 2.064757310990128e-03
 1.940000000000000e+00, 2.124250927695165e-03
 1.950000000000000e+00, 2.152119562290632e-03
 1.960000000000000e+00, 2.156052090942671e-03
 1.970000000000000e+00, 2.144497547993653e-03
 1.980000000000000e+00, 2.126456823796449e-03
 1.990000000000000e+00, 2.111302594986243e-03
 2.000000000000000e+00, 2.108896862031523e-03
 2.010000000000000e+00, 2.129725703021030e-03
 2.020000000000000e+00, 2.184765981348076e-03
 2.030000000000000e+00, 2.284909121753304e-03
 2.040000000000000e+00, 2.440176069648405e-03
 2.050000000000000e+00, 2.659092833752100e-03
 2.060000000000000e+00, 2.948004622748295e-03
 2.070000000000000e+00, 3.309976104687689e-03
 2.080000000000000e+00, 3.743784860558252e-03
 2.090000000000000e+00, 4.243798174650484e-03
 2.100000000000000e+00, 4.800530672402104e-03
 2.110000000000000e+00, 5.401277168374231e-03
 2.120000000000000e+00, 6.031193325205311e-03
 2.130000000000000e+00, 6.675420976368469e-03
 2.140000000000000e+00, 7.321893062010813e-03
 2.150000000000000e+00, 7.964004287689735e-03
 2.160000000000000e+00, 8.601912307977657e-03
 2.170000000000000e+00, 9.241057072421623e-03
 2.180000000000000e+00, 9.888302729214571e-03
 2.190000000000000e+00, 1.054814394861993e-02
 2.200000000000000e+00, 1.122069208627335e-02
 2.210000000000000e+00, 1.190095371542188e-02
 2.220000000000000e+00, 1.257881317785424e-02
 2.230000000000000e+00, 1.324061841616224e-02
 2.240000000000000e+00, 1.387276110138271e-02
 2.250000000000000e+00, 1.446534175639299e-02
 2.260000000000000e+00, 1.501334324839258e-02
 2.270000000000000e+00, 1.551449355137263e-02
 2.280000000000000e+00, 1.596515658666289e-02
 2.290000000000000e+00, 1.635677477595791e-02
 2.300000000000000e+00, 1.667510861038998e-02
 2.310000000000000e+00, 1.690275230669856e-02
 2.320000000000000e+00, 1.702363363270512e-02
 2.330000000000000e+00, 1.702807585340257e-02
 2.340000000000000e+00, 1.692363303716041e-02
 2.350000000000000e+00, 1.671700212786819e-02
 2.360000000000000e+00, 1.645239130713426e-02
 2.370000000000000e+00, 1.619432292751616e-02
 2.380000000000000e+00, 1.603599047751220e-02
 2.390000000000000e+00, 1.610188271026669e-02
 2.400000000000000e+00, 1.655016830479007e-02
 2.410000000000000e+00, 1.757170933545962e-02
 2.420000000000000e+00, 1.938332948121977e-02
 2.430000000000000e+00, 2.221687890632531e-02
 2.440000000000000e+00, 2.630510408679729e-02
 2.450000000000000e+00, 3.186398267979922e-02
 2.460000000000000e+00, 3.907446312645024e-02
 2.470000000000000e+00, 4.806750777996785e-02
 2.480000000000000e+00, 5.891244030978344e-02
 2.490000000000000e+00, 7.160220758970355e-02
 2.500000000000000e+00, 8.606509318093897e-02
 2.510000000000000e+00, 1.021373412328974e-01
 2.520000000000000e+00, 1.195859638069974e-01
 2.530000000000000e+00, 1.381176535096209e-01
 2.540000000000000e+00, 1.573974725801011e-01
 2.550000000000000e+00, 1.770729821013939e-01
 2.560000000000000e+00, 1.968018321041490e-01
 2.570000000000000e+00, 2.162775366781797e-01
 2.580000000000000e+00, 2.352471299234089e-01
 2.590000000000000e+00, 2.535168698911045e-01
 2.600000000000000e+00, 2.709461430700920e-01
 2.610000000000000e+00, 2.874441765014270e-01
 2.620000000000000e+00, 3.029126018228147e-01
 2.630000000000000e+00, 3.172915507818477e-01
 2.640000000000000e+00, 3.305112719302924e-01
 2.650000000000000e+00, 3.424975285930709e-01
 2.660000000000000e+00, 3.531741263989980e-01
 2.670000000000000e+00, 3.624703655230088e-01
 2.680000000000000e+00, 3.703311672969156e-01
 2.690000000000000e+00, 3.767274239599736e-01
 2.700000000000000e+00, 3.816637472388502e-01
 2.710000000000000e+00, 3.851831459163804e-01
 2.720000000000000e+00, 3.873699127002177e-01
 2.730000000000000e+00, 3.883492551597992e-01
 2.740000000000000e+00, 3.882807604833402e-01
 2.750000000000000e+00, 3.873463501035249e-01
 2.760000000000000e+00, 3.857365266370391e-01
 2.770000000000000e+00, 3.836375696573495e-01
 2.780000000000000e+00, 3.812144820988401e-01
 2.790000000000000e+00, 3.786308952572548e-01
 2.800000000000000e+00, 3.760061600428029e-01
 2.810000000000000e+00, 3.734406181191691e-01
 2.820000000000000e+00, 3.710052881001210e-01
 2.830000000000000e+00, 3.687420243092583e-01
 2.840000000000000e+00, 3.666694445856624e-01
 2.850000000000000e+00, 3.647926012603635e-01
 2.860000000000000e+00, 3.631197333300869e-01
 2.870000000000000e+00, 3.616445900380294e-01
 2.880000000000000e+00, 3.603853108046602e-01
 2.890000000000000e+00, 3.593582129641778e-01
 2.900000000000000e+00, 3.585791131814474e-01
 2.910000000000000e+00, 3.580561276001180e-01
 2.920000000000000e+00, 3.577819973047504e-01
 2.930000000000000e+00, 3.577294656681509e-01
 2.940000000000000e+00, 3.578504671833924e-01
 2.950000000000000e+00, 3.580781493203083e-01
 2.960000000000000e+00, 3.583311892818434e-01
 2.970000000000000e+00, 3.585199877059179e-01
 2.980000000000000e+00, 3.585537839072597e-01
 2.990000000000000e+00, 3.583476524214730e-01
 3.000000000000000e+00, 3.578294397649242e-01
 3.010000000000000e+00, 3.569462379715666e-01
 3.020000000000000e+00, 3.556685801568502e-01
 3.030000000000000e+00, 3.539921286567951e-01
 3.040000000000000e+00, 3.519371542023977e-01
 3.050000000000000e+00, 3.495442731812244e-01
 3.060000000000000e+00, 3.468669412484311e-01
 3.070000000000000e+00, 3.439644500677200e-01
 3.080000000000000e+00, 3.408980786812446e-01
 3.090000000000000e+00, 3.377307782008731e-01
 3.100000000000000e+00, 3.345290686508746e-01
 3.110000000000000e+00, 3.313630481240128e-01
 3.120000000000000e+00, 3.283009282471096e-01
 3.130000000000000e+00, 3.253991355595354e-01
 3.140000000000000e+00, 3.226899621923677e-01
 3.150000000000000e+00, 3.201684142335198e-01
 3.160000000000000e+00, 3.177835753602072e-01
 3.170000000000000e+00, 3.154400628435967e-01
 3.180000000000000e+00, 3.130094418742262e-01
 3.190000000000000e+00, 3.103477030543488e-01
 3.200000000000000e+00, 3.073157312783357e-01
 3.210000000000000e+00, 3.037995188390301e-01
 3.220000000000000e+00, 2.997248314930736e-01
 3.230000000000000e+00, 2.950625803142690e-01
 3.240000000000000e+00, 2.898256033401850e-01
 3.250000000000000e+00, 2.840598478005564e-01
 3.260000000000000e+00, 2.778323550417477e-01
 3.270000000000000e+00, 2.712183341340345e-01
 3.280000000000000e+00, 2.642824473216031e-01
 3.290000000000000e+00, 2.571025985116557e-01
 3.300000000000000e+00, 2.497195088158392e-01
 3.310000000000000e+00, 2.421683614091981e-01
 3.320000000000000e+00, 2.344731397349770e-01
 3.330000000000000e+00, 2.266492716773707e-01
 3.340000000000000e+00, 2.187070031594780e-01
 3.350000000000000e+00, 2.106555443126087e-01
 3.360000000000000e+00, 2.025066491300521e-01
 3.370000000000000e+00, 1.942766500477279e-01
 3.380000000000000e+00, 1.859871388801694e-01
 3.390000000000000e+00, 1.776655298697822e-01
 3.400000000000000e+00, 1.693463730707635e-01
 3.410000000000000e+00, 1.610718848351370e-01
 3.420000000000000e+00, 1.529024741459376e-01
 3.430000000000000e+00, 1.448462176601232e-01
 3.440000000000000e+00, 1.369856405827605e-01
 3.450000000000000e+00, 1.293432410627183e-01
 3.460000000000000e+00, 1.219426715906621e-01
 3.470000000000000e+00, 1.147899719798441e-01
 3.480000000000000e+00, 1.078691610464447e-01
 3.490000000000000e+00, 1.011406831993697e-01
 3.500000000000000e+00, 9.454327896524740e-02
 3.510000000000000e+00, 8.799939810098342e-02
 3.520000000000000e+00, 8.142225510666970e-02
 3.530000000000000e+00, 7.472222263985605e-02
 3.540000000000000e+00, 6.781291161787070e-02
 3.550000000000000e+00, 6.061855812574643e-02
 3.560000000000000e+00, 5.308250023565129e-02
 3.570000000000000e+00, 4.517479228971329e-02
 3.580000000000000e+00, 3.689654090575859e-02
 3.590000000000000e+00, 2.827921912606276e-02
 3.600000000000000e+00, 1.937971106093603e-02
 3.610000000000000e+00, 1.027352290392494e-02
 3.620000000000000e+00, 1.047791871016190e-03
 3.630000000000000e+00,-8.205873788585553e-03
 3.640000000000000e+00,-1.739635893548629e-02
 3.650000000000000e+00,-2.644251355963315e-02
 3.660000000000000e+00,-3.527771470952613e-02
