Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00, 2.728996417441201e-02
 1.010000000000000e+00, 2.664475559125025e-02
 1.020000000000000e+00, 2.590791219771458e-02
 1.030000000000000e+00, 2.508741190446170e-02
 1.040000000000000e+00, 2.419576168678176e-02
 1.050000000000000e+00, 2.324960178450342e-02
 1.060000000000000e+00, 2.226918444098186e-02
 1.070000000000000e+00, 2.127705157248322e-02
 1.080000000000000e+00, 2.029622399664716e-02
 1.090000000000000e+00, 1.934805192091571e-02
 1.100000000000000e+00, 1.844987847654123e-02
 1.110000000000000e+00, 1.761303242107292e-02
 1.120000000000000e+00, 1.684169035331295e-02
 1.130000000000000e+00, 1.613290779086280e-02
 1.140000000000000e+00, 1.547779496312041e-02
 1.150000000000000e+00, 1.486359047197368e-02
 1.160000000000000e+00, 1.427649179399608e-02
 1.170000000000000e+00, 1.370459875264645e-02
 1.180000000000000e+00, 1.313974536061119e-02
 1.190000000000000e+00, 1.257778046729314e-02
 1.200000000000000e+00, 1.201805199794491e-02
 1.210000000000000e+00, 1.146293641211939e-02
 1.220000000000000e+00, 1.091750054873887e-02
 1.230000000000000e+00, 1.038912567862117e-02
 1.240000000000000e+00, 9.887281857872984e-03
 1.250000000000000e+00, 9.423563177799738e-03
 1.260000000000000e+00, 9.011686509400473e-03
 1.270000000000000e+00, 8.667287724092095e-03
 1.280000000000000e+00, 8.407568205961544e-03
 1.290000000000000e+00, 8.250389298564670e-03
 1.300000000000000e+00, 8.212221026351352e-03
 1.310000000000000e+00, 8.304965610661125e-03
 1.320000000000000e+00, 8.532487038420418e-03
 1.330000000000000e+00, 8.885776211735525e-03
 1.340000000000000e+00, 9.352976893142947e-03
 1.350000000000000e+00, 9.907005100075871e-03
 1.360000000000000e+00, 1.051979491048230e-02
 1.370000000000000e+00, 1.116306246129073e-02
 1.380000000000000e+00, 1.181008993303633e-02
 1.390000000000000e+00, 1.243731621559190e-02
 1.400000000000000e+00, 1.302810339754223e-02
 1.410000000000000e+00, 1.357752282461459e-02
 1.420000000000000e+00, 1.409155072026260e-02
 1.430000000000000e+00, 1.457933682673767e-02
 1.440000000000000e+00, 1.504654864919879e-02
 1.450000000000000e+00, 1.549807425914023e-02
 1.460000000000000e+00, 1.592626367441981e-02
 1.470000000000000e+00, 1.633467581043610e-02
 1.480000000000000e+00, 1.672630315506876e-02
 1.490000000000000e+00, 1.710425537292758e-02
 1.500000000000000e+00, 1.748536270342936e-02
 1.510000000000000e+00, 1.788039738163578e-02
 1.520000000000000e+00, 1.830138562699486e-02
 1.530000000000000e+00, 1.875794987794276e-02
 1.540000000000000e+00, 1.925311715726137e-02
 1.550000000000000e+00, 1.978086564437350e-02
 1.560000000000000e+00, 2.032105567750784e-02
 1.570000000000000e+00, 2.084171952217110e-02
 1.580000000000000e+00, 2.129837658551587e-02
 1.590000000000000e+00, 2.164018004408595e-02
 1.600000000000000e+00, 2.181769812644058e-02
 1.610000000000000e+00, 2.179070010317510e-02
 1.620000000000000e+00, 2.153460036209834e-02
 1.630000000000000e+00, 2.104590026371594e-02
 1.640000000000000e+00, 2.034290068707471e-02
 1.650000000000000e+00, 1.948250433063864e-02
 1.660000000000000e+00, 1.853643399351757e-02
 1.670000000000000e+00, 1.760714313568564e-02
 1.680000000000000e+00, 1.682548750675497e-02
 1.690000000000000e+00, 1.635229286911416e-02
 1.700000000000000e+00, 1.637080755241726e-02
 1.710000000000000e+00, 1.708673780461597e-02
 1.720000000000000e+00, 1.871377764789461e-02
 1.730000000000000e+00, 2.146510950639313e-02
 1.740000000000000e+00, 2.554288690171916e-02
 1.750000000000000e+00, 3.112691099325332e-02
 1.760000000000000e+00, 3.836364530363365e-02
 1.770000000000000e+00, 4.735622346407994e-02
 1.780000000000000e+00, 5.815423247852153e-02
 1.790000000000000e+00, 7.074414907129908e-02
 1.800000000000000e+00, 8.504471960539463e-02
 1.810000000000000e+00, 1.009089045198304e-01
 1.820000000000000e+00, 1.181228870247687e-01
 1.830000000000000e+00, 1.364454428887839e-01
 1.840000000000000e+00, 1.555868643265855e-01
 1.850000000000000e+00, 1.752548779851594e-01
 1.860000000000000e+00, 1.951731478077237e-01
 1.870000000000000e+00, 2.151015205273995e-01
 1.880000000000000e+00, 2.348453649146884e-01
 1.890000000000000e+00, 2.542510442005743e-01
 1.900000000000000e+00, 2.731914096390171e-01
 1.910000000000000e+00, 2.915489944149097e-01
 1.920000000000000e+00, 3.092127417030732e-01
 1.930000000000000e+00, 3.260337697496900e-01
 1.940000000000000e+00, 3.418805993868756e-01
 1.950000000000000e+00, 3.566097152495918e-01
 1.960000000000000e+00, 3.700853590557706e-01
 1.970000000000000e+00, 3.821915536110116e-01
 1.980000000000000e+00, 3.928422904415838e-01
 1.990000000000000e+00, 4.019888963434887e-01
 2.000000000000000e+00, 4.096254192031615e-01
 2.010000000000000e+00, 4.157914508486972e-01
 2.020000000000000e+00, 4.205694339766383e-01
 2.030000000000000e+00, 4.240756677557250e-01
 2.040000000000000e+00, 4.264419444150980e-01
 2.050000000000000e+00, 4.278274002935047e-01
 2.060000000000000e+00, 4.283711018548710e-01
 2.070000000000000e+00, 4.282104957980014e-01
 2.080000000000000e+00, 4.274750477210556e-01
 2.090000000000000e+00, 4.262667052937034e-01
 2.100000000000000e+00, 4.246848431768971e-01
 2.110000000000000e+00, 4.228105719866355e-01
 2.120000000000000e+00, 4.207163840221645e-01
 2.130000000000000e+00, 4.184721694699543e-01
 2.140000000000000e+00, 4.161486177090175e-01
 2.150000000000000e+00, 4.138154441437749e-01
 2.160000000000000e+00, 4.115354977105752e-01
 2.170000000000000e+00, 4.093580671913770e-01
 2.180000000000000e+00, 4.073126125804548e-01
 2.190000000000000e+00, 4.054026933049714e-01
 2.200000000000000e+00, 4.036023655918192e-01
 2.210000000000000e+00, 4.018575864079332e-01
 2.220000000000000e+00, 4.000926365616448e-01
 2.230000000000000e+00, 3.982213870731649e-01
 2.240000000000000e+00, 3.961617110948595e-01
 2.250000000000000e+00, 3.938483305862293e-01
 2.260000000000000e+00, 3.912407335563570e-01
 2.270000000000000e+00, 3.883258066580554e-01
 2.280000000000000e+00, 3.851163939403390e-01
 2.290000000000000e+00, 3.816483549828074e-01
 2.300000000000000e+00, 3.779772819768789e-01
 2.310000000000000e+00, 3.741723138044118e-01
 2.320000000000000e+00, 3.703045657167119e-01
 2.330000000000000e+00, 3.664311448862296e-01
 2.340000000000000e+00, 3.625776712443998e-01
 2.350000000000000e+00, 3.587237497170386e-01
 2.360000000000000e+00, 3.547973582450584e-01
 2.370000000000000e+00, 3.506816255790484e-01
 2.380000000000000e+00, 3.462329880515643e-01
 2.390000000000000e+00, 3.413069627809266e-01
 2.400000000000000e+00, 3.357851070960019e-01
 2.410000000000000e+00, 3.295953266835010e-01
 2.420000000000000e+00, 3.227206529664560e-01
 2.430000000000000e+00, 3.151964697290516e-01
 2.440000000000000e+00, 3.070991638089260e-01
 2.450000000000000e+00, 2.985307514075567e-01
 2.460000000000000e+00, 2.896042692104659e-01
 2.470000000000000e+00, 2.804321422975302e-01
 2.480000000000000e+00, 2.711172056202036e-01
 2.490000000000000e+00, 2.617487716919535e-01
 2.500000000000000e+00, 2.523916202917080e-01
 2.510000000000000e+00, 2.431018562862620e-01
 2.520000000000000e+00, 2.339211734728037e-01
 2.530000000000000e+00, 2.248829301593455e-01
 2.540000000000000e+00, 2.160137693655061e-01
 2.550000000000000e+00, 2.073331594223910e-01
 2.560000000000000e+00, 1.988519368349922e-01
 2.570000000000000e+00, 1.905712447631857e-01
 2.580000000000000e+00, 1.824824277971225e-01
 2.590000000000000e+00, 1.745675086563407e-01
 2.600000000000000e+00, 1.668003562301473e-01
 2.610000000000000e+00, 1.591490853316332e-01
 2.620000000000000e+00, 1.515780842590660e-01
 2.630000000000000e+00, 1.440580307989568e-01
 2.640000000000000e+00, 1.365202643088345e-01
 2.650000000000000e+00, 1.289231983355197e-01
 2.660000000000000e+00, 1.212071752611736e-01
 2.670000000000000e+00, 1.133099293931189e-01
 2.680000000000000e+00, 1.051727438427121e-01
 2.690000000000000e+00, 9.674722555783968e-02
 2.700000000000000e+00, 8.800076473704681e-02
 2.710000000000000e+00, 7.891922410465088e-02
 2.720000000000000e+00, 6.950707823691728e-02
 2.730000000000000e+00, 5.978670475533593e-02
 2.740000000000000e+00, 4.979641808826878e-02
 2.750000000000000e+00, 3.958487250045103e-02
 2.760000000000000e+00, 2.921046438733547e-02
 2.770000000000000e+00, 1.872691927642614e-02
 2.780000000000000e+00, 8.183929787953608e-03
 2.790000000000000e+00,-2.378499892795436e-03
 2.800000000000000e+00,-1.293105344054033e-02
 2.810000000000000e+00,-2.345359970968481e-02
 2.820000000000000e+00,-3.393317799058646e-02
 2.830000000000000e+00,-4.436247489350389e-02
 2.840000000000000e+00,-5.473802293424376e-02
 2.850000000000000e+00,-6.505689260467312e-02
 2.860000000000000e+00,-7.531606709600251e-02
 2.870000000000000e+00,-8.551300331367226e-02
 2.880000000000000e+00,-9.564774898835451e-02
 2.890000000000000e+00,-1.057230967962267e-01
 2.900000000000000e+00,-1.157427319247619e-01
 2.910000000000000e+00,-1.257084907511432e-01
 2.920000000000000e+00,-1.356176526931903e-01
 2.930000000000000e+00,-1.454611411069823e-01
 2.940000000000000e+00,-1.552225286275483e-01
 2.950000000000000e+00,-1.648764167300122e-01
 2.960000000000000e+00,-1.743854862352530e-01
 2.970000000000000e+00,-1.836983678575828e-01
 2.980000000000000e+00,-1.927475222363665e-01
 2.990000000000000e+00,-2.014479421556891e-01
 3.000000000000000e+00,-2.096935682140058e-01
 3.010000000000000e+00,-2.173533996126167e-01
 3.020000000000000e+00,-2.242703058320406e-01
 3.030000000000000e+00,-2.302638804668733e-01
 3.040000000000000e+00,-2.351364465149159e-01
 3.050000000000000e+00,-2.386802708332736e-01
 3.060000000000000e+00,-2.406873632553404e-01
 3.070000000000000e+00,-2.409664995097790e-01
 3.080000000000000e+00,-2.393664333470051e-01
 3.090000000000000e+00,-2.357956950281501e-01
 3.100000000000000e+00,-2.302286852880355e-01
 3.110000000000000e+00,-2.226931315681657e-01
 3.120000000000000e+00,-2.132414291893402e-01
 3.130000000000000e+00,-2.019178246190619e-01
 3.140000000000000e+00,-1.887384625620822e-01
 3.150000000000000e+00,-1.736961693713430e-01
 3.160000000000000e+00,-1.567900667614506e-01
 3.170000000000000e+00,-1.380681012382368e-01
 3.180000000000000e+00,-1.176658292034539e-01
 3.190000000000000e+00,-9.581032178460618e-02
 3.200000000000000e+00,-7.282062794693077e-02
 3.210000000000000e+00,-4.906375000661656e-02
 3.220000000000000e+00,-2.490771929653670e-02
 3.230000000000000e+00,-6.879883064223795e-04
 3.240000000000000e+00, 2.331751200515208e-02
 3.250000000000000e+00, 4.689467630066828e-02
 3.260000000000000e+00, 6.988698830837889e-02
 3.270000000000000e+00, 9.218335264589522e-02
 3.280000000000000e+00, 1.137047945629829e-01
 3.290000000000000e+00, 1.343926326490690e-01
 3.300000000000000e+00, 1.541989525428627e-01
 3.310000000000000e+00, 1.730791169114592e-01
 3.320000000000000e+00, 1.909864352481478e-01
 3.330000000000000e+00, 2.078699636113320e-01
 3.340000000000000e+00, 2.236762750569177e-01
 3.350000000000000e+00, 2.383547134592235e-01
 3.360000000000000e+00, 2.518638694116708e-01
 3.370000000000000e+00, 2.641765764643802e-01
 3.380000000000000e+00, 2.752821885287041e-01
 3.390000000000000e+00, 2.851868900892594e-01
 3.400000000000000e+00, 2.939136848600643e-01
 3.410000000000000e+00, 3.015025402477735e-01
 3.420000000000000e+00, 3.080101220171312e-01
 3.430000000000000e+00, 3.135103096277531e-01
 3.440000000000000e+00, 3.180969775196901e-01
 3.450000000000000e+00, 3.218863996812211e-01
 3.460000000000000e+00, 3.250152292352129e-01
 3.470000000000000e+00, 3.276343091478127e-01
 3.480000000000000e+00, 3.299007797379269e-01
 3.490000000000000e+00, 3.319689150893694e-01
 3.500000000000000e+00, 3.339801303859196e-01
 3.510000000000000e+00, 3.360549669290364e-01
 3.520000000000000e+00, 3.382897669179850e-01
 3.530000000000000e+00, 3.407579324894979e-01
 3.540000000000000e+00, 3.435136143439185e-01
 3.550000000000000e+00, 3.465956674681837e-01
 3.560000000000000e+00, 3.500306055388793e-01
 3.570000000000000e+00, 3.538336628898187e-01
 3.580000000000000e+00, 3.580065758249130e-01
 3.590000000000000e+00, 3.625322214245179e-01
 3.600000000000000e+00, 3.673687976615196e-01
 3.610000000000000e+00, 3.724458059444406e-01
 3.620000000000000e+00, 3.776636364728862e-01
 3.630000000000000e+00, 3.829041774916199e-01
 3.640000000000000e+00, 3.880144326099700e-01
 3.650000000000000e+00, 3.928544851660113e-01
 3.660000000000000e+00, 3.972833873094880e-01
