Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00, 2.365963850126276e-02
 1.010000000000000e+00, 2.392838562754249e-02
 1.020000000000000e+00, 2.423972894941782e-02
 1.030000000000000e+00, 2.458929187664162e-02
 1.040000000000000e+00, 2.498046112811639e-02
 1.050000000000000e+00, 2.541711758011741e-02
 1.060000000000000e+00, 2.590068074815848e-02
 1.070000000000000e+00, 2.642980897187789e-02
 1.080000000000000e+00, 2.700131305842414e-02
 1.090000000000000e+00, 2.761059020726758e-02
 1.100000000000000e+00, 2.825116703967844e-02
 1.110000000000000e+00, 2.891475952151769e-02
 1.120000000000000e+00, 2.959240388482096e-02
 1.130000000000000e+00, 3.027577665033032e-02
 1.140000000000000e+00, 3.095846171474084e-02
 1.150000000000000e+00, 3.163681964989678e-02
 1.160000000000000e+00, 3.230966850703269e-02
 1.170000000000000e+00, 3.297718213812770e-02
 1.180000000000000e+00, 3.363946873904845e-02
 1.190000000000000e+00, 3.429436695676493e-02
 1.200000000000000e+00, 3.493475463595692e-02
 1.210000000000000e+00, 3.554674318005941e-02
 1.220000000000000e+00, 3.611137505208644e-02
 1.230000000000000e+00, 3.661275621394632e-02
 1.240000000000000e+00, 3.704912477433542e-02
 1.250000000000000e+00, 3.743607377807318e-02
 1.260000000000000e+00, 3.779855748498573e-02
 1.270000000000000e+00, 3.816128673664860e-02
 1.280000000000000e+00, 3.854475343624404e-02
 1.290000000000000e+00, 3.896881647493005e-02
 1.300000000000000e+00, 3.943653444829902e-02
 1.310000000000000e+00, 3.995914161910420e-02
 1.320000000000000e+00, 4.054356934562894e-02
 1.330000000000000e+00, 4.119710528255432e-02
 1.340000000000000e+00, 4.192379843906591e-02
 1.350000000000000e+00, 4.272128402117186e-02
 1.360000000000000e+00, 4.358262377594527e-02
 1.370000000000000e+00, 4.450195562520127e-02
 1.380000000000000e+00, 4.548031431019604e-02
 1.390000000000000e+00, 4.652678999352556e-02
 1.400000000000000e+00, 4.765283914291966e-02
 1.410000000000000e+00, 4.886429140437649e-02
 1.420000000000000e+00, 5.015649499141748e-02
 1.430000000000000e+00, 5.151351838574877e-02
 1.440000000000000e+00, 5.290964672592756e-02
 1.450000000000000e+00, 5.430645488454072e-02
 1.460000000000000e+00, 5.568035363613455e-02
 1.470000000000000e+00, 5.699809178367149e-02
 1.480000000000000e+00, 5.825056734936915e-02
 1.490000000000000e+00, 5.944938214177450e-02
 1.500000000000000e+00, 6.061621475685090e-02
 1.510000000000000e+00, 6.176972679424977e-02
 1.520000000000000e+00, 6.291976284751408e-02
 1.530000000000000e+00, 6.406799772978643e-02
 1.540000000000000e+00, 6.521143123894829e-02
 1.550000000000000e+00, 6.634664474426580e-02
 1.560000000000000e+00, 6.747218358420351e-02
 1.570000000000000e+00, 6.858799818244866e-02
 1.580000000000000e+00, 6.969370669434653e-02
 1.590000000000000e+00, 7.078713530569776e-02
 1.600000000000000e+00, 7.186305365786025e-02
 1.610000000000000e+00, 7.291214361690765e-02
 1.620000000000000e+00, 7.392186659132853e-02
 1.630000000000000e+00, 7.488139692710637e-02
 1.640000000000000e+00, 7.578904026306217e-02
 1.650000000000000e+00, 7.665612241815400e-02
 1.660000000000000e+00, 7.750457362607721e-02
 1.670000000000000e+00, 7.836576584001072e-02
 1.680000000000000e+00, 7.926313658248861e-02
 1.690000000000000e+00, 8.023085225467125e-02
 1.700000000000000e+00, 8.129787168402261e-02
 1.710000000000000e+00, 8.249115350938600e-02
 1.720000000000000e+00, 8.383479926638676e-02
 1.730000000000000e+00, 8.534613614906120e-02
 1.740000000000000e+00, 8.704088007789645e-02
 1.750000000000000e+00, 8.892791846303656e-02
 1.760000000000000e+00, 9.102190607306189e-02
 1.770000000000000e+00, 9.334290143738731e-02
 1.780000000000000e+00, 9.591348508229693e-02
 1.790000000000000e+00, 9.875596527761461e-02
 1.800000000000000e+00, 1.018921650220172e-01
 1.810000000000000e+00, 1.053397834109909e-01
 1.820000000000000e+00, 1.091239651741670e-01
 1.830000000000000e+00, 1.132528761788373e-01
 1.840000000000000e+00, 1.177308434199670e-01
 1.850000000000000e+00, 1.225574653298400e-01
 1.860000000000000e+00, 1.277284257768201e-01
 1.870000000000000e+00, 1.332370865028513e-01
 1.880000000000000e+00, 1.390797485616891e-01
 1.890000000000000e+00, 1.452611285706566e-01
 1.900000000000000e+00, 1.517940244220070e-01
 1.910000000000000e+00, 1.586922024174643e-01
 1.920000000000000e+00, 1.659614864430810e-01
 1.930000000000000e+00, 1.735946582138003e-01
 1.940000000000000e+00, 1.815768987515257e-01
 1.950000000000000e+00, 1.898667130593345e-01
 1.960000000000000e+00, 1.984217638694721e-01
 1.970000000000000e+00, 2.072006494671272e-01
 1.980000000000000e+00, 2.161383708236189e-01
 1.990000000000000e+00, 2.251725469296572e-01
 2.000000000000000e+00, 2.342419289765176e-01
 2.010000000000000e+00, 2.432894251367542e-01
 2.020000000000000e+00, 2.522641952908138e-01
 2.030000000000000e+00, 2.611232796652225e-01
 2.040000000000000e+00, 2.698337427238737e-01
 2.050000000000000e+00, 2.783752942609299e-01
 2.060000000000000e+00, 2.867425137629572e-01
 2.070000000000000e+00, 2.949448746760844e-01
 2.080000000000000e+00, 3.030016322627861e-01
 2.090000000000000e+00, 3.109322932394899e-01
 2.100000000000000e+00, 3.187491822389535e-01
 2.110000000000000e+00, 3.264565365579289e-01
 2.120000000000000e+00, 3.340536512545814e-01
 2.130000000000000e+00, 3.415382298003544e-01
 2.140000000000000e+00, 3.489086134628694e-01
 2.150000000000000e+00, 3.561645645864883e-01
 2.160000000000000e+00, 3.633069656719217e-01
 2.170000000000000e+00, 3.703372742611827e-01
 2.180000000000000e+00, 3.772564868511583e-01
 2.190000000000000e+00, 3.840628757940955e-01
 2.200000000000000e+00, 3.907496899101395e-01
 2.210000000000000e+00, 3.973054206755994e-01
 2.220000000000000e+00, 4.037167228029099e-01
 2.230000000000000e+00, 4.099717483660350e-01
 2.240000000000000e+00, 4.160628991805365e-01
 2.250000000000000e+00, 4.219881363086848e-01
 2.260000000000000e+00, 4.277495166158277e-01
 2.270000000000000e+00, 4.333494299645108e-01
 2.280000000000000e+00, 4.387843968397185e-01
 2.290000000000000e+00, 4.440460292449903e-01
 2.300000000000000e+00, 4.491127479223384e-01
 2.310000000000000e+00, 4.539575591453683e-01
 2.320000000000000e+00, 4.585502479733949e-01
 2.330000000000000e+00, 4.628607689398768e-01
 2.340000000000000e+00, 4.668622258387876e-01
 2.350000000000000e+00, 4.705317918771013e-01
 2.360000000000000e+00, 4.738503700494556e-01
 2.370000000000000e+00, 4.768035069087398e-01
 2.380000000000000e+00, 4.793831823823678e-01
 2.390000000000000e+00, 4.815880327043416e-01
 2.400000000000000e+00, 4.834213294087248e-01
 2.410000000000000e+00, 4.848890300302461e-01
 2.420000000000000e+00, 4.860004504210157e-01
 2.430000000000000e+00, 4.867705940338287e-01
 2.440000000000000e+00, 4.872210360173738e-01
 2.450000000000000e+00, 4.873786539330522e-01
 2.460000000000000e+00, 4.872736287695827e-01
 2.470000000000000e+00, 4.869364984533583e-01
 2.480000000000000e+00, 4.863933549959124e-01
 2.490000000000000e+00, 4.856612444141339e-01
 2.500000000000000e+00, 4.847472222596330e-01
 2.510000000000000e+00, 4.836512493275951e-01
 2.520000000000000e+00, 4.823701885923802e-01
 2.530000000000000e+00, 4.809021618087040e-01
 2.540000000000000e+00, 4.792521428999781e-01
 2.550000000000000e+00, 4.774364790045508e-01
 2.560000000000000e+00, 4.754825852573476e-01
 2.570000000000000e+00, 4.734235019413902e-01
 2.580000000000000e+00, 4.712890627970328e-01
 2.590000000000000e+00, 4.690948255884326e-01
 2.600000000000000e+00, 4.668308064009650e-01
 2.610000000000000e+00, 4.644536514785070e-01
 2.620000000000000e+00, 4.618860099768862e-01
 2.630000000000000e+00, 4.590246754992956e-01
 2.640000000000000e+00, 4.557550198815297e-01
 2.650000000000000e+00, 4.519674834337579e-01
 2.660000000000000e+00, 4.475728077170331e-01
 2.670000000000000e+00, 4.425131474133400e-01
 2.680000000000000e+00, 4.367667539223560e-01
 2.690000000000000e+00, 4.303450041927896e-01
 2.700000000000000e+00, 4.232815322024322e-01
 2.710000000000000e+00, 4.156161519833827e-01
 2.720000000000000e+00, 4.073803292093335e-01
 2.730000000000000e+00, 3.985906390905927e-01
 2.740000000000000e+00, 3.892515312448084e-01
 2.750000000000000e+00, 3.793629055546038e-01
 2.760000000000000e+00, 3.689358585570761e-01
 2.770000000000000e+00, 3.579952160310365e-01
 2.780000000000000e+00, 3.465890044419700e-01
 2.790000000000000e+00, 3.347940022775887e-01
 2.800000000000000e+00, 3.227064449793792e-01
 2.810000000000000e+00, 3.104321808445778e-01
 2.820000000000000e+00, 2.980745279544114e-01
 2.830000000000000e+00, 2.857237934325749e-01
 2.840000000000000e+00, 2.734502175305163e-01
 2.850000000000000e+00, 2.613012338732752e-01
 2.860000000000000e+00, 2.493026803461586e-01
 2.870000000000000e+00, 2.374627341653365e-01
 2.880000000000000e+00, 2.257767340752202e-01
 2.890000000000000e+00, 2.142313231951357e-01
 2.900000000000000e+00, 2.028078453367409e-01
 2.910000000000000e+00, 1.914847836486416e-01
 2.920000000000000e+00, 1.802379625177372e-01
 2.930000000000000e+00, 1.690394581654409e-01
 2.940000000000000e+00, 1.578584651243110e-01
 2.950000000000000e+00, 1.466654392253407e-01
 2.960000000000000e+00, 1.354375065767905e-01
 2.970000000000000e+00, 1.241621446450403e-01
 2.980000000000000e+00, 1.128385513866148e-01
 2.990000000000000e+00, 1.014775786056207e-01
 3.000000000000000e+00, 9.009942618441359e-02
 3.010000000000000e+00, 7.872925506094658e-02
 3.020000000000000e+00, 6.739322815394480e-02
 3.030000000000000e+00, 5.611570327335816e-02
 3.040000000000000e+00, 4.491683496426948e-02
 3.050000000000000e+00, 3.381186359772786e-02
 3.060000000000000e+00, 2.281325224511449e-02
 3.070000000000000e+00, 1.193351778745254e-02
 3.080000000000000e+00, 1.185829292763768e-03
 3.090000000000000e+00,-9.418567821922307e-03
 3.100000000000000e+00,-1.987552274875537e-02
 3.110000000000000e+00,-3.019363772628668e-02
 3.120000000000000e+00,-4.039730820607270e-02
 3.130000000000000e+00,-5.052522339365312e-02
 3.140000000000000e+00,-6.062471786434950e-02
 3.150000000000000e+00,-7.074295400095777e-02
 3.160000000000000e+00,-8.091507238481371e-02
 3.170000000000000e+00,-9.115094447119147e-02
 3.180000000000000e+00,-1.014243975169119e-01
 3.190000000000000e+00,-1.116680944492461e-01
 3.200000000000000e+00,-1.217668734240890e-01
 3.210000000000000e+00,-1.316109855538951e-01
 3.220000000000000e+00,-1.410232892953053e-01
 3.230000000000000e+00,-1.498632523690952e-01
 3.240000000000000e+00,-1.579969772879943e-01
 3.250000000000000e+00,-1.653144719236659e-01
 3.260000000000000e+00,-1.717329884244737e-01
 3.270000000000000e+00,-1.771959475434531e-01
 3.280000000000000e+00,-1.816668764319290e-01
 3.290000000000000e+00,-1.851170992070224e-01
 3.300000000000000e+00,-1.875080344203097e-01
 3.310000000000000e+00,-1.887730940031719e-01
 3.320000000000000e+00,-1.888054458486468e-01
 3.330000000000000e+00,-1.874557889618553e-01
 3.340000000000000e+00,-1.845423394212712e-01
 3.350000000000000e+00,-1.798727080612261e-01
 3.360000000000000e+00,-1.732731724560874e-01
 3.370000000000000e+00,-1.646175531975871e-01
 3.380000000000000e+00,-1.538477624042141e-01
 3.390000000000000e+00,-1.409805438519550e-01
 3.400000000000000e+00,-1.260993374981865e-01
 3.410000000000000e+00,-1.093361316534337e-01
 3.420000000000000e+00,-9.085083665205923e-02
 3.430000000000000e+00,-7.081370800545318e-02
 3.440000000000000e+00,-4.939494533091988e-02
 3.450000000000000e+00,-2.676376137220624e-02
 3.460000000000000e+00,-3.094801462663071e-03
 3.470000000000000e+00, 2.142286981037263e-02
 3.480000000000000e+00, 4.657856938096160e-02
 3.490000000000000e+00, 7.213805220414576e-02
 3.500000000000000e+00, 9.784977286772931e-02
 3.510000000000000e+00, 1.234592753484179e-01
 3.520000000000000e+00, 1.487268269395191e-01
 3.530000000000000e+00, 1.734434385916774e-01
 3.540000000000000e+00, 1.974440292152848e-01
 3.550000000000000e+00, 2.206163264210632e-01
 3.560000000000000e+00, 2.429024994941352e-01
 3.570000000000000e+00, 2.642929286202226e-01
 3.580000000000000e+00, 2.848156682411487e-01
 3.590000000000000e+00, 3.045146674159551e-01
 3.600000000000000e+00, 3.234444563268246e-01
 3.610000000000000e+00, 3.416525748716703e-01
 3.620000000000000e+00, 3.591747924044542e-01
 3.630000000000000e+00, 3.760317353252481e-01
 3.640000000000000e+00, 3.922279804962786e-01
 3.650000000000000e+00, 4.077537617360851e-01
 3.660000000000000e+00, 4.225881890317985e-01
