Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00,-1.684098201369499e-01
 1.010000000000000e+00,-1.681816310063291e-01
 1.020000000000000e+00,-1.679007106190450e-01
 1.030000000000000e+00,-1.675617876851654e-01
 1.040000000000000e+00,-1.671621829700925e-01
 1.050000000000000e+00,-1.667008953529314e-01
 1.060000000000000e+00,-1.661774723806754e-01
 1.070000000000000e+00,-1.655904614589023e-01
 1.080000000000000e+00,-1.649355304328576e-01
 1.090000000000000e+00,-1.642039698728213e-01
 1.100000000000000e+00,-1.633829324137643e-01
 1.110000000000000e+00,-1.624573130648183e-01
 1.120000000000000e+00,-1.614116620166657e-01
 1.130000000000000e+00,-1.602313252714976e-01
 1.140000000000000e+00,-1.589034492895265e-01
 1.150000000000000e+00,-1.574184469164714e-01
 1.160000000000000e+00,-1.557712891401323e-01
 1.170000000000000e+00,-1.539615866026409e-01
 1.180000000000000e+00,-1.519927282032584e-01
 1.190000000000000e+00,-1.498714133469116e-01
 1.200000000000000e+00,-1.476079742348380e-01
 1.210000000000000e+00,-1.452162738369513e-01
 1.220000000000000e+00,-1.427123047708575e-01
 1.230000000000000e+00,-1.401130952349036e-01
 1.240000000000000e+00,-1.374385844193963e-01
 1.250000000000000e+00,-1.347160440828481e-01
 1.260000000000000e+00,-1.319830702501634e-01
 1.270000000000000e+00,-1.292861624640857e-01
 1.280000000000000e+00,-1.266759686831514e-01
 1.290000000000000e+00,-1.242016831319327e-01
 1.300000000000000e+00,-1.219051954558442e-01
 1.310000000000000e+00,-1.198156579550275e-01
 1.320000000000000e+00,-1.179467682579568e-01
 1.330000000000000e+00,-1.162976702896624e-01
 1.340000000000000e+00,-1.148560168766759e-01
 1.350000000000000e+00,-1.136017408473581e-01
 1.360000000000000e+00,-1.125107897833626e-01
 1.370000000000000e+00,-1.115581189642472e-01
 1.380000000000000e+00,-1.107195739419830e-01
 1.390000000000000e+00,-1.099727746419214e-01
 1.400000000000000e+00,-1.092970061653068e-01
 1.410000000000000e+00,-1.086723460437299e-01
 1.420000000000000e+00,-1.080786666354578e-01
 1.430000000000000e+00,-1.074949353020168e-01
 1.440000000000000e+00,-1.068994013696040e-01
 1.450000000000000e+00,-1.062711129911487e-01
 1.460000000000000e+00,-1.055920042769041e-01
 1.470000000000000e+00,-1.048484840952814e-01
 1.480000000000000e+00,-1.040321556309158e-01
 1.490000000000000e+00,-1.031400685226643e-01
 1.500000000000000e+00,-1.021752231049293e-01
 1.510000000000000e+00,-1.011470840481864e-01
 1.520000000000000e+00,-1.000711818013446e-01
 1.530000000000000e+00,-9.896763962979613e-02
 1.540000000000000e+00,-9.785894303159977e-02
 1.550000000000000e+00,-9.676685234405039e-02
 1.560000000000000e+00,-9.570794270007846e-02
 1.570000000000000e+00,-9.468789211451538e-02
 1.580000000000000e+00,-9.369838908160710e-02
 1.590000000000000e+00,-9.272277740376803e-02
 1.600000000000000e+00,-9.174835418551669e-02
 1.610000000000000e+00,-9.077494627658460e-02
 1.620000000000000e+00,-8.981510087530475e-02
 1.630000000000000e+00,-8.888942735607755e-02
 1.640000000000000e+00,-8.802108364123257e-02
 1.650000000000000e+00,-8.723178399550824e-02
 1.660000000000000e+00,-8.654013293844882e-02
 1.670000000000000e+00,-8.596139855455354e-02
 1.680000000000000e+00,-8.550775794620442e-02
 1.690000000000000e+00,-8.518856803080077e-02
 1.700000000000000e+00,-8.501009255371063e-02
 1.710000000000000e+00,-8.497432449734321e-02
 1.720000000000000e+00,-8.507769156478662e-02
 1.730000000000000e+00,-8.531100837288115e-02
 1.740000000000000e+00,-8.566087817175347e-02
 1.750000000000000e+00,-8.611153382212046e-02
 1.760000000000000e+00,-8.664636521183773e-02
 1.770000000000000e+00,-8.724923331713529e-02
 1.780000000000000e+00,-8.790579521222440e-02
 1.790000000000000e+00,-8.860426043090024e-02
 1.800000000000000e+00,-8.933477733300874e-02
 1.810000000000000e+00,-9.008795280308604e-02
 1.820000000000000e+00,-9.085365059437012e-02
 1.830000000000000e+00,-9.162014855637124e-02
 1.840000000000000e+00,-9.237346871994810e-02
 1.850000000000000e+00,-9.309725101374905e-02
 1.860000000000000e+00,-9.377300075883474e-02
 1.870000000000000e+00,-9.438006421159559e-02
 1.880000000000000e+00,-9.489556790472313e-02
 1.890000000000000e+00,-9.529540164497981e-02
 1.900000000000000e+00,-9.555649515401819e-02
 1.910000000000000e+00,-9.565929993881302e-02
 1.920000000000000e+00,-9.558946104519253e-02
 1.930000000000000e+00,-9.533841159559463e-02
 1.940000000000000e+00,-9.490313493610342e-02
 1.950000000000000e+00,-9.428521306700109e-02
 1.960000000000000e+00,-9.348866049073472e-02
 1.970000000000000e+00,-9.251723813128258e-02
 1.980000000000000e+00,-9.137377947816909e-02
 1.990000000000000e+00,-9.006259387305349e-02
 2.000000000000000e+00,-8.859308335591327e-02
 2.010000000000000e+00,-8.698203189530654e-02
 2.020000000000000e+00,-8.525341909638690e-02
 2.030000000000000e+00,-8.343633005485408e-02
 2.040000000000000e+00,-8.156214227016664e-02
 2.050000000000000e+00,-7.966614154957762e-02
 2.060000000000000e+00,-7.776809375348763e-02
 2.070000000000000e+00,-7.589700846285025e-02
 2.080000000000000e+00,-7.407260898302843e-02
 2.090000000000000e+00,-7.230773757145940e-02
 2.100000000000000e+00,-7.060827526444516e-02
 2.110000000000000e+00,-6.897603256442886e-02
 2.120000000000000e+00,-6.741221378093047e-02
 2.130000000000000e+00,-6.591891133802526e-02
 2.140000000000000e+00,-6.449945674679179e-02
 2.150000000000000e+00,-6.315674672812804e-02
 2.160000000000000e+00,-6.190374172963423e-02
 2.170000000000000e+00,-6.074694640981552e-02
 2.180000000000000e+00,-5.969681571993797e-02
 2.190000000000000e+00,-5.876492000337082e-02
 2.200000000000000e+00,-5.796252218242529e-02
 2.210000000000000e+00,-5.729759570434753e-02
 2.220000000000000e+00,-5.677284392267452e-02
 2.230000000000000e+00,-5.638615990247886e-02
 2.240000000000000e+00,-5.613237228296052e-02
 2.250000000000000e+00,-5.600429420390363e-02
 2.260000000000000e+00,-5.599193305585044e-02
 2.270000000000000e+00,-5.608017771541420e-02
 2.280000000000000e+00,-5.624644387331974e-02
 2.290000000000000e+00,-5.646058631072865e-02
 2.300000000000000e+00,-5.668846911092368e-02
 2.310000000000000e+00,-5.689736609724208e-02
 2.320000000000000e+00,-5.705993640840028e-02
 2.330000000000000e+00,-5.715595470780678e-02
 2.340000000000000e+00,-5.717304330374044e-02
 2.350000000000000e+00,-5.710719261898441e-02
 2.360000000000000e+00,-5.696360741114111e-02
 2.370000000000000e+00,-5.675760319569149e-02
 2.380000000000000e+00,-5.651289318742142e-02
 2.390000000000000e+00,-5.625574731710851e-02
 2.400000000000000e+00,-5.600724282372023e-02
 2.410000000000000e+00,-5.577530018485027e-02
 2.420000000000000e+00,-5.554700258157670e-02
 2.430000000000000e+00,-5.528350868685540e-02
 2.440000000000000e+00,-5.491847803589645e-02
 2.450000000000000e+00,-5.435757963170645e-02
 2.460000000000000e+00,-5.347806642207326e-02
 2.470000000000000e+00,-5.212418003220563e-02
 2.480000000000000e+00,-5.013931806234016e-02
 2.490000000000000e+00,-4.733592689950303e-02
 2.500000000000000e+00,-4.352910440219850e-02
 2.510000000000000e+00,-3.854117657575003e-02
 2.520000000000000e+00,-3.221408237778953e-02
 2.530000000000000e+00,-2.442216322162142e-02
 2.540000000000000e+00,-1.508616265999766e-02
 2.550000000000000e+00,-4.188033896868447e-03
 2.560000000000000e+00, 8.218455362416298e-03
 2.570000000000000e+00, 2.200683827675309e-02
 2.580000000000000e+00, 3.698794783114308e-02
 2.590000000000000e+00, 5.292699330209775e-02
 2.600000000000000e+00, 6.956147486065936e-02
 2.610000000000000e+00, 8.661728984187775e-02
 2.620000000000000e+00, 1.038245319096112e-01
 2.630000000000000e+00, 1.209324135798683e-01
 2.640000000000000e+00, 1.377213735228773e-01
 2.650000000000000e+00, 1.540113937971073e-01
 2.660000000000000e+00, 1.696643226629532e-01
 2.670000000000000e+00, 1.845789557606227e-01
 2.680000000000000e+00, 1.986823921615289e-01
 2.690000000000000e+00, 2.119236076076265e-01
 2.700000000000000e+00, 2.242717780172694e-01
 2.710000000000000e+00, 2.357172849003047e-01
 2.720000000000000e+00, 2.462729220612004e-01
 2.730000000000000e+00, 2.559740856899955e-01
 2.740000000000000e+00, 2.648763701622570e-01
 2.750000000000000e+00, 2.730549238053726e-01
 2.760000000000000e+00, 2.805952747571568e-01
 2.770000000000000e+00, 2.875910907496013e-01
 2.780000000000000e+00, 2.941371672069648e-01
 2.790000000000000e+00, 3.003234083679560e-01
 2.800000000000000e+00, 3.062301553681683e-01
 2.810000000000000e+00, 3.119243932196113e-01
 2.820000000000000e+00, 3.174553855702600e-01
 2.830000000000000e+00, 3.228501306558657e-01
 2.840000000000000e+00, 3.281116954184497e-01
 2.850000000000000e+00, 3.332225420580446e-01
 2.860000000000000e+00, 3.381516600213375e-01
 2.870000000000000e+00, 3.428629965099388e-01
 2.880000000000000e+00, 3.473226876707391e-01
 2.890000000000000e+00, 3.515040771254699e-01
 2.900000000000000e+00, 3.553910842355669e-01
 2.910000000000000e+00, 3.589792301761119e-01
 2.920000000000000e+00, 3.622739237528854e-01
 2.930000000000000e+00, 3.652880888068349e-01
 2.940000000000000e+00, 3.680402894663145e-01
 2.950000000000000e+00, 3.705570634254830e-01
 2.960000000000000e+00, 3.728488887144630e-01
 2.970000000000000e+00, 3.749366592088784e-01
 2.980000000000000e+00, 3.768249258392293e-01
 2.990000000000000e+00, 3.785291017417843e-01
 3.000000000000000e+00, 3.800397129044702e-01
 3.010000000000000e+00, 3.813457947191430e-01
 3.020000000000000e+00, 3.824324110913266e-01
 3.030000000000000e+00, 3.832849057172756e-01
 3.040000000000000e+00, 3.838931442025281e-01
 3.050000000000000e+00, 3.842568445754370e-01
 3.060000000000000e+00, 3.843923693521905e-01
 3.070000000000000e+00, 3.843384919637089e-01
 3.080000000000000e+00, 3.841588731448450e-01
 3.090000000000000e+00, 3.839419771116773e-01
 3.100000000000000e+00, 3.837992952863685e-01
 3.110000000000000e+00, 3.838599289411157e-01
 3.120000000000000e+00, 3.842605789174964e-01
 3.130000000000000e+00, 3.851331472043610e-01
 3.140000000000000e+00, 3.865883843676895e-01
 3.150000000000000e+00, 3.886899906598978e-01
 3.160000000000000e+00, 3.914198658499102e-01
 3.170000000000000e+00, 3.946451892054310e-01
 3.180000000000000e+00, 3.981105659586040e-01
 3.190000000000000e+00, 4.014546046930782e-01
 3.200000000000000e+00, 4.042660319867457e-01
 3.210000000000000e+00, 4.061482893160759e-01
 3.220000000000000e+00, 4.067788135052928e-01
 3.230000000000000e+00, 4.059458783410528e-01
 3.240000000000000e+00, 4.035563945754697e-01
 3.250000000000000e+00, 3.996236886284462e-01
 3.260000000000000e+00, 3.942487645620749e-01
 3.270000000000000e+00, 3.875961201969663e-01
 3.280000000000000e+00, 3.798612329571592e-01
 3.290000000000000e+00, 3.712350819420043e-01
 3.300000000000000e+00, 3.618804520981818e-01
 3.310000000000000e+00, 3.519189957622712e-01
 3.320000000000000e+00, 3.414284669591545e-01
 3.330000000000000e+00, 3.304463882301273e-01
 3.340000000000000e+00, 3.189820874911024e-01
 3.350000000000000e+00, 3.070348022796254e-01
 3.360000000000000e+00, 2.946110474463802e-01
 3.370000000000000e+00, 2.817366911102324e-01
 3.380000000000000e+00, 2.684623393885162e-01
 3.390000000000000e+00, 2.548638131393712e-01
 3.400000000000000e+00, 2.410401057260798e-01
 3.410000000000000e+00, 2.271077211412852e-01
 3.420000000000000e+00, 2.131914926802591e-01
 3.430000000000000e+00, 1.994154480927693e-01
 3.440000000000000e+00, 1.858943795603599e-01
 3.450000000000000e+00, 1.727247290716787e-01
 3.460000000000000e+00, 1.599766978492127e-01
 3.470000000000000e+00, 1.476962553275358e-01
 3.480000000000000e+00, 1.358802928011475e-01
 3.490000000000000e+00, 1.245168256932115e-01
 3.500000000000000e+00, 1.135633429448235e-01
 3.510000000000000e+00, 1.029598339521375e-01
 3.520000000000000e+00, 9.263372297262823e-02
 3.530000000000000e+00, 8.249939996296181e-02
 3.540000000000000e+00, 7.245556382725564e-02
 3.550000000000000e+00, 6.238697602176393e-02
 3.560000000000000e+00, 5.217025858442093e-02
 3.570000000000000e+00, 4.167848038637700e-02
 3.580000000000000e+00, 3.078370016946899e-02
 3.590000000000000e+00, 1.936132858486366e-02
 3.600000000000000e+00, 7.297576775285889e-03
 3.610000000000000e+00,-5.505744290777517e-03
 3.620000000000000e+00,-1.910273060812932e-02
 3.630000000000000e+00,-3.350973074676108e-02
 3.640000000000000e+00,-4.867604141968499e-02
 3.650000000000000e+00,-6.448538588991090e-02
 3.660000000000000e+00,-8.076718943429882e-02
