Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00,-1.667946726585022e-02
 1.040000000000000e+00,-2.136627181480872e-02
 1.050000000000000e+00,-2.615079004137576e-02
 1.060000000000000e+00,-3.079594440512968e-02
 1.070000000000000e+00,-3.505837814988008e-02
 1.080000000000000e+00,-3.862322327425706e-02
 1.090000000000000e+00,-4.140998774328114e-02
 1.100000000000000e+00,-4.367834915436964e-02
 1.110000000000000e+00,-4.478706215693044e-02
 1.120000000000000e+00,-4.464553585284927e-02
 1.130000000000000e+00,-4.378946671926173e-02
 1.140000000000000e+00,-4.184010497120311e-02
 1.150000000000000e+00,-3.863222831869709e-02
 1.160000000000000e+00,-3.391025221365761e-02
 1.170000000000000e+00,-2.743753457769725e-02
 1.180000000000000e+00,-1.906161146654512e-02
 1.190000000000000e+00,-8.753036802331013e-03
 1.200000000000000e+00, 3.348038990274730e-03
 1.210000000000000e+00, 1.706153437123603e-02
 1.220000000000000e+00, 3.231522125630923e-02
 1.230000000000000e+00, 4.913884893571897e-02
 1.240000000000000e+00, 6.747279578999253e-02
 1.250000000000000e+00, 8.696509962715684e-02
 1.260000000000000e+00, 1.068940927304913e-01
 1.270000000000000e+00, 1.262242406056284e-01
 1.280000000000000e+00, 1.437604833874599e-01
 1.290000000000000e+00, 1.583271489572783e-01
 1.300000000000000e+00, 1.689043324996709e-01
 1.310000000000000e+00, 1.747471610934593e-01
 1.320000000000000e+00, 1.755033069289073e-01
 1.330000000000000e+00, 1.712674244654206e-01
 1.340000000000000e+00, 1.625496413343028e-01
 1.350000000000000e+00, 1.502022307823595e-01
 1.360000000000000e+00, 1.352258870627697e-01
 1.370000000000000e+00, 1.191643875411463e-01
 1.380000000000000e+00, 1.033060573810331e-01
 1.390000000000000e+00, 8.861806191061150e-02
 1.400000000000000e+00, 7.627283541037709e-02
 1.410000000000000e+00, 6.704941810848776e-02
 1.420000000000000e+00, 6.144402850171574e-02
 1.430000000000000e+00, 5.955451562406147e-02
 1.440000000000000e+00, 6.102686692344489e-02
 1.450000000000000e+00, 6.517669197278127e-02
 1.460000000000000e+00, 7.121116223844882e-02
 1.470000000000000e+00, 7.842799685167161e-02
 1.480000000000000e+00, 8.632457381491490e-02
 1.490000000000000e+00, 9.462127752910787e-02
 1.500000000000000e+00, 1.032576968394763e-01
 1.510000000000000e+00, 1.124143708013134e-01
 1.520000000000000e+00, 1.225903552787867e-01
 1.530000000000000e+00, 1.346795231870663e-01
 1.540000000000000e+00, 1.498970008401816e-01
 1.550000000000000e+00, 1.695678286319058e-01
 1.560000000000000e+00, 1.950013728510626e-01
 1.570000000000000e+00, 2.275515506826775e-01
 1.580000000000000e+00, 2.686684898968120e-01
 1.590000000000000e+00, 3.197052503148807e-01
 1.600000000000000e+00, 3.818122690234963e-01
 1.610000000000000e+00, 4.546391625444874e-01
 1.620000000000000e+00, 5.374681751245953e-01
 1.630000000000000e+00, 6.295153579194683e-01
 1.640000000000000e+00, 7.288407272804913e-01
 1.650000000000000e+00, 8.332471665822933e-01
 1.660000000000000e+00, 9.401240425172616e-01
 1.670000000000000e+00, 1.046617392541356e+00
 1.680000000000000e+00, 1.149824219866158e+00
 1.690000000000000e+00, 1.246842925970464e+00
 1.700000000000000e+00, 1.334636680257325e+00
 1.710000000000000e+00, 1.409916790692969e+00
 1.720000000000000e+00, 1.469306363054634e+00
 1.730000000000000e+00, 1.509297013418534e+00
 1.740000000000000e+00, 1.528624003606185e+00
 1.750000000000000e+00, 1.526674432024932e+00
 1.760000000000000e+00, 1.503562686870231e+00
 1.770000000000000e+00, 1.462265515872324e+00
 1.780000000000000e+00, 1.406612107941309e+00
 1.790000000000000e+00, 1.341008174414664e+00
 1.800000000000000e+00, 1.269652618244903e+00
 1.810000000000000e+00, 1.195887610977346e+00
 1.820000000000000e+00, 1.121909622150626e+00
 1.830000000000000e+00, 1.048889689625936e+00
 1.840000000000000e+00, 9.773247934088561e-01
 1.850000000000000e+00, 9.073739772266980e-01
 1.860000000000000e+00, 8.390471390495421e-01
 1.870000000000000e+00, 7.722722907332136e-01
 1.880000000000000e+00, 7.069621215743050e-01
 1.890000000000000e+00, 6.431583866902342e-01
 1.900000000000000e+00, 5.811870691336811e-01
 1.910000000000000e+00, 5.217147119354636e-01
 1.920000000000000e+00, 4.656850861954687e-01
 1.930000000000000e+00, 4.141076658379451e-01
 1.940000000000000e+00, 3.677359062334947e-01
 1.950000000000000e+00, 3.269116698226823e-01
 1.960000000000000e+00, 2.916586815169622e-01
 1.970000000000000e+00, 2.616994285306093e-01
 1.980000000000000e+00, 2.363029776297874e-01
 1.990000000000000e+00, 2.142701062427724e-01
 2.000000000000000e+00, 1.942103018218641e-01
 2.010000000000000e+00, 1.749434660179098e-01
 2.020000000000000e+00, 1.558049964211798e-01
 2.030000000000000e+00, 1.367644945665574e-01
 2.040000000000000e+00, 1.183528635201492e-01
 2.050000000000000e+00, 1.014262104358264e-01
 2.060000000000000e+00, 8.690897528641955e-02
 2.070000000000000e+00, 7.566326495643420e-02
 2.080000000000000e+00, 6.840821778128649e-02
 2.090000000000000e+00, 6.556645715885691e-02
 2.100000000000000e+00, 6.713065819040902e-02
 2.110000000000000e+00, 7.263249077424203e-02
 2.120000000000000e+00, 8.133939774360716e-02
 2.130000000000000e+00, 9.129357845982776e-02
 2.140000000000000e+00, 1.005923512762324e-01
 2.150000000000000e+00, 1.076976737014567e-01
 2.160000000000000e+00, 1.105954742718045e-01
 2.170000000000000e+00, 1.079652379851001e-01
 2.180000000000000e+00, 9.915281222411468e-02
 2.190000000000000e+00, 8.437590887617002e-02
 2.200000000000000e+00, 6.492227375602952e-02
 2.210000000000000e+00, 4.305997083501416e-02
 2.220000000000000e+00, 2.142825256952469e-02
 2.230000000000000e+00, 2.162963993290723e-03
 2.240000000000000e+00,-1.374980425349881e-02
 2.250000000000000e+00,-2.664977170434072e-02
 2.260000000000000e+00,-3.794669494371886e-02
 2.270000000000000e+00,-4.967562694194187e-02
 2.280000000000000e+00,-6.414568745778669e-02
 2.290000000000000e+00,-8.369562037407169e-02
 2.300000000000000e+00,-1.104710238292391e-01
 2.310000000000000e+00,-1.462749255108585e-01
 2.320000000000000e+00,-1.924601142297002e-01
 2.330000000000000e+00,-2.497725640066365e-01
 2.340000000000000e+00,-3.182148927898444e-01
 2.350000000000000e+00,-3.969776630930674e-01
 2.360000000000000e+00,-4.843865232422636e-01
 2.370000000000000e+00,-5.779174314158166e-01
 2.380000000000000e+00,-6.743511403037689e-01
 2.390000000000000e+00,-7.700255405429812e-01
 2.400000000000000e+00,-8.612007728756107e-01
 2.410000000000000e+00,-9.446046218388535e-01
 2.420000000000000e+00,-1.017985324676497e+00
 2.430000000000000e+00,-1.080305023190933e+00
 2.440000000000000e+00,-1.131711673434370e+00
 2.450000000000000e+00,-1.172148382985200e+00
 2.460000000000000e+00,-1.202180735866496e+00
 2.470000000000000e+00,-1.222791167076286e+00
 2.480000000000000e+00,-1.234077946800346e+00
 2.490000000000000e+00,-1.236221978670833e+00
 2.500000000000000e+00,-1.229498376170914e+00
 2.510000000000000e+00,-1.214607326357900e+00
 2.520000000000000e+00,-1.192828665205918e+00
 2.530000000000000e+00,-1.165916965034267e+00
 2.540000000000000e+00,-1.135880597396603e+00
 2.550000000000000e+00,-1.104786656117426e+00
 2.560000000000000e+00,-1.074633407574219e+00
 2.570000000000000e+00,-1.047278486243603e+00
 2.580000000000000e+00,-1.024403265981730e+00
 2.590000000000000e+00,-1.007453356953507e+00
