time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:24:22.228669,[],0,"(0.5450355410575867, -0.4251101016998291, 0.604926347732544, 0.3953249156475067, 0.11786525696516037, -0.0779120996594429, 0.030518338084220886, 9.627715110778809, -1.06046462059021, 0.5475864410400391, -0.15657593309879303, -0.7733424305915833, 0.07752480357885361, 0.6094385981559753, 0.06508391350507736, 0.02166638895869255, 0.022212082520127296, 9.020929336547852, -2.964324951171875, -2.488219738006592, -0.7548313140869141, -0.1842237412929535, -0.5922158360481262, 0.213475301861763, 0.08710899949073792, -0.09436328709125519, -0.15617091953754425, 9.479939460754395, -1.1409931182861328, -1.908185362815857, 0.09022406488656998, -0.7534542679786682, 0.2715015411376953, 0.5919908881187439, 0.1060759499669075, 0.05359984189271927, 0.036838654428720474, 9.296547889709473, -2.6868104934692383, -1.4774022102355957, 0.37563905119895935, -0.6943842768669128, 0.2619118392467499, 0.5550927519798279, 0.06461334228515625, -0.038468193262815475, -0.0015099206939339638, 9.574981689453125, 0.49867531657218933, -2.103569507598877, -0.06541083008050919, -0.3271699845790863, -0.12217526882886887, 0.9347483515739441, -0.016597963869571686, 0.014604298397898674, 0.014336692169308662, 6.215456008911133, -0.3650726079940796, 7.545740127563477, -0.22205236554145813, -0.2715362310409546, -0.37507912516593933, 0.8580655455589294, -0.007796368561685085, -0.003448888659477234, -0.00310216355137527, 6.184114933013916, -1.7919062376022339, 7.413996696472168, 0.0)"
2023/02/21/14:24:22.238702,[],0,"(0.5450355410575867, -0.4251101016998291, 0.604926347732544, 0.3953249156475067, 0.11786525696516037, -0.0779120996594429, 0.030518338084220886, 9.627715110778809, -1.06046462059021, 0.5475864410400391, -0.15657593309879303, -0.7733424305915833, 0.07752480357885361, 0.6094385981559753, 0.06508391350507736, 0.02166638895869255, 0.022212082520127296, 9.020929336547852, -2.964324951171875, -2.488219738006592, -0.7548313140869141, -0.1842237412929535, -0.5922158360481262, 0.213475301861763, 0.08710899949073792, -0.09436328709125519, -0.15617091953754425, 9.479939460754395, -1.1409931182861328, -1.908185362815857, 0.09022406488656998, -0.7534542679786682, 0.2715015411376953, 0.5919908881187439, 0.1060759499669075, 0.05359984189271927, 0.036838654428720474, 9.296547889709473, -2.6868104934692383, -1.4774022102355957, 0.37563905119895935, -0.6943842768669128, 0.2619118392467499, 0.5550927519798279, 0.06461334228515625, -0.038468193262815475, -0.0015099206939339638, 9.574981689453125, 0.49867531657218933, -2.103569507598877, -0.06541083008050919, -0.3271699845790863, -0.12217526882886887, 0.9347483515739441, -0.016597963869571686, 0.014604298397898674, 0.014336692169308662, 6.215456008911133, -0.3650726079940796, 7.545740127563477, -0.22205236554145813, -0.2715362310409546, -0.37507912516593933, 0.8580655455589294, -0.007796368561685085, -0.003448888659477234, -0.00310216355137527, 6.184114933013916, -1.7919062376022339, 7.413996696472168, 0.0)"
2023/02/21/14:24:22.248619,[],0,"(0.5450355410575867, -0.4251101016998291, 0.604926347732544, 0.3953249156475067, 0.11786525696516037, -0.0779120996594429, 0.030518338084220886, 9.627715110778809, -1.06046462059021, 0.5475864410400391, -0.15538103878498077, -0.7731533646583557, 0.07901103794574738, 0.6097932457923889, 0.1252816915512085, 0.006625525187700987, -0.01640872098505497, 8.844512939453125, -3.292463541030884, -2.441270351409912, -0.7548861503601074, -0.18585413694381714, -0.5916913747787476, 0.21332237124443054, 0.11635410785675049, -0.09529214352369308, -0.1548633873462677, 9.600028991699219, -0.9461987614631653, -1.9310156106948853, 0.09022406488656998, -0.7534542679786682, 0.2715015411376953, 0.5919908881187439, 0.1060759499669075, 0.05359984189271927, 0.036838654428720474, 9.296547889709473, -2.6868104934692383, -1.4774022102355957, 0.37634599208831787, -0.6945195198059082, 0.2623530626296997, 0.5542356967926025, 0.057603154331445694, -0.033090896904468536, 0.004410906694829464, 9.70942211151123, 0.7457201480865479, -2.0294783115386963, -0.0658688172698021, -0.32683631777763367, -0.1220259964466095, 0.9348523616790771, -0.03147423639893532, 0.027911711484193802, 0.024234721437096596, 6.230746269226074, -0.44149094820022583, 7.531136512756348, -0.22243696451187134, -0.27170225977897644, -0.37513530254364014, 0.8578888177871704, -0.02903853729367256, -0.01621188037097454, 0.006742300931364298, 6.154937744140625, -1.7178313732147217, 7.4246602058410645, 0.0)"
2023/02/21/14:24:22.258702,[],0,"(0.5450355410575867, -0.4251101016998291, 0.604926347732544, 0.3953249156475067, 0.11786525696516037, -0.0779120996594429, 0.030518338084220886, 9.627715110778809, -1.06046462059021, 0.5475864410400391, -0.15538103878498077, -0.7731533646583557, 0.07901103794574738, 0.6097932457923889, 0.1252816915512085, 0.006625525187700987, -0.01640872098505497, 8.844512939453125, -3.292463541030884, -2.441270351409912, -0.7548861503601074, -0.18585413694381714, -0.5916913747787476, 0.21332237124443054, 0.11635410785675049, -0.09529214352369308, -0.1548633873462677, 9.600028991699219, -0.9461987614631653, -1.9310156106948853, 0.09022406488656998, -0.7534542679786682, 0.2715015411376953, 0.5919908881187439, 0.1060759499669075, 0.05359984189271927, 0.036838654428720474, 9.296547889709473, -2.6868104934692383, -1.4774022102355957, 0.37634599208831787, -0.6945195198059082, 0.2623530626296997, 0.5542356967926025, 0.057603154331445694, -0.033090896904468536, 0.004410906694829464, 9.70942211151123, 0.7457201480865479, -2.0294783115386963, -0.0658688172698021, -0.32683631777763367, -0.1220259964466095, 0.9348523616790771, -0.03147423639893532, 0.027911711484193802, 0.024234721437096596, 6.230746269226074, -0.44149094820022583, 7.531136512756348, -0.22243696451187134, -0.27170225977897644, -0.37513530254364014, 0.8578888177871704, -0.02903853729367256, -0.01621188037097454, 0.006742300931364298, 6.154937744140625, -1.7178313732147217, 7.4246602058410645, 0.0)"
2023/02/21/14:24:22.268667,[],0,"(0.5450355410575867, -0.4251101016998291, 0.604926347732544, 0.3953249156475067, 0.11786525696516037, -0.0779120996594429, 0.030518338084220886, 9.627715110778809, -1.06046462059021, 0.5475864410400391, -0.15538103878498077, -0.7731533646583557, 0.07901103794574738, 0.6097932457923889, 0.1252816915512085, 0.006625525187700987, -0.01640872098505497, 8.844512939453125, -3.292463541030884, -2.441270351409912, -0.7548861503601074, -0.18585413694381714, -0.5916913747787476, 0.21332237124443054, 0.11635410785675049, -0.09529214352369308, -0.1548633873462677, 9.600028991699219, -0.9461987614631653, -1.9310156106948853, 0.09022406488656998, -0.7534542679786682, 0.2715015411376953, 0.5919908881187439, 0.1060759499669075, 0.05359984189271927, 0.036838654428720474, 9.296547889709473, -2.6868104934692383, -1.4774022102355957, 0.37634599208831787, -0.6945195198059082, 0.2623530626296997, 0.5542356967926025, 0.057603154331445694, -0.033090896904468536, 0.004410906694829464, 9.70942211151123, 0.7457201480865479, -2.0294783115386963, -0.0658688172698021, -0.32683631777763367, -0.1220259964466095, 0.9348523616790771, -0.03147423639893532, 0.027911711484193802, 0.024234721437096596, 6.230746269226074, -0.44149094820022583, 7.531136512756348, -0.22243696451187134, -0.27170225977897644, -0.37513530254364014, 0.8578888177871704, -0.02903853729367256, -0.01621188037097454, 0.006742300931364298, 6.154937744140625, -1.7178313732147217, 7.4246602058410645, 0.0)"
2023/02/21/14:24:22.278637,[],0,"(0.5483942031860352, -0.4238593578338623, 0.6061996221542358, 0.39003726840019226, 0.1349577009677887, -0.07443315535783768, 0.03875817358493805, 9.876569747924805, -0.6089553833007812, 0.37010812759399414, -0.15409108996391296, -0.7730720639228821, 0.08032304048538208, 0.610052227973938, 0.11071565747261047, 0.0022894851863384247, -0.0186795424669981, 8.904937744140625, -3.3374295234680176, -2.5114970207214355, -0.754859209060669, -0.18892382085323334, -0.5910149216651917, 0.2125951200723648, 0.08600503951311111, -0.07645438611507416, -0.16200222074985504, 9.712044715881348, -0.649784505367279, -1.9997804164886475, 0.09066668152809143, -0.7515401244163513, 0.276439368724823, 0.5920711755752563, 0.10747070610523224, 0.035804182291030884, 0.05652204900979996, 9.230287551879883, -3.094586133956909, -1.4913991689682007, 0.3765134811401367, -0.6947534680366516, 0.26245278120040894, 0.5537813305854797, 0.033777423202991486, -0.04752252623438835, 0.013238763436675072, 9.70417308807373, 0.9836263060569763, -2.1417040824890137, -0.06607865542173386, -0.32666194438934326, -0.12194444239139557, 0.9349091649055481, -0.024901513010263443, 0.02480134926736355, 0.02342240698635578, 6.236145496368408, -0.4655609726905823, 7.538576602935791, -0.22282928228378296, -0.2718077600002289, -0.3751164376735687, 0.857761800289154, -0.04119037836790085, -0.02507222630083561, 0.01254455465823412, 6.198298454284668, -1.7378714084625244, 7.426740646362305, 0.0)"
2023/02/21/14:24:22.288681,[],0,"(0.5483942031860352, -0.4238593578338623, 0.6061996221542358, 0.39003726840019226, 0.1349577009677887, -0.07443315535783768, 0.03875817358493805, 9.876569747924805, -0.6089553833007812, 0.37010812759399414, -0.15409108996391296, -0.7730720639228821, 0.08032304048538208, 0.610052227973938, 0.11071565747261047, 0.0022894851863384247, -0.0186795424669981, 8.904937744140625, -3.3374295234680176, -2.5114970207214355, -0.754859209060669, -0.18892382085323334, -0.5910149216651917, 0.2125951200723648, 0.08600503951311111, -0.07645438611507416, -0.16200222074985504, 9.712044715881348, -0.649784505367279, -1.9997804164886475, 0.09066668152809143, -0.7515401244163513, 0.276439368724823, 0.5920711755752563, 0.10747070610523224, 0.035804182291030884, 0.05652204900979996, 9.230287551879883, -3.094586133956909, -1.4913991689682007, 0.3765134811401367, -0.6947534680366516, 0.26245278120040894, 0.5537813305854797, 0.033777423202991486, -0.04752252623438835, 0.013238763436675072, 9.70417308807373, 0.9836263060569763, -2.1417040824890137, -0.06607865542173386, -0.32666194438934326, -0.12194444239139557, 0.9349091649055481, -0.024901513010263443, 0.02480134926736355, 0.02342240698635578, 6.236145496368408, -0.4655609726905823, 7.538576602935791, -0.22282928228378296, -0.2718077600002289, -0.3751164376735687, 0.857761800289154, -0.04119037836790085, -0.02507222630083561, 0.01254455465823412, 6.198298454284668, -1.7378714084625244, 7.426740646362305, 0.0)"
2023/02/21/14:24:22.298657,[],0,"(0.5483942031860352, -0.4238593578338623, 0.6061996221542358, 0.39003726840019226, 0.1349577009677887, -0.07443315535783768, 0.03875817358493805, 9.876569747924805, -0.6089553833007812, 0.37010812759399414, -0.15409108996391296, -0.7730720639228821, 0.08032304048538208, 0.610052227973938, 0.11071565747261047, 0.0022894851863384247, -0.0186795424669981, 8.904937744140625, -3.3374295234680176, -2.5114970207214355, -0.754859209060669, -0.18892382085323334, -0.5910149216651917, 0.2125951200723648, 0.08600503951311111, -0.07645438611507416, -0.16200222074985504, 9.712044715881348, -0.649784505367279, -1.9997804164886475, 0.09066668152809143, -0.7515401244163513, 0.276439368724823, 0.5920711755752563, 0.10747070610523224, 0.035804182291030884, 0.05652204900979996, 9.230287551879883, -3.094586133956909, -1.4913991689682007, 0.3765134811401367, -0.6947534680366516, 0.26245278120040894, 0.5537813305854797, 0.033777423202991486, -0.04752252623438835, 0.013238763436675072, 9.70417308807373, 0.9836263060569763, -2.1417040824890137, -0.06607865542173386, -0.32666194438934326, -0.12194444239139557, 0.9349091649055481, -0.024901513010263443, 0.02480134926736355, 0.02342240698635578, 6.236145496368408, -0.4655609726905823, 7.538576602935791, -0.22282928228378296, -0.2718077600002289, -0.3751164376735687, 0.857761800289154, -0.04119037836790085, -0.02507222630083561, 0.01254455465823412, 6.198298454284668, -1.7378714084625244, 7.426740646362305, 0.0)"
2023/02/21/14:24:22.308590,[],0,"(0.5491902232170105, -0.4235122799873352, 0.6062929034233093, 0.3891482651233673, 0.13859187066555023, -0.08055178821086884, 0.007940164767205715, 9.90750503540039, -0.8452568054199219, 0.3611730933189392, -0.15299910306930542, -0.7730182409286499, 0.08141755312681198, 0.6102501749992371, 0.08394652605056763, 0.006046261638402939, -0.02499057725071907, 8.956815719604492, -3.1077916622161865, -2.4217498302459717, -0.754859209060669, -0.18892382085323334, -0.5910149216651917, 0.2125951200723648, 0.08600503951311111, -0.07645438611507416, -0.16200222074985504, 9.712044715881348, -0.649784505367279, -1.9997804164886475, 0.09077759832143784, -0.7507224082946777, 0.27829474210739136, 0.5922223925590515, 0.08439816534519196, 0.043401945382356644, 0.04793565347790718, 9.307113647460938, -2.8809072971343994, -1.4094146490097046, 0.3765134811401367, -0.6947534680366516, 0.26245278120040894, 0.5537813305854797, 0.033777423202991486, -0.04752252623438835, 0.013238763436675072, 9.70417308807373, 0.9836263060569763, -2.1417040824890137, -0.06660018861293793, -0.326200395822525, -0.12172172218561172, 0.9350623488426208, -0.028885118663311005, 0.02755507081747055, 0.027581581845879555, 6.177857398986816, -0.39861389994621277, 7.547084331512451, -0.2243521511554718, -0.27196013927459717, -0.3748672902584076, 0.8574253916740417, -0.055606409907341, -0.030166322365403175, 0.02427915669977665, 6.134856700897217, -1.8923109769821167, 7.36568021774292, 0.0)"
2023/02/21/14:24:22.318653,[],0,"(0.5491902232170105, -0.4235122799873352, 0.6062929034233093, 0.3891482651233673, 0.13859187066555023, -0.08055178821086884, 0.007940164767205715, 9.90750503540039, -0.8452568054199219, 0.3611730933189392, -0.15299910306930542, -0.7730182409286499, 0.08141755312681198, 0.6102501749992371, 0.08394652605056763, 0.006046261638402939, -0.02499057725071907, 8.956815719604492, -3.1077916622161865, -2.4217498302459717, -0.754859209060669, -0.18892382085323334, -0.5910149216651917, 0.2125951200723648, 0.08600503951311111, -0.07645438611507416, -0.16200222074985504, 9.712044715881348, -0.649784505367279, -1.9997804164886475, 0.09077759832143784, -0.7507224082946777, 0.27829474210739136, 0.5922223925590515, 0.08439816534519196, 0.043401945382356644, 0.04793565347790718, 9.307113647460938, -2.8809072971343994, -1.4094146490097046, 0.3765134811401367, -0.6947534680366516, 0.26245278120040894, 0.5537813305854797, 0.033777423202991486, -0.04752252623438835, 0.013238763436675072, 9.70417308807373, 0.9836263060569763, -2.1417040824890137, -0.06660018861293793, -0.326200395822525, -0.12172172218561172, 0.9350623488426208, -0.028885118663311005, 0.02755507081747055, 0.027581581845879555, 6.177857398986816, -0.39861389994621277, 7.547084331512451, -0.2243521511554718, -0.27196013927459717, -0.3748672902584076, 0.8574253916740417, -0.055606409907341, -0.030166322365403175, 0.02427915669977665, 6.134856700897217, -1.8923109769821167, 7.36568021774292, 0.0)"
