time,.layout.dim,.layout.data_offset,.data
2023/02/21/14:13:11.558744,[],0,"(0.5553452372550964, -0.41638028621673584, 0.5846460461616516, 0.42000967264175415, -0.0660364106297493, 0.032349590212106705, 0.012115166522562504, 9.735529899597168, -0.14062096178531647, 0.010733738541603088, -0.16706301271915436, -0.7643439769744873, 0.05715063214302063, 0.6201629638671875, -0.0261891707777977, 0.007151875179260969, 0.0013992628082633018, 9.06136703491211, -3.1832120418548584, -2.1166248321533203, -0.7525798678398132, -0.225152388215065, -0.586217999458313, 0.19818775355815887, -0.02150045335292816, 0.0018362227128818631, 0.030627019703388214, 9.485454559326172, -0.4057844579219818, -2.198200225830078, 0.02957402728497982, -0.7522204518318176, 0.2419399619102478, 0.6121721863746643, -0.03756709769368172, -0.0074907708913087845, 0.02681329846382141, 9.19424819946289, -3.3022735118865967, -1.3005633354187012, 0.5933281779289246, -0.5292563438415527, 0.4383581876754761, 0.41915565729141235, -0.0014737090095877647, 0.04840737581253052, -0.029673682525753975, 9.532320976257324, 0.1833677738904953, -2.3919169902801514, -0.10271699726581573, -0.30526623129844666, -0.20777744054794312, 0.9236288666725159, -0.001595356035977602, 0.004273239057511091, 0.00277812615968287, 5.9574971199035645, -0.6535874009132385, 7.748657703399658, -0.23296749591827393, -0.25516805052757263, -0.4146649241447449, 0.841824471950531, 0.03363502025604248, 0.016457734629511833, -0.015763718634843826, 6.161097049713135, -1.768397569656372, 7.439758777618408, 0.0)"
2023/02/21/14:13:11.568693,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16737167537212372, -0.7642751932144165, 0.05701979249715805, 0.6201764941215515, -0.01687806099653244, 0.010006338357925415, 0.0032253828831017017, 9.03255558013916, -2.9994335174560547, -2.2351253032684326, -0.7527831196784973, -0.22457247972488403, -0.5861545205116272, 0.19826173782348633, -0.016710765659809113, -0.0011946347076445818, 0.02652590163052082, 9.542370796203613, -0.505108118057251, -2.2813806533813477, 0.02899712324142456, -0.7523727416992188, 0.2419806718826294, 0.6119965314865112, -0.026404084637761116, -0.007906964980065823, 0.02584105357527733, 9.132865905761719, -3.331002712249756, -1.2851938009262085, 0.5933281779289246, -0.5292563438415527, 0.4383581876754761, 0.41915565729141235, -0.0014737090095877647, 0.04840737581253052, -0.029673682525753975, 9.532320976257324, 0.1833677738904953, -2.3919169902801514, -0.10268685221672058, -0.30529117584228516, -0.2077942192554474, 0.9236202239990234, 0.0005923364078626037, 0.0022949003614485264, 8.488127787131816e-05, 5.963473320007324, -0.6342689990997314, 7.689993381500244, -0.23233364522457123, -0.2552359700202942, -0.4148137867450714, 0.8419057130813599, 0.030390948057174683, 0.01949913240969181, -0.012442382052540779, 6.168653964996338, -1.7305340766906738, 7.440018177032471, 0.0)"
2023/02/21/14:13:11.578804,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16737167537212372, -0.7642751932144165, 0.05701979249715805, 0.6201764941215515, -0.01687806099653244, 0.010006338357925415, 0.0032253828831017017, 9.03255558013916, -2.9994335174560547, -2.2351253032684326, -0.7527831196784973, -0.22457247972488403, -0.5861545205116272, 0.19826173782348633, -0.016710765659809113, -0.0011946347076445818, 0.02652590163052082, 9.542370796203613, -0.505108118057251, -2.2813806533813477, 0.02899712324142456, -0.7523727416992188, 0.2419806718826294, 0.6119965314865112, -0.026404084637761116, -0.007906964980065823, 0.02584105357527733, 9.132865905761719, -3.331002712249756, -1.2851938009262085, 0.5933281779289246, -0.5292563438415527, 0.4383581876754761, 0.41915565729141235, -0.0014737090095877647, 0.04840737581253052, -0.029673682525753975, 9.532320976257324, 0.1833677738904953, -2.3919169902801514, -0.10268685221672058, -0.30529117584228516, -0.2077942192554474, 0.9236202239990234, 0.0005923364078626037, 0.0022949003614485264, 8.488127787131816e-05, 5.963473320007324, -0.6342689990997314, 7.689993381500244, -0.23233364522457123, -0.2552359700202942, -0.4148137867450714, 0.8419057130813599, 0.030390948057174683, 0.01949913240969181, -0.012442382052540779, 6.168653964996338, -1.7305340766906738, 7.440018177032471, 0.0)"
2023/02/21/14:13:11.588613,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16737167537212372, -0.7642751932144165, 0.05701979249715805, 0.6201764941215515, -0.01687806099653244, 0.010006338357925415, 0.0032253828831017017, 9.03255558013916, -2.9994335174560547, -2.2351253032684326, -0.7527831196784973, -0.22457247972488403, -0.5861545205116272, 0.19826173782348633, -0.016710765659809113, -0.0011946347076445818, 0.02652590163052082, 9.542370796203613, -0.505108118057251, -2.2813806533813477, 0.02899712324142456, -0.7523727416992188, 0.2419806718826294, 0.6119965314865112, -0.026404084637761116, -0.007906964980065823, 0.02584105357527733, 9.132865905761719, -3.331002712249756, -1.2851938009262085, 0.5933281779289246, -0.5292563438415527, 0.4383581876754761, 0.41915565729141235, -0.0014737090095877647, 0.04840737581253052, -0.029673682525753975, 9.532320976257324, 0.1833677738904953, -2.3919169902801514, -0.10268685221672058, -0.30529117584228516, -0.2077942192554474, 0.9236202239990234, 0.0005923364078626037, 0.0022949003614485264, 8.488127787131816e-05, 5.963473320007324, -0.6342689990997314, 7.689993381500244, -0.23233364522457123, -0.2552359700202942, -0.4148137867450714, 0.8419057130813599, 0.030390948057174683, 0.01949913240969181, -0.012442382052540779, 6.168653964996338, -1.7305340766906738, 7.440018177032471, 0.0)"
2023/02/21/14:13:11.598687,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16737167537212372, -0.7642751932144165, 0.05701979249715805, 0.6201764941215515, -0.01687806099653244, 0.010006338357925415, 0.0032253828831017017, 9.03255558013916, -2.9994335174560547, -2.2351253032684326, -0.7527831196784973, -0.22457247972488403, -0.5861545205116272, 0.19826173782348633, -0.016710765659809113, -0.0011946347076445818, 0.02652590163052082, 9.542370796203613, -0.505108118057251, -2.2813806533813477, 0.02899712324142456, -0.7523727416992188, 0.2419806718826294, 0.6119965314865112, -0.026404084637761116, -0.007906964980065823, 0.02584105357527733, 9.132865905761719, -3.331002712249756, -1.2851938009262085, 0.5933281779289246, -0.5292563438415527, 0.4383581876754761, 0.41915565729141235, -0.0014737090095877647, 0.04840737581253052, -0.029673682525753975, 9.532320976257324, 0.1833677738904953, -2.3919169902801514, -0.10268685221672058, -0.30529117584228516, -0.2077942192554474, 0.9236202239990234, 0.0005923364078626037, 0.0022949003614485264, 8.488127787131816e-05, 5.963473320007324, -0.6342689990997314, 7.689993381500244, -0.23233364522457123, -0.2552359700202942, -0.4148137867450714, 0.8419057130813599, 0.030390948057174683, 0.01949913240969181, -0.012442382052540779, 6.168653964996338, -1.7305340766906738, 7.440018177032471, 0.0)"
2023/02/21/14:13:11.608757,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16766205430030823, -0.7642123103141785, 0.05706173554062843, 0.6201717257499695, -0.01695111021399498, 0.014308139681816101, 0.017643941566348076, 9.074594497680664, -2.984114408493042, -2.2488696575164795, -0.7528707981109619, -0.2241375893354416, -0.5861320495605469, 0.19848720729351044, 0.002591650700196624, 0.006964368745684624, 0.014347590506076813, 9.545625686645508, -0.42389222979545593, -2.253788471221924, 0.028625696897506714, -0.7524412274360657, 0.2419561892747879, 0.6119394898414612, -0.03426625207066536, -0.00413233507424593, 0.028280433267354965, 9.231118202209473, -3.317112445831299, -1.3031600713729858, 0.5935320258140564, -0.5283222794532776, 0.438411146402359, 0.4199892580509186, 0.0015629774425178766, 0.03387093544006348, -0.04256770759820938, 9.590384483337402, 0.38981443643569946, -2.4292988777160645, -0.10259168595075607, -0.3054632544517517, -0.20779037475585938, 0.9235747456550598, 0.004052885342389345, -0.0044777230359613895, 0.0001256428804481402, 5.934091567993164, -0.6333600282669067, 7.729393482208252, -0.23178206384181976, -0.2553662359714508, -0.414913147687912, 0.8419692516326904, 0.025969307869672775, 0.014835874550044537, -0.005560014396905899, 6.112661838531494, -1.7237240076065063, 7.4582600593566895, 0.0)"
2023/02/21/14:13:11.618671,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16766205430030823, -0.7642123103141785, 0.05706173554062843, 0.6201717257499695, -0.01695111021399498, 0.014308139681816101, 0.017643941566348076, 9.074594497680664, -2.984114408493042, -2.2488696575164795, -0.7528707981109619, -0.2241375893354416, -0.5861320495605469, 0.19848720729351044, 0.002591650700196624, 0.006964368745684624, 0.014347590506076813, 9.545625686645508, -0.42389222979545593, -2.253788471221924, 0.028625696897506714, -0.7524412274360657, 0.2419561892747879, 0.6119394898414612, -0.03426625207066536, -0.00413233507424593, 0.028280433267354965, 9.231118202209473, -3.317112445831299, -1.3031600713729858, 0.5935320258140564, -0.5283222794532776, 0.438411146402359, 0.4199892580509186, 0.0015629774425178766, 0.03387093544006348, -0.04256770759820938, 9.590384483337402, 0.38981443643569946, -2.4292988777160645, -0.10259168595075607, -0.3054632544517517, -0.20779037475585938, 0.9235747456550598, 0.004052885342389345, -0.0044777230359613895, 0.0001256428804481402, 5.934091567993164, -0.6333600282669067, 7.729393482208252, -0.23178206384181976, -0.2553662359714508, -0.414913147687912, 0.8419692516326904, 0.025969307869672775, 0.014835874550044537, -0.005560014396905899, 6.112661838531494, -1.7237240076065063, 7.4582600593566895, 0.0)"
2023/02/21/14:13:11.628813,[],0,"(0.5545153021812439, -0.4169155955314636, 0.5845561623573303, 0.42069971561431885, -0.05860871449112892, 0.03671593219041824, 0.015824096277356148, 9.808245658874512, -0.22353853285312653, 0.013113440945744514, -0.16766205430030823, -0.7642123103141785, 0.05706173554062843, 0.6201717257499695, -0.01695111021399498, 0.014308139681816101, 0.017643941566348076, 9.074594497680664, -2.984114408493042, -2.2488696575164795, -0.7528707981109619, -0.2241375893354416, -0.5861320495605469, 0.19848720729351044, 0.002591650700196624, 0.006964368745684624, 0.014347590506076813, 9.545625686645508, -0.42389222979545593, -2.253788471221924, 0.028625696897506714, -0.7524412274360657, 0.2419561892747879, 0.6119394898414612, -0.03426625207066536, -0.00413233507424593, 0.028280433267354965, 9.231118202209473, -3.317112445831299, -1.3031600713729858, 0.5935320258140564, -0.5283222794532776, 0.438411146402359, 0.4199892580509186, 0.0015629774425178766, 0.03387093544006348, -0.04256770759820938, 9.590384483337402, 0.38981443643569946, -2.4292988777160645, -0.10259168595075607, -0.3054632544517517, -0.20779037475585938, 0.9235747456550598, 0.004052885342389345, -0.0044777230359613895, 0.0001256428804481402, 5.934091567993164, -0.6333600282669067, 7.729393482208252, -0.23178206384181976, -0.2553662359714508, -0.414913147687912, 0.8419692516326904, 0.025969307869672775, 0.014835874550044537, -0.005560014396905899, 6.112661838531494, -1.7237240076065063, 7.4582600593566895, 0.0)"
2023/02/21/14:13:11.638617,[],0,"(0.5532816648483276, -0.4176042377948761, 0.5846073627471924, 0.42156893014907837, -0.02850300818681717, 0.026984835043549538, 0.010351762175559998, 9.818913459777832, -0.26863038539886475, 0.08234816044569016, -0.16766205430030823, -0.7642123103141785, 0.05706173554062843, 0.6201717257499695, -0.01695111021399498, 0.014308139681816101, 0.017643941566348076, 9.074594497680664, -2.984114408493042, -2.2488696575164795, -0.7528707981109619, -0.2241375893354416, -0.5861320495605469, 0.19848720729351044, 0.002591650700196624, 0.006964368745684624, 0.014347590506076813, 9.545625686645508, -0.42389222979545593, -2.253788471221924, 0.02781839482486248, -0.7525358200073242, 0.24182341992855072, 0.6119129061698914, -0.023667315021157265, 0.0015851889038458467, 0.019695529714226723, 9.171459197998047, -3.3517961502075195, -1.333340048789978, 0.5940322279930115, -0.5270295739173889, 0.4388863146305084, 0.4204096794128418, 0.06336212158203125, 0.04831749573349953, -0.04670973867177963, 9.628662109375, 0.4474160373210907, -2.5882151126861572, -0.10259168595075607, -0.3054632544517517, -0.20779037475585938, 0.9235747456550598, 0.004052885342389345, -0.0044777230359613895, 0.0001256428804481402, 5.934091567993164, -0.6333600282669067, 7.729393482208252, -0.23146961629390717, -0.25552237033843994, -0.4149680435657501, 0.8419808149337769, 0.03361876308917999, 0.009319590404629707, -0.011453090235590935, 6.118320465087891, -1.7678333520889282, 7.436127662658691, 0.0)"
2023/02/21/14:13:11.648740,[],0,"(0.5532816648483276, -0.4176042377948761, 0.5846073627471924, 0.42156893014907837, -0.02850300818681717, 0.026984835043549538, 0.010351762175559998, 9.818913459777832, -0.26863038539886475, 0.08234816044569016, -0.16766205430030823, -0.7642123103141785, 0.05706173554062843, 0.6201717257499695, -0.01695111021399498, 0.014308139681816101, 0.017643941566348076, 9.074594497680664, -2.984114408493042, -2.2488696575164795, -0.7528707981109619, -0.2241375893354416, -0.5861320495605469, 0.19848720729351044, 0.002591650700196624, 0.006964368745684624, 0.014347590506076813, 9.545625686645508, -0.42389222979545593, -2.253788471221924, 0.02781839482486248, -0.7525358200073242, 0.24182341992855072, 0.6119129061698914, -0.023667315021157265, 0.0015851889038458467, 0.019695529714226723, 9.171459197998047, -3.3517961502075195, -1.333340048789978, 0.5940322279930115, -0.5270295739173889, 0.4388863146305084, 0.4204096794128418, 0.06336212158203125, 0.04831749573349953, -0.04670973867177963, 9.628662109375, 0.4474160373210907, -2.5882151126861572, -0.10259168595075607, -0.3054632544517517, -0.20779037475585938, 0.9235747456550598, 0.004052885342389345, -0.0044777230359613895, 0.0001256428804481402, 5.934091567993164, -0.6333600282669067, 7.729393482208252, -0.23146961629390717, -0.25552237033843994, -0.4149680435657501, 0.8419808149337769, 0.03361876308917999, 0.009319590404629707, -0.011453090235590935, 6.118320465087891, -1.7678333520889282, 7.436127662658691, 0.0)"
