Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00,-4.028859578089787e-02
 1.010000000000000e+00,-4.040562158665498e-02
 1.020000000000000e+00,-4.056985127500096e-02
 1.030000000000000e+00,-4.077978058061614e-02
 1.040000000000000e+00,-4.103270901241859e-02
 1.050000000000000e+00,-4.132561988139913e-02
 1.060000000000000e+00,-4.165646797609959e-02
 1.070000000000000e+00,-4.202497777597149e-02
 1.080000000000000e+00,-4.243253246443038e-02
 1.090000000000000e+00,-4.288076139374864e-02
 1.100000000000000e+00,-4.336906596783530e-02
 1.110000000000000e+00,-4.389200987355307e-02
 1.120000000000000e+00,-4.443763179423263e-02
 1.130000000000000e+00,-4.498729893561954e-02
 1.140000000000000e+00,-4.551723952041234e-02
 1.150000000000000e+00,-4.600164739626229e-02
 1.160000000000000e+00,-4.641681761455667e-02
 1.170000000000000e+00,-4.674514339412725e-02
 1.180000000000000e+00,-4.697780380439821e-02
 1.190000000000000e+00,-4.711548810745345e-02
 1.200000000000000e+00,-4.716373897552205e-02
 1.210000000000000e+00,-4.714293443177348e-02
 1.220000000000000e+00,-4.706586832527147e-02
 1.230000000000000e+00,-4.694184357119684e-02
 1.240000000000000e+00,-4.678425893967599e-02
 1.250000000000000e+00,-4.660094121703277e-02
 1.260000000000000e+00,-4.639741238000875e-02
 1.270000000000000e+00,-4.617892721099640e-02
 1.280000000000000e+00,-4.595287548933002e-02
 1.290000000000000e+00,-4.573017265424636e-02
 1.300000000000000e+00,-4.552466843808923e-02
 1.310000000000000e+00,-4.535025096829906e-02
 1.320000000000000e+00,-4.521676979182588e-02
 1.330000000000000e+00,-4.512716025653062e-02
 1.340000000000000e+00,-4.507720098571511e-02
 1.350000000000000e+00,-4.505755928245767e-02
 1.360000000000000e+00,-4.505673909492564e-02
 1.370000000000000e+00,-4.506321416398414e-02
 1.380000000000000e+00,-4.506594319386786e-02
 1.390000000000000e+00,-4.505406733012238e-02
 1.400000000000000e+00,-4.501714496765114e-02
 1.410000000000000e+00,-4.494634915391105e-02
 1.420000000000000e+00,-4.483617923526387e-02
 1.430000000000000e+00,-4.468633945941006e-02
 1.440000000000000e+00,-4.450322455045135e-02
 1.450000000000000e+00,-4.430006058545793e-02
 1.460000000000000e+00,-4.409552917654868e-02
 1.470000000000000e+00,-4.391141804767749e-02
 1.480000000000000e+00,-4.376933702683418e-02
 1.490000000000000e+00,-4.368664657125618e-02
 1.500000000000000e+00,-4.367252452093551e-02
 1.510000000000000e+00,-4.372448664655446e-02
 1.520000000000000e+00,-4.382556674743870e-02
 1.530000000000000e+00,-4.394336036531104e-02
 1.540000000000000e+00,-4.403106759227464e-02
 1.550000000000000e+00,-4.402920902220763e-02
 1.560000000000000e+00,-4.386720684220227e-02
 1.570000000000000e+00,-4.346476251668885e-02
 1.580000000000000e+00,-4.273327503097294e-02
 1.590000000000000e+00,-4.157720327230916e-02
 1.600000000000000e+00,-3.989450137354032e-02
 1.610000000000000e+00,-3.757595148366181e-02
 1.620000000000000e+00,-3.450465140288445e-02
 1.630000000000000e+00,-3.055689580207113e-02
 1.640000000000000e+00,-2.560501592566982e-02
 1.650000000000000e+00,-1.952244627722426e-02
 1.660000000000000e+00,-1.219064784211871e-02
 1.670000000000000e+00,-3.506996403460743e-03
 1.680000000000000e+00, 6.607081116855714e-03
 1.690000000000000e+00, 1.819843152089327e-02
 1.700000000000000e+00, 3.127552769512203e-02
 1.710000000000000e+00, 4.580352639370797e-02
 1.720000000000000e+00, 6.169906956027450e-02
 1.730000000000000e+00, 7.883109702352295e-02
 1.740000000000000e+00, 9.702254353253040e-02
 1.750000000000000e+00, 1.160550624202344e-01
 1.760000000000000e+00, 1.356763184027953e-01
 1.770000000000000e+00, 1.556103992920488e-01
 1.780000000000000e+00, 1.755719856652323e-01
 1.790000000000000e+00, 1.952841985935504e-01
 1.800000000000000e+00, 2.144978467800723e-01
 1.810000000000000e+00, 2.330074165875488e-01
 1.820000000000000e+00, 2.506589047026040e-01
 1.830000000000000e+00, 2.673476174457023e-01
 1.840000000000000e+00, 2.830087515199282e-01
 1.850000000000000e+00, 2.976044180242353e-01
 1.860000000000000e+00, 3.111163820373204e-01
 1.870000000000000e+00, 3.235401308241784e-01
 1.880000000000000e+00, 3.348839069230686e-01
 1.890000000000000e+00, 3.451695175064488e-01
 1.900000000000000e+00, 3.544332477472174e-01
 1.910000000000000e+00, 3.627253206550210e-01
 1.920000000000000e+00, 3.701080811408127e-01
 1.930000000000000e+00, 3.766532007977478e-01
 1.940000000000000e+00, 3.824366673846166e-01
 1.950000000000000e+00, 3.875313303759122e-01
 1.960000000000000e+00, 3.919998226839660e-01
 1.970000000000000e+00, 3.958906541538034e-01
 1.980000000000000e+00, 3.992375903446541e-01
 1.990000000000000e+00, 4.020609770794501e-01
 2.000000000000000e+00, 4.043697127944867e-01
 2.010000000000000e+00, 4.061634001115701e-01
 2.020000000000000e+00, 4.074352439566558e-01
 2.030000000000000e+00, 4.081760732994901e-01
 2.040000000000000e+00, 4.083786990002533e-01
 2.050000000000000e+00, 4.080419087905937e-01
 2.060000000000000e+00, 4.071717340562997e-01
 2.070000000000000e+00, 4.057840016009736e-01
 2.080000000000000e+00, 4.039016008266274e-01
 2.090000000000000e+00, 4.015516980301754e-01
 2.100000000000000e+00, 3.987621296795382e-01
 2.110000000000000e+00, 3.955579103497571e-01
 2.120000000000000e+00, 3.919587089148123e-01
 2.130000000000000e+00, 3.879781972384644e-01
 2.140000000000000e+00, 3.836245438202667e-01
 2.150000000000000e+00, 3.788997978004306e-01
 2.160000000000000e+00, 3.737984704763783e-01
 2.170000000000000e+00, 3.683083715502645e-01
 2.180000000000000e+00, 3.624145032437459e-01
 2.190000000000000e+00, 3.561039536542911e-01
 2.200000000000000e+00, 3.493705290572294e-01
 2.210000000000000e+00, 3.422191220310978e-01
 2.220000000000000e+00, 3.346687358497853e-01
 2.230000000000000e+00, 3.267516855788642e-01
 2.240000000000000e+00, 3.185072384824422e-01
 2.250000000000000e+00, 3.099704817688414e-01
 2.260000000000000e+00, 3.011599914283129e-01
 2.270000000000000e+00, 2.920697981623194e-01
 2.280000000000000e+00, 2.826699749377832e-01
 2.290000000000000e+00, 2.729161026611451e-01
 2.300000000000000e+00, 2.627644566127630e-01
 2.310000000000000e+00, 2.521883616958703e-01
 2.320000000000000e+00, 2.411918469967658e-01
 2.330000000000000e+00, 2.298180621205031e-01
 2.340000000000000e+00, 2.181500766187424e-01
 2.350000000000000e+00, 2.063029946844555e-01
 2.360000000000000e+00, 1.944090700437198e-01
 2.370000000000000e+00, 1.825984744125127e-01
 2.380000000000000e+00, 1.709790151740061e-01
 2.390000000000000e+00, 1.596203032220087e-01
 2.400000000000000e+00, 1.485476766406456e-01
 2.410000000000000e+00, 1.377467179510388e-01
 2.420000000000000e+00, 1.271747995813229e-01
 2.430000000000000e+00, 1.167752697453305e-01
 2.440000000000000e+00, 1.064916065826655e-01
 2.450000000000000e+00, 9.627979188540911e-02
 2.460000000000000e+00, 8.611708970477748e-02
 2.470000000000000e+00, 7.600679826999825e-02
 2.480000000000000e+00, 6.597985499187226e-02
 2.490000000000000e+00, 5.609323778054214e-02
 2.500000000000000e+00, 4.642356651702613e-02
 2.510000000000000e+00, 3.705476417723638e-02
 2.520000000000000e+00, 2.806187647375084e-02
 2.530000000000000e+00, 1.949655056055562e-02
 2.540000000000000e+00, 1.137925547806493e-02
 2.550000000000000e+00, 3.698487600313081e-03
 2.560000000000000e+00,-3.586341181494463e-03
 2.570000000000000e+00,-1.053999360196896e-02
 2.580000000000000e+00,-1.724453423307681e-02
 2.590000000000000e+00,-2.379141482124990e-02
 2.600000000000000e+00,-3.027324784410614e-02
 2.610000000000000e+00,-3.677568617624961e-02
 2.620000000000000e+00,-4.337082402666335e-02
 2.630000000000000e+00,-5.011350776566335e-02
 2.640000000000000e+00,-5.704052138419095e-02
 2.650000000000000e+00,-6.417176607400157e-02
 2.660000000000000e+00,-7.151321917118185e-02
 2.670000000000000e+00,-7.906232431563609e-02
 2.680000000000000e+00,-8.681562500506032e-02
 2.690000000000000e+00,-9.477661375230316e-02
 2.700000000000000e+00,-1.029613813934539e-01
 2.710000000000000e+00,-1.114005972394573e-01
 2.720000000000000e+00,-1.201365242695321e-01
 2.730000000000000e+00,-1.292141639176264e-01
 2.740000000000000e+00,-1.386677060810710e-01
 2.750000000000000e+00,-1.485052032934285e-01
 2.760000000000000e+00,-1.586953508485624e-01
 2.770000000000000e+00,-1.691612178120775e-01
 2.780000000000000e+00,-1.797852574695843e-01
 2.790000000000000e+00,-1.904225887849757e-01
 2.800000000000000e+00,-2.009245220131848e-01
 2.810000000000000e+00,-2.111559422719869e-01
 2.820000000000000e+00,-2.210088313545447e-01
 2.830000000000000e+00,-2.304086694611010e-01
 2.840000000000000e+00,-2.393147251732394e-01
 2.850000000000000e+00,-2.477133626922360e-01
 2.860000000000000e+00,-2.556135962290221e-01
 2.870000000000000e+00,-2.630201088532346e-01
 2.880000000000000e+00,-2.699280341905365e-01
 2.890000000000000e+00,-2.763000703861606e-01
 2.900000000000000e+00,-2.820554738385782e-01
 2.910000000000000e+00,-2.870652696874443e-01
 2.920000000000000e+00,-2.911550941953556e-01
 2.930000000000000e+00,-2.941153733519419e-01
 2.940000000000000e+00,-2.957173606269668e-01
 2.950000000000000e+00,-2.957316920605740e-01
 2.960000000000000e+00,-2.939455175640668e-01
 2.970000000000000e+00,-2.901748610644145e-01
 2.980000000000000e+00,-2.842707695414678e-01
 2.990000000000000e+00,-2.761199607640286e-01
 3.000000000000000e+00,-2.656413968829471e-01
 3.010000000000000e+00,-2.527816026728827e-01
 3.020000000000000e+00,-2.375139403634856e-01
 3.030000000000000e+00,-2.198465298343581e-01
 3.040000000000000e+00,-1.998385390573221e-01
 3.050000000000000e+00,-1.776185428013559e-01
 3.060000000000000e+00,-1.533960790041872e-01
 3.070000000000000e+00,-1.274593623550835e-01
 3.080000000000000e+00,-1.001568813863724e-01
 3.090000000000000e+00,-7.186723378186329e-02
 3.100000000000000e+00,-4.296659272478982e-02
 3.110000000000000e+00,-1.380228839743495e-02
 3.120000000000000e+00, 1.532412131448295e-02
 3.130000000000000e+00, 4.416453590840477e-02
 3.140000000000000e+00, 7.252349889773210e-02
 3.150000000000000e+00, 1.002506734144751e-01
 3.160000000000000e+00, 1.272303235135636e-01
 3.170000000000000e+00, 1.533752778064160e-01
 3.180000000000000e+00, 1.786172982914137e-01
 3.190000000000000e+00, 2.029023950217592e-01
 3.200000000000000e+00, 2.261841401541845e-01
 3.210000000000000e+00, 2.484203699714318e-01
 3.220000000000000e+00, 2.695726209889855e-01
 3.230000000000000e+00, 2.896056399966183e-01
 3.240000000000000e+00, 3.084855183805341e-01
 3.250000000000000e+00, 3.261764907926920e-01
 3.260000000000000e+00, 3.426372561560442e-01
 3.270000000000000e+00, 3.578180959066095e-01
 3.280000000000000e+00, 3.716598718767538e-01
 3.290000000000000e+00, 3.840954742329926e-01
 3.300000000000000e+00, 3.950535168014654e-01
 3.310000000000000e+00, 4.044629411005689e-01
 3.320000000000000e+00, 4.122574078607334e-01
 3.330000000000000e+00, 4.183802248622487e-01
 3.340000000000000e+00, 4.227903029634931e-01
 3.350000000000000e+00, 4.254679046217385e-01
 3.360000000000000e+00, 4.264195040856237e-01
 3.370000000000000e+00, 4.256819682813547e-01
 3.380000000000000e+00, 4.233255132995999e-01
 3.390000000000000e+00, 4.194550437513053e-01
 3.400000000000000e+00, 4.142099064179454e-01
 3.410000000000000e+00, 4.077607589186388e-01
 3.420000000000000e+00, 4.003039655882110e-01
 3.430000000000000e+00, 3.920471998287184e-01
 3.440000000000000e+00, 3.832051204423482e-01
 3.450000000000000e+00, 3.739834251661093e-01
 3.460000000000000e+00, 3.645698272636963e-01
 3.470000000000000e+00, 3.551258892943884e-01
 3.480000000000000e+00, 3.457806938781153e-01
 3.490000000000000e+00, 3.366274374124597e-01
 3.500000000000000e+00, 3.277246465138566e-01
 3.510000000000000e+00, 3.190958613244915e-01
 3.520000000000000e+00, 3.107654326115695e-01
 3.530000000000000e+00, 3.027307098582519e-01
 3.540000000000000e+00, 2.949930299854771e-01
 3.550000000000000e+00, 2.875553195111824e-01
 3.560000000000000e+00, 2.804237607673828e-01
 3.570000000000000e+00, 2.736065841100288e-01
 3.580000000000000e+00, 2.671066815356504e-01
 3.590000000000000e+00, 2.609068488887742e-01
 3.600000000000000e+00, 2.549534570579675e-01
 3.610000000000000e+00, 2.491500893725757e-01
 3.620000000000000e+00, 2.433687893412796e-01
 3.630000000000000e+00, 2.374747485641086e-01
 3.640000000000000e+00, 2.313574171206991e-01
 3.650000000000000e+00, 2.249201171808511e-01
 3.660000000000000e+00, 2.181185730744739e-01
