Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00, 1.452129003595947e-02
 1.010000000000000e+00, 1.462140042456787e-02
 1.020000000000000e+00, 1.473076971074313e-02
 1.030000000000000e+00, 1.485310822798625e-02
 1.040000000000000e+00, 1.499126450307139e-02
 1.050000000000000e+00, 1.514710552088669e-02
 1.060000000000000e+00, 1.532125368341915e-02
 1.070000000000000e+00, 1.551272358054102e-02
 1.080000000000000e+00, 1.571891284204173e-02
 1.090000000000000e+00, 1.593607454800691e-02
 1.100000000000000e+00, 1.615987942018557e-02
 1.110000000000000e+00, 1.638576047748074e-02
 1.120000000000000e+00, 1.660921723542213e-02
 1.130000000000000e+00, 1.682624355320262e-02
 1.140000000000000e+00, 1.703359229182751e-02
 1.150000000000000e+00, 1.722866839968188e-02
 1.160000000000000e+00, 1.740900962981738e-02
 1.170000000000000e+00, 1.757147469694223e-02
 1.180000000000000e+00, 1.771208506780947e-02
 1.190000000000000e+00, 1.782712647991241e-02
 1.200000000000000e+00, 1.791438952252872e-02
 1.210000000000000e+00, 1.797340062989842e-02
 1.220000000000000e+00, 1.800504233183561e-02
 1.230000000000000e+00, 1.801136749005223e-02
 1.240000000000000e+00, 1.799546101545380e-02
 1.250000000000000e+00, 1.796086496408118e-02
 1.260000000000000e+00, 1.791093602088525e-02
 1.270000000000000e+00, 1.784884564050995e-02
 1.280000000000000e+00, 1.777818722859301e-02
 1.290000000000000e+00, 1.770362930248867e-02
 1.300000000000000e+00, 1.763121811356834e-02
 1.310000000000000e+00, 1.756825360499231e-02
 1.320000000000000e+00, 1.752293703844127e-02
 1.330000000000000e+00, 1.750410954957442e-02
 1.340000000000000e+00, 1.752116555693536e-02
 1.350000000000000e+00, 1.758390627316640e-02
 1.360000000000000e+00, 1.770213250161498e-02
 1.370000000000000e+00, 1.788499219467569e-02
 1.380000000000000e+00, 1.814015192735811e-02
 1.390000000000000e+00, 1.847300871577494e-02
 1.400000000000000e+00, 1.888638287011862e-02
 1.410000000000000e+00, 1.938076396187837e-02
 1.420000000000000e+00, 1.995458614784867e-02
 1.430000000000000e+00, 2.060418098037484e-02
 1.440000000000000e+00, 2.132350869195532e-02
 1.450000000000000e+00, 2.210394375466498e-02
 1.460000000000000e+00, 2.293454517960703e-02
 1.470000000000000e+00, 2.380295176642962e-02
 1.480000000000000e+00, 2.469654962585767e-02
 1.490000000000000e+00, 2.560362942035745e-02
 1.500000000000000e+00, 2.651428891046136e-02
 1.510000000000000e+00, 2.742084002088849e-02
 1.520000000000000e+00, 2.831793411158305e-02
 1.530000000000000e+00, 2.920258476795522e-02
 1.540000000000000e+00, 3.007383891084379e-02
 1.550000000000000e+00, 3.093211392274189e-02
 1.560000000000000e+00, 3.177857284511473e-02
 1.570000000000000e+00, 3.261474135965137e-02
 1.580000000000000e+00, 3.344236247180438e-02
 1.590000000000000e+00, 3.426342313633576e-02
 1.600000000000000e+00, 3.508029321468099e-02
 1.610000000000000e+00, 3.589581120402813e-02
 1.620000000000000e+00, 3.671286865072659e-02
 1.630000000000000e+00, 3.753317261812605e-02
 1.640000000000000e+00, 3.835561676371841e-02
 1.650000000000000e+00, 3.917508794556110e-02
 1.660000000000000e+00, 3.998220233822471e-02
 1.670000000000000e+00, 4.076421275062083e-02
 1.680000000000000e+00, 4.150704072919519e-02
 1.690000000000000e+00, 4.219781669478485e-02
 1.700000000000000e+00, 4.282710381283009e-02
 1.710000000000000e+00, 4.339001504237838e-02
 1.720000000000000e+00, 4.388597194279165e-02
 1.730000000000000e+00, 4.431846748096597e-02
 1.740000000000000e+00, 4.469608023695002e-02
 1.750000000000000e+00, 4.503291064417590e-02
 1.760000000000000e+00, 4.534614951356746e-02
 1.770000000000000e+00, 4.565231509379693e-02
 1.780000000000000e+00, 4.596540180415458e-02
 1.790000000000000e+00, 4.629749201913242e-02
 1.800000000000000e+00, 4.665984764079770e-02
 1.810000000000000e+00, 4.706307985498695e-02
 1.820000000000000e+00, 4.751673787169648e-02
 1.830000000000000e+00, 4.802873743875499e-02
 1.840000000000000e+00, 4.860433265023578e-02
 1.850000000000000e+00, 4.924497205190477e-02
 1.860000000000000e+00, 4.994825738991390e-02
 1.870000000000000e+00, 5.070948787701233e-02
 1.880000000000000e+00, 5.152355286453496e-02
 1.890000000000000e+00, 5.238542067241785e-02
 1.900000000000000e+00, 5.328547263731533e-02
 1.910000000000000e+00, 5.422389545360910e-02
 1.920000000000000e+00, 5.518795849418583e-02
 1.930000000000000e+00, 5.617034013008471e-02
 1.940000000000000e+00, 5.716735713758390e-02
 1.950000000000000e+00, 5.818124652963381e-02
 1.960000000000000e+00, 5.922274645775513e-02
 1.970000000000000e+00, 6.031337945666742e-02
 1.980000000000000e+00, 6.148800672972509e-02
 1.990000000000000e+00, 6.279909801808903e-02
 2.000000000000000e+00, 6.432085010634259e-02
 2.010000000000000e+00, 6.614951554791909e-02
 2.020000000000000e+00, 6.840012137709899e-02
 2.030000000000000e+00, 7.120271759352115e-02
 2.040000000000000e+00, 7.469962635512048e-02
 2.050000000000000e+00, 7.904245026525017e-02
 2.060000000000000e+00, 8.438671625667332e-02
 2.070000000000000e+00, 9.088308106332200e-02
 2.080000000000000e+00, 9.866566337451113e-02
 2.090000000000000e+00, 1.078388297536491e-01
 2.100000000000000e+00, 1.184641135405051e-01
 2.110000000000000e+00, 1.305497192056667e-01
 2.120000000000000e+00, 1.440379914084689e-01
 2.130000000000000e+00, 1.588280389347743e-01
 2.140000000000000e+00, 1.747432076644021e-01
 2.150000000000000e+00, 1.915584830276444e-01
 2.160000000000000e+00, 2.090101682903633e-01
 2.170000000000000e+00, 2.268196200128418e-01
 2.180000000000000e+00, 2.447204036817330e-01
 2.190000000000000e+00, 2.624788217723292e-01
 2.200000000000000e+00, 2.799014639331947e-01
 2.210000000000000e+00, 2.968322738490902e-01
 2.220000000000000e+00, 3.131449615687285e-01
 2.230000000000000e+00, 3.287437453638157e-01
 2.240000000000000e+00, 3.435142916778191e-01
 2.250000000000000e+00, 3.573740830742105e-01
 2.260000000000000e+00, 3.702334406673034e-01
 2.270000000000000e+00, 3.820074608507504e-01
 2.280000000000000e+00, 3.926208879295580e-01
 2.290000000000000e+00, 4.020127549853184e-01
 2.300000000000000e+00, 4.101419306194096e-01
 2.310000000000000e+00, 4.169949007039655e-01
 2.320000000000000e+00, 4.225941089205981e-01
 2.330000000000000e+00, 4.270034108711327e-01
 2.340000000000000e+00, 4.303274277126192e-01
 2.350000000000000e+00, 4.327035517089435e-01
 2.360000000000000e+00, 4.342885300945399e-01
 2.370000000000000e+00, 4.352438436775161e-01
 2.380000000000000e+00, 4.357235889685571e-01
 2.390000000000000e+00, 4.358586794845107e-01
 2.400000000000000e+00, 4.357795343902459e-01
 2.410000000000000e+00, 4.355744683410805e-01
 2.420000000000000e+00, 4.352915668362853e-01
 2.430000000000000e+00, 4.349712240353215e-01
 2.440000000000000e+00, 4.346248524713380e-01
 2.450000000000000e+00, 4.342484862726751e-01
 2.460000000000000e+00, 4.338279332474734e-01
 2.470000000000000e+00, 4.333416296213133e-01
 2.480000000000000e+00, 4.327628084550322e-01
 2.490000000000000e+00, 4.320612904070140e-01
 2.500000000000000e+00, 4.312043908909677e-01
 2.510000000000000e+00, 4.301576675060599e-01
 2.520000000000000e+00, 4.288871172401355e-01
 2.530000000000000e+00, 4.273630136007969e-01
 2.540000000000000e+00, 4.255643599373979e-01
 2.550000000000000e+00, 4.234833645305344e-01
 2.560000000000000e+00, 4.211288730121488e-01
 2.570000000000000e+00, 4.185271347449616e-01
 2.580000000000000e+00, 4.157199822443140e-01
 2.590000000000000e+00, 4.127623202602872e-01
 2.600000000000000e+00, 4.097190436652516e-01
 2.610000000000000e+00, 4.066596929506045e-01
 2.620000000000000e+00, 4.036522934758368e-01
 2.630000000000000e+00, 4.007592025324042e-01
 2.640000000000000e+00, 3.980342332935420e-01
 2.650000000000000e+00, 3.955197207928016e-01
 2.660000000000000e+00, 3.932442848627667e-01
 2.670000000000000e+00, 3.912214500507702e-01
 2.680000000000000e+00, 3.894474533024527e-01
 2.690000000000000e+00, 3.879050513208533e-01
 2.700000000000000e+00, 3.865580384421456e-01
 2.710000000000000e+00, 3.853589217886571e-01
 2.720000000000000e+00, 3.842502516229379e-01
 2.730000000000000e+00, 3.831652919799541e-01
 2.740000000000000e+00, 3.820315292501184e-01
 2.750000000000000e+00, 3.807763829286066e-01
 2.760000000000000e+00, 3.793332445055479e-01
 2.770000000000000e+00, 3.776445228516180e-01
 2.780000000000000e+00, 3.756617155223412e-01
 2.790000000000000e+00, 3.733446625372194e-01
 2.800000000000000e+00, 3.706611261644036e-01
 2.810000000000000e+00, 3.675855368685992e-01
 2.820000000000000e+00, 3.640964881196847e-01
 2.830000000000000e+00, 3.601749884738199e-01
 2.840000000000000e+00, 3.558047210984002e-01
 2.850000000000000e+00, 3.509747656807987e-01
 2.860000000000000e+00, 3.456852867280151e-01
 2.870000000000000e+00, 3.399506209950499e-01
 2.880000000000000e+00, 3.338044870514030e-01
 2.890000000000000e+00, 3.272958966774276e-01
 2.900000000000000e+00, 3.204835371050340e-01
 2.910000000000000e+00, 3.134283019294986e-01
 2.920000000000000e+00, 3.061876667444614e-01
 2.930000000000000e+00, 2.988125367889324e-01
 2.940000000000000e+00, 2.913452867670711e-01
 2.950000000000000e+00, 2.838186176045694e-01
 2.960000000000000e+00, 2.762550709627111e-01
 2.970000000000000e+00, 2.686778288650301e-01
 2.980000000000000e+00, 2.610624872875987e-01
 2.990000000000000e+00, 2.534105166325114e-01
 3.000000000000000e+00, 2.456994654028193e-01
 3.010000000000000e+00, 2.379005340543467e-01
 3.020000000000000e+00, 2.299841519903604e-01
 3.030000000000000e+00, 2.219240356179104e-01
 3.040000000000000e+00, 2.136999914372919e-01
 3.050000000000000e+00, 2.053015100954222e-01
 3.060000000000000e+00, 1.967316059094286e-01
 3.070000000000000e+00, 1.880081648852076e-01
 3.080000000000000e+00, 1.791620602307836e-01
 3.090000000000000e+00, 1.702340536964555e-01
 3.100000000000000e+00, 1.612716934790091e-01
 3.110000000000000e+00, 1.523250740309723e-01
 3.120000000000000e+00, 1.434406588714386e-01
 3.130000000000000e+00, 1.346545038102901e-01
 3.140000000000000e+00, 1.259873517308751e-01
 3.150000000000000e+00, 1.174440174138571e-01
 3.160000000000000e+00, 1.090175449874811e-01
 3.170000000000000e+00, 1.006950349363594e-01
 3.180000000000000e+00, 9.246137862787453e-02
 3.190000000000000e+00, 8.430062070977327e-02
 3.200000000000000e+00, 7.619624127362912e-02
 3.210000000000000e+00, 6.813119664799853e-02
 3.220000000000000e+00, 6.008331133528588e-02
 3.230000000000000e+00, 5.202915540752934e-02
 3.240000000000000e+00, 4.394262103826248e-02
 3.250000000000000e+00, 3.579877644891156e-02
 3.260000000000000e+00, 2.757789203309399e-02
 3.270000000000000e+00, 1.926758778112946e-02
 3.280000000000000e+00, 1.086463042074339e-02
 3.290000000000000e+00, 2.374616395517119e-03
 3.300000000000000e+00,-6.185946091055469e-03
 3.310000000000000e+00,-1.479070234599806e-02
 3.320000000000000e+00,-2.340580730102079e-02
 3.330000000000000e+00,-3.199225103370278e-02
 3.340000000000000e+00,-4.050813760836417e-02
 3.350000000000000e+00,-4.891163773449234e-02
 3.360000000000000e+00,-5.716394140576316e-02
 3.370000000000000e+00,-6.523100919111743e-02
 3.380000000000000e+00,-7.308417648340711e-02
 3.390000000000000e+00,-8.070038149668129e-02
 3.400000000000000e+00,-8.806208787002535e-02
 3.410000000000000e+00,-9.515776403219334e-02
 3.420000000000000e+00,-1.019791807092995e-01
 3.430000000000000e+00,-1.085181361419811e-01
 3.440000000000000e+00,-1.147610890834852e-01
 3.450000000000000e+00,-1.206851274457078e-01
 3.460000000000000e+00,-1.262577885179337e-01
 3.470000000000000e+00,-1.314407770235457e-01
 3.480000000000000e+00,-1.361946693380497e-01
 3.490000000000000e+00,-1.404822344021185e-01
 3.500000000000000e+00,-1.442701024196185e-01
 3.510000000000000e+00,-1.475296714827787e-01
 3.520000000000000e+00,-1.502377934806703e-01
 3.530000000000000e+00,-1.523762556158380e-01
 3.540000000000000e+00,-1.539292401612230e-01
 3.550000000000000e+00,-1.548784060824351e-01
 3.560000000000000e+00,-1.551935786090955e-01
 3.570000000000000e+00,-1.548177633414047e-01
 3.580000000000000e+00,-1.536491130565930e-01
 3.590000000000000e+00,-1.515250123139731e-01
 3.600000000000000e+00,-1.482153147257289e-01
 3.610000000000000e+00,-1.434320702142667e-01
 3.620000000000000e+00,-1.368580962446351e-01
 3.630000000000000e+00,-1.281907580707665e-01
 3.640000000000000e+00,-1.171940371656344e-01
 3.650000000000000e+00,-1.037481413027115e-01
 3.660000000000000e+00,-8.788319495609037e-02
