Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00, 1.567989679107560e-02
 1.010000000000000e+00, 1.586038449402351e-02
 1.020000000000000e+00, 1.607387390175665e-02
 1.030000000000000e+00, 1.633071984011391e-02
 1.040000000000000e+00, 1.662274716022152e-02
 1.050000000000000e+00, 1.695733292122839e-02
 1.060000000000000e+00, 1.732061692240834e-02
 1.070000000000000e+00, 1.770265097434567e-02
 1.080000000000000e+00, 1.809165089462552e-02
 1.090000000000000e+00, 1.847529305383670e-02
 1.100000000000000e+00, 1.884184320965096e-02
 1.110000000000000e+00, 1.918117647933782e-02
 1.120000000000000e+00, 1.948651723364171e-02
 1.130000000000000e+00, 1.975692146405859e-02
 1.140000000000000e+00, 1.999969805129765e-02
 1.150000000000000e+00, 2.023676334864413e-02
 1.160000000000000e+00, 2.047582280643495e-02
 1.170000000000000e+00, 2.075853436381091e-02
 1.180000000000000e+00, 2.110217371223385e-02
 1.190000000000000e+00, 2.152388709299407e-02
 1.200000000000000e+00, 2.203517403482781e-02
 1.210000000000000e+00, 2.264185113636706e-02
 1.220000000000000e+00, 2.334385264903255e-02
 1.230000000000000e+00, 2.413536649486641e-02
 1.240000000000000e+00, 2.500531967947461e-02
 1.250000000000000e+00, 2.593820146134752e-02
 1.260000000000000e+00, 2.691519780565051e-02
 1.270000000000000e+00, 2.791490583659640e-02
 1.280000000000000e+00, 2.891276094769366e-02
 1.290000000000000e+00, 2.987900645562104e-02
 1.300000000000000e+00, 3.077688980776455e-02
 1.310000000000000e+00, 3.156536670375682e-02
 1.320000000000000e+00, 3.220990680815700e-02
 1.330000000000000e+00, 3.269945235010450e-02
 1.340000000000000e+00, 3.305889813272056e-02
 1.350000000000000e+00, 3.334350160038807e-02
 1.360000000000000e+00, 3.361755172513793e-02
 1.370000000000000e+00, 3.393623926750712e-02
 1.380000000000000e+00, 3.434067531685615e-02
 1.390000000000000e+00, 3.486016651242471e-02
 1.400000000000000e+00, 3.551491285688165e-02
 1.410000000000000e+00, 3.631741672467539e-02
 1.420000000000000e+00, 3.727303645769420e-02
 1.430000000000000e+00, 3.838013548283360e-02
 1.440000000000000e+00, 3.963013486820768e-02
 1.450000000000000e+00, 4.100712006274800e-02
 1.460000000000000e+00, 4.248608643051300e-02
 1.470000000000000e+00, 4.403013708716098e-02
 1.480000000000000e+00, 4.558854941211021e-02
 1.490000000000000e+00, 4.709847468345536e-02
 1.500000000000000e+00, 4.849327322139668e-02
 1.510000000000000e+00, 4.971832111897395e-02
 1.520000000000000e+00, 5.075001697349371e-02
 1.530000000000000e+00, 5.160662682179658e-02
 1.540000000000000e+00, 5.233898619327169e-02
 1.550000000000000e+00, 5.300679596883101e-02
 1.560000000000000e+00, 5.367032973414265e-02
 1.570000000000000e+00, 5.435117688932294e-02
 1.580000000000000e+00, 5.508697716520961e-02
 1.590000000000000e+00, 5.589934519390973e-02
 1.600000000000000e+00, 5.680553053033874e-02
 1.610000000000000e+00, 5.782192624183665e-02
 1.620000000000000e+00, 5.896755994817659e-02
 1.630000000000000e+00, 6.026711086381515e-02
 1.640000000000000e+00, 6.175206337984336e-02
 1.650000000000000e+00, 6.345995156182685e-02
 1.660000000000000e+00, 6.543335886711990e-02
 1.670000000000000e+00, 6.771936740799152e-02
 1.680000000000000e+00, 7.036938410360787e-02
 1.690000000000000e+00, 7.344000908213920e-02
 1.700000000000000e+00, 7.699555144268772e-02
 1.710000000000000e+00, 8.111192163789820e-02
 1.720000000000000e+00, 8.587988680823018e-02
 1.730000000000000e+00, 9.140351249006357e-02
 1.740000000000000e+00, 9.779139955913348e-02
 1.750000000000000e+00, 1.051434274254732e-01
 1.760000000000000e+00, 1.135371227838625e-01
 1.770000000000000e+00, 1.230162145817077e-01
 1.780000000000000e+00, 1.335836875221548e-01
 1.790000000000000e+00, 1.452004149894654e-01
 1.800000000000000e+00, 1.577886698040248e-01
 1.810000000000000e+00, 1.712400584105867e-01
 1.820000000000000e+00, 1.854261921120923e-01
 1.830000000000000e+00, 2.002076468517836e-01
 1.840000000000000e+00, 2.154382817149611e-01
 1.850000000000000e+00, 2.309667759589948e-01
 1.860000000000000e+00, 2.466388234732652e-01
 1.870000000000000e+00, 2.623013006242184e-01
 1.880000000000000e+00, 2.778128715159511e-01
 1.890000000000000e+00, 2.930318276143010e-01
 1.900000000000000e+00, 3.078479502158452e-01
 1.910000000000000e+00, 3.221847337512015e-01
 1.920000000000000e+00, 3.359819239854496e-01
 1.930000000000000e+00, 3.492137465524595e-01
 1.940000000000000e+00, 3.618837448355534e-01
 1.950000000000000e+00, 3.740202555313530e-01
 1.960000000000000e+00, 3.856666743995903e-01
 1.970000000000000e+00, 3.968686390574904e-01
 1.980000000000000e+00, 4.076625741238563e-01
 1.990000000000000e+00, 4.180690501514083e-01
 2.000000000000000e+00, 4.280911143033660e-01
 2.010000000000000e+00, 4.377159506797351e-01
 2.020000000000000e+00, 4.469182534733591e-01
 2.030000000000000e+00, 4.556638213963602e-01
 2.040000000000000e+00, 4.639135170708807e-01
 2.050000000000000e+00, 4.716292582580946e-01
 2.060000000000000e+00, 4.787812583914733e-01
 2.070000000000000e+00, 4.853523873539179e-01
 2.080000000000000e+00, 4.913377559081742e-01
 2.090000000000000e+00, 4.967425676904153e-01
 2.100000000000000e+00, 5.015803545132700e-01
 2.110000000000000e+00, 5.058768382122286e-01
 2.120000000000000e+00, 5.096638009694661e-01
 2.130000000000000e+00, 5.129807730496532e-01
 2.140000000000000e+00, 5.158715395560522e-01
 2.150000000000000e+00, 5.183801300689539e-01
 2.160000000000000e+00, 5.205469902733315e-01
 2.170000000000000e+00, 5.224083036893513e-01
 2.180000000000000e+00, 5.239985854845355e-01
 2.190000000000000e+00, 5.253546436250673e-01
 2.200000000000000e+00, 5.265200219446484e-01
 2.210000000000000e+00, 5.275481807779377e-01
 2.220000000000000e+00, 5.285022888723990e-01
 2.230000000000000e+00, 5.294526837849830e-01
 2.240000000000000e+00, 5.304742921825566e-01
 2.250000000000000e+00, 5.316433931308286e-01
 2.260000000000000e+00, 5.330309199706740e-01
 2.270000000000000e+00, 5.346920085740168e-01
 2.280000000000000e+00, 5.366556454871496e-01
 2.290000000000000e+00, 5.389179470146063e-01
 2.300000000000000e+00, 5.414389999448568e-01
 2.310000000000000e+00, 5.441411317671011e-01
 2.320000000000000e+00, 5.469073536237140e-01
 2.330000000000000e+00, 5.495805127581128e-01
 2.340000000000000e+00, 5.519645755122408e-01
 2.350000000000000e+00, 5.538317532289486e-01
 2.360000000000000e+00, 5.549405058068670e-01
 2.370000000000000e+00, 5.550638446549995e-01
 2.380000000000000e+00, 5.540194920840258e-01
 2.390000000000000e+00, 5.516920093673474e-01
 2.400000000000000e+00, 5.480421624070890e-01
 2.410000000000000e+00, 5.431038175711371e-01
 2.420000000000000e+00, 5.369699318416246e-01
 2.430000000000000e+00, 5.297705449146769e-01
 2.440000000000000e+00, 5.216480342502274e-01
 2.450000000000000e+00, 5.127346222405774e-01
 2.460000000000000e+00, 5.031355168748769e-01
 2.470000000000000e+00, 4.929208968146827e-01
 2.480000000000000e+00, 4.821285971648041e-01
 2.490000000000000e+00, 4.707755159203328e-01
 2.500000000000000e+00, 4.588730459993896e-01
 2.510000000000000e+00, 4.464415788310551e-01
 2.520000000000000e+00, 4.335201289349437e-01
 2.530000000000000e+00, 4.201692650001923e-01
 2.540000000000000e+00, 4.064682764160593e-01
 2.550000000000000e+00, 3.925085265752776e-01
 2.560000000000000e+00, 3.783842189335897e-01
 2.570000000000000e+00, 3.641824949651111e-01
 2.580000000000000e+00, 3.499758193409239e-01
 2.590000000000000e+00, 3.358178906758554e-01
 2.600000000000000e+00, 3.217421842935054e-01
 2.610000000000000e+00, 3.077629484749516e-01
 2.620000000000000e+00, 2.938795987529821e-01
 2.630000000000000e+00, 2.800832358688976e-01
 2.640000000000000e+00, 2.663618907713268e-01
 2.650000000000000e+00, 2.527035305841033e-01
 2.660000000000000e+00, 2.390983272345089e-01
 2.670000000000000e+00, 2.255412166335915e-01
 2.680000000000000e+00, 2.120355403586258e-01
 2.690000000000000e+00, 1.985965587511258e-01
 2.700000000000000e+00, 1.852505937691416e-01
 2.710000000000000e+00, 1.720293476522740e-01
 2.720000000000000e+00, 1.589651150923965e-01
 2.730000000000000e+00, 1.460905185500813e-01
 2.740000000000000e+00, 1.334402100212073e-01
 2.750000000000000e+00, 1.210508800510106e-01
 2.760000000000000e+00, 1.089592505280449e-01
 2.770000000000000e+00, 9.719965170748411e-02
 2.780000000000000e+00, 8.580155746145895e-02
 2.790000000000000e+00, 7.478622162049865e-02
 2.800000000000000e+00, 6.416265206644474e-02
 2.810000000000000e+00, 5.392456425002438e-02
 2.820000000000000e+00, 4.404864767437716e-02
 2.830000000000000e+00, 3.449276686265349e-02
 2.840000000000000e+00, 2.519408276467731e-02
 2.850000000000000e+00, 1.606874694095958e-02
 2.860000000000000e+00, 7.013895379477448e-03
 2.870000000000000e+00,-2.088690750418062e-03
 2.880000000000000e+00,-1.136749449973859e-02
 2.890000000000000e+00,-2.095314950945119e-02
 2.900000000000000e+00,-3.096515858010764e-02
 2.910000000000000e+00,-4.149377314120904e-02
 2.920000000000000e+00,-5.258044138331274e-02
 2.930000000000000e+00,-6.420157800858246e-02
 2.940000000000000e+00,-7.625990826810962e-02
 2.950000000000000e+00,-8.858601696134859e-02
 2.960000000000000e+00,-1.009503540383521e-01
 2.970000000000000e+00,-1.130835732440795e-01
 2.980000000000000e+00,-1.247022158122175e-01
 2.990000000000000e+00,-1.355358608434020e-01
 3.000000000000000e+00,-1.453499847670036e-01
 3.010000000000000e+00,-1.539596222226469e-01
 3.020000000000000e+00,-1.612325088904524e-01
 3.030000000000000e+00,-1.670823810726316e-01
 3.040000000000000e+00,-1.714538171761865e-01
 3.050000000000000e+00,-1.743023014562495e-01
 3.060000000000000e+00,-1.755761458987092e-01
 3.070000000000000e+00,-1.752062986185923e-01
 3.080000000000000e+00,-1.731056160670489e-01
 3.090000000000000e+00,-1.691771136396710e-01
 3.100000000000000e+00,-1.633308150102752e-01
 3.110000000000000e+00,-1.555037304200670e-01
 3.120000000000000e+00,-1.456721217333297e-01
 3.130000000000000e+00,-1.338499474751476e-01
 3.140000000000000e+00,-1.200772553556011e-01
 3.150000000000000e+00,-1.044081513768115e-01
 3.160000000000000e+00,-8.690791260658773e-02
 3.170000000000000e+00,-6.766225330352066e-02
 3.180000000000000e+00,-4.679341646771847e-02
 3.190000000000000e+00,-2.447538966448798e-02
 3.200000000000000e+00,-9.426505389132116e-04
 3.210000000000000e+00, 2.351160515919095e-02
 3.220000000000000e+00, 4.854968271910208e-02
 3.230000000000000e+00, 7.381365099043391e-02
 3.240000000000000e+00, 9.895290667001803e-02
 3.250000000000000e+00, 1.236478982267218e-01
 3.260000000000000e+00, 1.476276800318453e-01
 3.270000000000000e+00, 1.706832234463486e-01
 3.280000000000000e+00, 1.926774877354662e-01
 3.290000000000000e+00, 2.135503371487048e-01
 3.300000000000000e+00, 2.333154615583973e-01
 3.310000000000000e+00, 2.520486787993094e-01
 3.320000000000000e+00, 2.698731783093581e-01
 3.330000000000000e+00, 2.869288533597247e-01
 3.340000000000000e+00, 3.033700018360008e-01
 3.350000000000000e+00, 3.193350427301269e-01
 3.360000000000000e+00, 3.349348617947786e-01
 3.370000000000000e+00, 3.502437983398156e-01
 3.380000000000000e+00, 3.652955836620632e-01
 3.390000000000000e+00, 3.800825057190930e-01
 3.400000000000000e+00, 3.945575350619954e-01
 3.410000000000000e+00, 4.086399742253688e-01
 3.420000000000000e+00, 4.222246191704443e-01
 3.430000000000000e+00, 4.351932803659421e-01
 3.440000000000000e+00, 4.474266350194623e-01
 3.450000000000000e+00, 4.588146411393507e-01
 3.460000000000000e+00, 4.692644437020226e-01
 3.470000000000000e+00, 4.787050097535383e-01
 3.480000000000000e+00, 4.870879637489984e-01
 3.490000000000000e+00, 4.943849977222082e-01
 3.500000000000000e+00, 5.005834946959009e-01
 3.510000000000000e+00, 5.056820394693630e-01
 3.520000000000000e+00, 5.096866111274069e-01
 3.530000000000000e+00, 5.126081511094837e-01
 3.540000000000000e+00, 5.144621428087892e-01
 3.550000000000000e+00, 5.152701022377366e-01
 3.560000000000000e+00, 5.150622604283264e-01
 3.570000000000000e+00, 5.138805042438970e-01
 3.580000000000000e+00, 5.117813821033914e-01
 3.590000000000000e+00, 5.088381509496251e-01
 3.600000000000000e+00, 5.051477634586850e-01
 3.610000000000000e+00, 5.008258276333176e-01
 3.620000000000000e+00, 4.960094878988018e-01
 3.630000000000000e+00, 4.908528253859361e-01
 3.640000000000000e+00, 4.855199953355420e-01
 3.650000000000000e+00, 4.801758535986049e-01
 3.660000000000000e+00, 4.749758072810889e-01
