Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion
 1.000000000000000e+00,-1.103787301911083e-01
 1.010000000000000e+00,-1.137289594142573e-01
 1.020000000000000e+00,-1.167513739987165e-01
 1.030000000000000e+00,-1.194551769936503e-01
 1.040000000000000e+00,-1.218571632019883e-01
 1.050000000000000e+00,-1.239759469689056e-01
 1.060000000000000e+00,-1.258296634085765e-01
 1.070000000000000e+00,-1.274357764693252e-01
 1.080000000000000e+00,-1.288114876076053e-01
 1.090000000000000e+00,-1.299734236144988e-01
 1.100000000000000e+00,-1.309358734902066e-01
 1.110000000000000e+00,-1.317071407717936e-01
 1.120000000000000e+00,-1.322846445379759e-01
 1.130000000000000e+00,-1.326494101518286e-01
 1.140000000000000e+00,-1.327598271922125e-01
 1.150000000000000e+00,-1.325451011633555e-01
 1.160000000000000e+00,-1.318995475157715e-01
 1.170000000000000e+00,-1.306786332405896e-01
 1.180000000000000e+00,-1.286971134686660e-01
 1.190000000000000e+00,-1.257268432649571e-01
 1.200000000000000e+00,-1.215154072584796e-01
 1.210000000000000e+00,-1.157839611386464e-01
 1.220000000000000e+00,-1.082593587092630e-01
 1.230000000000000e+00,-9.870149546906755e-02
 1.240000000000000e+00,-8.693900917961156e-02
 1.250000000000000e+00,-7.290203781832492e-02
 1.260000000000000e+00,-5.663942990202449e-02
 1.270000000000000e+00,-3.831303586235810e-02
 1.280000000000000e+00,-1.817275269764954e-02
 1.290000000000000e+00, 3.475262691067791e-03
 1.300000000000000e+00, 2.629591950761639e-02
 1.310000000000000e+00, 4.994347477800703e-02
 1.320000000000000e+00, 7.407057336093910e-02
 1.330000000000000e+00, 9.833195623527452e-02
 1.340000000000000e+00, 1.223883533427881e-01
 1.350000000000000e+00, 1.459110925007842e-01
 1.360000000000000e+00, 1.685849418874180e-01
 1.370000000000000e+00, 1.901105916834877e-01
 1.380000000000000e+00, 2.102121040069191e-01
 1.390000000000000e+00, 2.286514112860991e-01
 1.400000000000000e+00, 2.452447832807215e-01
 1.410000000000000e+00, 2.598751716621657e-01
 1.420000000000000e+00, 2.724982605758083e-01
 1.430000000000000e+00, 2.831414692691930e-01
 1.440000000000000e+00, 2.918955657103407e-01
 1.450000000000000e+00, 2.988996860620991e-01
 1.460000000000000e+00, 3.043290640091987e-01
 1.470000000000000e+00, 3.083677140087685e-01
 1.480000000000000e+00, 3.112012419161062e-01
 1.490000000000000e+00, 3.129996499003705e-01
 1.500000000000000e+00, 3.139122916770598e-01
 1.510000000000000e+00, 3.140685903291271e-01
 1.520000000000000e+00, 3.135827093114196e-01
 1.530000000000000e+00, 3.125581538282620e-01
 1.540000000000000e+00, 3.110904906570893e-01
 1.550000000000000e+00, 3.092692548548679e-01
 1.560000000000000e+00, 3.071802495392487e-01
 1.570000000000000e+00, 3.049084514610118e-01
 1.580000000000000e+00, 3.025419034260944e-01
 1.590000000000000e+00, 3.001769592410481e-01
 1.600000000000000e+00, 2.979131535638121e-01
 1.610000000000000e+00, 2.958901188097129e-01
 1.620000000000000e+00, 2.942264096131517e-01
 1.630000000000000e+00, 2.930426816487016e-01
 1.640000000000000e+00, 2.924409462575120e-01
 1.650000000000000e+00, 2.924947084984482e-01
 1.660000000000000e+00, 2.932440507549461e-01
 1.670000000000000e+00, 2.946948483758337e-01
 1.680000000000000e+00, 2.968211606953551e-01
 1.690000000000000e+00, 2.995701716417934e-01
 1.700000000000000e+00, 3.028669627532373e-01
 1.710000000000000e+00, 3.066174832379457e-01
 1.720000000000000e+00, 3.107114080504176e-01
 1.730000000000000e+00, 3.150263921545765e-01
 1.740000000000000e+00, 3.194332062652792e-01
 1.750000000000000e+00, 3.238016370805132e-01
 1.760000000000000e+00, 3.280058517936551e-01
 1.770000000000000e+00, 3.319234886281631e-01
 1.780000000000000e+00, 3.354242712983327e-01
 1.790000000000000e+00, 3.383522656398388e-01
 1.800000000000000e+00, 3.405115147225353e-01
 1.810000000000000e+00, 3.416643137824437e-01
 1.820000000000000e+00, 3.415515913247562e-01
 1.830000000000000e+00, 3.399237109250947e-01
 1.840000000000000e+00, 3.365902185813714e-01
 1.850000000000000e+00, 3.314659315756051e-01
 1.860000000000000e+00, 3.245998559321499e-01
 1.870000000000000e+00, 3.161735194605942e-01
 1.880000000000000e+00, 3.064721839458432e-01
 1.890000000000000e+00, 2.958441943980673e-01
 1.900000000000000e+00, 2.846533918832487e-01
 1.910000000000000e+00, 2.732343658955715e-01
 1.920000000000000e+00, 2.618565945301679e-01
 1.930000000000000e+00, 2.507006995754976e-01
 1.940000000000000e+00, 2.398481308294585e-01
 1.950000000000000e+00, 2.292853139199299e-01
 1.960000000000000e+00, 2.189204232392108e-01
 1.970000000000000e+00, 2.086086786243055e-01
 1.980000000000000e+00, 1.981814153292384e-01
 1.990000000000000e+00, 1.874749804625334e-01
 2.000000000000000e+00, 1.763575987798740e-01
 2.010000000000000e+00, 1.647514151864972e-01
 2.020000000000000e+00, 1.526504461938651e-01
 2.030000000000000e+00, 1.400936689114120e-01
 2.040000000000000e+00, 1.271852315670378e-01
 2.050000000000000e+00, 1.140738685416179e-01
 2.060000000000000e+00, 1.009056298944028e-01
 2.070000000000000e+00, 8.780315272635006e-02
 2.080000000000000e+00, 7.486875172114982e-02
 2.090000000000000e+00, 6.215250391113107e-02
 2.100000000000000e+00, 4.965668290500475e-02
 2.110000000000000e+00, 3.733890219539832e-02
 2.120000000000000e+00, 2.511679553253889e-02
 2.130000000000000e+00, 1.287625554790255e-02
 2.140000000000000e+00, 4.827010864747430e-04
 2.150000000000000e+00,-1.220740832000323e-02
 2.160000000000000e+00,-2.533725238910133e-02
 2.170000000000000e+00,-3.904072680786769e-02
 2.180000000000000e+00,-5.342920714830220e-02
 2.190000000000000e+00,-6.857587124949366e-02
 2.200000000000000e+00,-8.450337542679867e-02
 2.210000000000000e+00,-1.011748619306154e-01
 2.220000000000000e+00,-1.184886226252255e-01
 2.230000000000000e+00,-1.362604127187151e-01
 2.240000000000000e+00,-1.542398911676559e-01
 2.250000000000000e+00,-1.721153959228971e-01
 2.260000000000000e+00,-1.895461407886052e-01
 2.270000000000000e+00,-2.061997225253386e-01
 2.280000000000000e+00,-2.217868556704575e-01
 2.290000000000000e+00,-2.360759993524677e-01
 2.300000000000000e+00,-2.489089750722763e-01
 2.310000000000000e+00,-2.601912952670421e-01
 2.320000000000000e+00,-2.698831349130831e-01
 2.330000000000000e+00,-2.779817914961069e-01
 2.340000000000000e+00,-2.844981360065839e-01
 2.350000000000000e+00,-2.894332745845397e-01
 2.360000000000000e+00,-2.927592470913959e-01
 2.370000000000000e+00,-2.944115653485962e-01
 2.380000000000000e+00,-2.942786181624662e-01
 2.390000000000000e+00,-2.922175656167710e-01
 2.400000000000000e+00,-2.880845476734878e-01
 2.410000000000000e+00,-2.817833081404778e-01
 2.420000000000000e+00,-2.733113768760373e-01
 2.430000000000000e+00,-2.628038847205487e-01
 2.440000000000000e+00,-2.505007226685619e-01
 2.450000000000000e+00,-2.367123177777381e-01
 2.460000000000000e+00,-2.217441989376876e-01
 2.470000000000000e+00,-2.058317683457031e-01
 2.480000000000000e+00,-1.891047857804118e-01
 2.490000000000000e+00,-1.715915165723506e-01
 2.500000000000000e+00,-1.532342600394949e-01
 2.510000000000000e+00,-1.339491750494071e-01
 2.520000000000000e+00,-1.136581908883102e-01
 2.530000000000000e+00,-9.233249042745602e-02
 2.540000000000000e+00,-7.002246926721252e-02
 2.550000000000000e+00,-4.687021580353384e-02
 2.560000000000000e+00,-2.310476079392250e-02
 2.570000000000000e+00, 9.750071796885005e-04
 2.580000000000000e+00, 2.502636468495504e-02
 2.590000000000000e+00, 4.869422416478315e-02
 2.600000000000000e+00, 7.164323657320273e-02
 2.610000000000000e+00, 9.358736311415197e-02
 2.620000000000000e+00, 1.143131583977993e-01
 2.630000000000000e+00, 1.336898721062097e-01
 2.640000000000000e+00, 1.516640398063910e-01
 2.650000000000000e+00, 1.682442229605857e-01
 2.660000000000000e+00, 1.834821811054654e-01
 2.670000000000000e+00, 1.974543548234264e-01
 2.680000000000000e+00, 2.102446576713083e-01
 2.690000000000000e+00, 2.219273133688245e-01
 2.700000000000000e+00, 2.325508382149554e-01
 2.710000000000000e+00, 2.421261291090570e-01
 2.720000000000000e+00, 2.506213388653561e-01
 2.730000000000000e+00, 2.579664908101221e-01
 2.740000000000000e+00, 2.640684043296038e-01
 2.750000000000000e+00, 2.688316309866755e-01
 2.760000000000000e+00, 2.721796081700074e-01
 2.770000000000000e+00, 2.740738231288655e-01
 2.780000000000000e+00, 2.745316126197765e-01
 2.790000000000000e+00, 2.736420334429350e-01
 2.800000000000000e+00, 2.715741579172795e-01
 2.810000000000000e+00, 2.685760637791256e-01
 2.820000000000000e+00, 2.649593704469571e-01
 2.830000000000000e+00, 2.610706346936628e-01
 2.840000000000000e+00, 2.572535101701210e-01
 2.850000000000000e+00, 2.538103484674360e-01
 2.860000000000000e+00, 2.509731029606056e-01
 2.870000000000000e+00, 2.488897242283477e-01
 2.880000000000000e+00, 2.476148203115078e-01
 2.890000000000000e+00, 2.471667784371504e-01
 2.900000000000000e+00, 2.474774794162695e-01
 2.910000000000000e+00, 2.484491267988166e-01
 2.920000000000000e+00, 2.499575292607293e-01
 2.930000000000000e+00, 2.518653527932423e-01
 2.940000000000000e+00, 2.540450087792000e-01
 2.950000000000000e+00, 2.563582476471484e-01
 2.960000000000000e+00, 2.587257776473799e-01
 2.970000000000000e+00, 2.610917100268084e-01
 2.980000000000000e+00, 2.634579669904742e-01
 2.990000000000000e+00, 2.658219555062128e-01
 3.000000000000000e+00, 2.681688178834897e-01
 3.010000000000000e+00, 2.704238454673518e-01
 3.020000000000000e+00, 2.724277349642151e-01
 3.030000000000000e+00, 2.739418972240119e-01
 3.040000000000000e+00, 2.746861006605902e-01
 3.050000000000000e+00, 2.743975509387236e-01
 3.060000000000000e+00, 2.728849867738164e-01
 3.070000000000000e+00, 2.700612447839653e-01
 3.080000000000000e+00, 2.659436150353860e-01
 3.090000000000000e+00, 2.606292404397252e-01
 3.100000000000000e+00, 2.542612506967424e-01
 3.110000000000000e+00, 2.469944751307341e-01
 3.120000000000000e+00, 2.389711754955366e-01
 3.130000000000000e+00, 2.303058212997712e-01
 3.140000000000000e+00, 2.210771988530895e-01
 3.150000000000000e+00, 2.113283229940933e-01
 3.160000000000000e+00, 2.010734826546287e-01
 3.170000000000000e+00, 1.903090621759536e-01
 3.180000000000000e+00, 1.790258176941823e-01
 3.190000000000000e+00, 1.672264813158276e-01
 3.200000000000000e+00, 1.549230818857659e-01
 3.210000000000000e+00, 1.421693230187655e-01
 3.220000000000000e+00, 1.290501167308700e-01
 3.230000000000000e+00, 1.156866912186440e-01
 3.240000000000000e+00, 1.022323456455708e-01
 3.250000000000000e+00, 8.885922838601251e-02
 3.260000000000000e+00, 7.573743563196871e-02
 3.270000000000000e+00, 6.301217314595269e-02
 3.280000000000000e+00, 5.078483073136020e-02
 3.290000000000000e+00, 3.910023799709806e-02
 3.300000000000000e+00, 2.793993002085474e-02
 3.310000000000000e+00, 1.722267392767921e-02
 3.320000000000000e+00, 6.815128066759786e-03
 3.330000000000000e+00,-3.448143871498689e-03
 3.340000000000000e+00,-1.374203061690687e-02
 3.350000000000000e+00,-2.423209097426614e-02
 3.360000000000000e+00,-3.506168016283173e-02
 3.370000000000000e+00,-4.634586417385071e-02
 3.380000000000000e+00,-5.817209152703595e-02
 3.390000000000000e+00,-7.060335501747801e-02
 3.400000000000000e+00,-8.367783127781367e-02
 3.410000000000000e+00,-9.740640429182458e-02
 3.420000000000000e+00,-1.117498804201284e-01
 3.430000000000000e+00,-1.266288095103973e-01
 3.440000000000000e+00,-1.419058675581932e-01
 3.450000000000000e+00,-1.573914833915529e-01
 3.460000000000000e+00,-1.728568205831156e-01
 3.470000000000000e+00,-1.880563529095252e-01
 3.480000000000000e+00,-2.027553542562729e-01
 3.490000000000000e+00,-2.167548951680119e-01
 3.500000000000000e+00,-2.299085784644063e-01
 3.510000000000000e+00,-2.421280187283206e-01
 3.520000000000000e+00,-2.533773042372669e-01
 3.530000000000000e+00,-2.636605078044657e-01
 3.540000000000000e+00,-2.730050393070424e-01
 3.550000000000000e+00,-2.814411771491195e-01
 3.560000000000000e+00,-2.889802801798327e-01
 3.570000000000000e+00,-2.955955799735248e-01
 3.580000000000000e+00,-3.012090315982539e-01
 3.590000000000000e+00,-3.056874673770789e-01
 3.600000000000000e+00,-3.088493729201885e-01
 3.610000000000000e+00,-3.104825879460568e-01
 3.620000000000000e+00,-3.103736069212745e-01
 3.630000000000000e+00,-3.083456745909640e-01
 3.640000000000000e+00,-3.042925245057391e-01
 3.650000000000000e+00,-2.982098888645217e-01
 3.660000000000000e+00,-2.901767873612828e-01
