Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.Left.ShoulderArm.InterfaceFolder.HipFlexion.Vel
 1.030000000000000e+00, 1.664344109133827e+00
 1.040000000000000e+00, 1.770414808786876e+00
 1.050000000000000e+00, 1.862870589037818e+00
 1.060000000000000e+00, 1.938816328294652e+00
 1.070000000000000e+00, 1.995723898265769e+00
 1.080000000000000e+00, 2.032490265741043e+00
 1.090000000000000e+00, 2.049738179085458e+00
 1.100000000000000e+00, 2.049441984097766e+00
 1.110000000000000e+00, 2.034074068586561e+00
 1.120000000000000e+00, 2.005828976646568e+00
 1.130000000000000e+00, 1.966254974640261e+00
 1.140000000000000e+00, 1.916434091823300e+00
 1.150000000000000e+00, 1.855133291470794e+00
 1.160000000000000e+00, 1.780473015274846e+00
 1.170000000000000e+00, 1.690478645354108e+00
 1.180000000000000e+00, 1.582301679932548e+00
 1.190000000000000e+00, 1.454683488056459e+00
 1.200000000000000e+00, 1.308039338664669e+00
 1.210000000000000e+00, 1.144468164055190e+00
 1.220000000000000e+00, 9.676161074813886e-01
 1.230000000000000e+00, 7.822008083026292e-01
 1.240000000000000e+00, 5.948859966271366e-01
 1.250000000000000e+00, 4.122287011607129e-01
 1.260000000000000e+00, 2.398537526692111e-01
 1.270000000000000e+00, 8.313021666941363e-02
 1.280000000000000e+00,-5.434092928625619e-02
 1.290000000000000e+00,-1.703936717188435e-01
 1.300000000000000e+00,-2.643249040481546e-01
 1.310000000000000e+00,-3.369038157925411e-01
 1.320000000000000e+00,-3.901208617538575e-01
 1.330000000000000e+00,-4.266911837422334e-01
 1.340000000000000e+00,-4.494984794954500e-01
 1.350000000000000e+00,-4.611566608907487e-01
 1.360000000000000e+00,-4.637393712962420e-01
 1.370000000000000e+00,-4.592693273825129e-01
 1.380000000000000e+00,-4.493505014184076e-01
 1.390000000000000e+00,-4.350803241225986e-01
 1.400000000000000e+00,-4.174598594767308e-01
 1.410000000000000e+00,-3.971554235512649e-01
 1.420000000000000e+00,-3.748251912141088e-01
 1.430000000000000e+00,-3.512570648764377e-01
 1.440000000000000e+00,-3.273188607546687e-01
 1.450000000000000e+00,-3.037244670536842e-01
 1.460000000000000e+00,-2.808549110631575e-01
 1.470000000000000e+00,-2.588539464658532e-01
 1.480000000000000e+00,-2.377598432822478e-01
 1.490000000000000e+00,-2.173734435375966e-01
 1.500000000000000e+00,-1.970494154808709e-01
 1.510000000000000e+00,-1.757249837312123e-01
 1.520000000000000e+00,-1.521965624386314e-01
 1.530000000000000e+00,-1.254854020362348e-01
 1.540000000000000e+00,-9.522734433050349e-02
 1.550000000000000e+00,-6.208019557807014e-02
 1.560000000000000e+00,-2.801849149876279e-02
 1.570000000000000e+00, 3.665796178431523e-03
 1.580000000000000e+00, 2.880190569385648e-02
 1.590000000000000e+00, 4.320197711010782e-02
 1.600000000000000e+00, 4.358151916748759e-02
 1.610000000000000e+00, 2.816119900754792e-02
 1.620000000000000e+00,-3.104507797746429e-03
 1.630000000000000e+00,-4.861611350219271e-02
 1.640000000000000e+00,-1.054987679687851e-01
 1.650000000000000e+00,-1.702160604568170e-01
 1.660000000000000e+00,-2.393276977445540e-01
 1.670000000000000e+00,-3.100595351261444e-01
 1.680000000000000e+00,-3.804006815783132e-01
 1.690000000000000e+00,-4.488933465464276e-01
 1.700000000000000e+00,-5.144834500926703e-01
 1.710000000000000e+00,-5.765895165061066e-01
 1.720000000000000e+00,-6.350543749658260e-01
 1.730000000000000e+00,-6.899901877480931e-01
 1.740000000000000e+00,-7.414584267508983e-01
 1.750000000000000e+00,-7.891284982756950e-01
 1.760000000000000e+00,-8.322571872448213e-01
 1.770000000000000e+00,-8.698230758692493e-01
 1.780000000000000e+00,-9.008435253393257e-01
 1.790000000000000e+00,-9.247648489684391e-01
 1.800000000000000e+00,-9.417607800711704e-01
 1.810000000000000e+00,-9.528318397023442e-01
 1.820000000000000e+00,-9.596599429834812e-01
 1.830000000000000e+00,-9.642936258983005e-01
 1.840000000000000e+00,-9.688655818623264e-01
 1.850000000000000e+00,-9.754075668671998e-01
 1.860000000000000e+00,-9.855618441403886e-01
 1.870000000000000e+00,-1.000195634962623e+00
 1.880000000000000e+00,-1.019297107664058e+00
 1.890000000000000e+00,-1.042238816244072e+00
 1.900000000000000e+00,-1.068043504575154e+00
 1.910000000000000e+00,-1.095201208069512e+00
 1.920000000000000e+00,-1.122767088303466e+00
 1.930000000000000e+00,-1.149241033296562e+00
 1.940000000000000e+00,-1.173036086561813e+00
 1.950000000000000e+00,-1.194068128188424e+00
 1.960000000000000e+00,-1.212493143836682e+00
 1.970000000000000e+00,-1.228566837243963e+00
 1.980000000000000e+00,-1.242312383655807e+00
 1.990000000000000e+00,-1.253483653555260e+00
 2.000000000000000e+00,-1.261769361157537e+00
 2.010000000000000e+00,-1.267060836262482e+00
 2.020000000000000e+00,-1.269816834929150e+00
 2.030000000000000e+00,-1.270961555294494e+00
 2.040000000000000e+00,-1.271593227926979e+00
 2.050000000000000e+00,-1.272821574961681e+00
 2.060000000000000e+00,-1.275515773880789e+00
 2.070000000000000e+00,-1.280221237649938e+00
 2.080000000000000e+00,-1.286918131676995e+00
 2.090000000000000e+00,-1.294958514426688e+00
 2.100000000000001e+00,-1.303104223382272e+00
 2.110000000000000e+00,-1.309637059325618e+00
 2.120000000000000e+00,-1.312645783536842e+00
 2.130000000000000e+00,-1.310217040571155e+00
 2.140000000000000e+00,-1.300581588191458e+00
 2.150000000000000e+00,-1.282321248045855e+00
 2.160000000000000e+00,-1.254549411618437e+00
 2.170000000000000e+00,-1.217044355569599e+00
 2.180000000000000e+00,-1.170410752225330e+00
 2.190000000000000e+00,-1.116017447714027e+00
 2.200000000000000e+00,-1.055517130090385e+00
 2.210000000000000e+00,-9.905417218542687e-01
 2.220000000000000e+00,-9.218487920483888e-01
 2.230000000000000e+00,-8.491554618182003e-01
 2.240000000000000e+00,-7.714845721577123e-01
 2.250000000000000e+00,-6.868338281693177e-01
 2.260000000000000e+00,-5.923555420447805e-01
 2.270000000000000e+00,-4.846190220757256e-01
 2.280000000000000e+00,-3.600891263762951e-01
 2.290000000000000e+00,-2.158515446249480e-01
 2.300000000000000e+00,-5.035196256379099e-02
 2.310000000000000e+00, 1.361648199162806e-01
 2.320000000000000e+00, 3.416351010845631e-01
 2.330000000000000e+00, 5.624937864049767e-01
 2.340000000000000e+00, 7.942002506450060e-01
 2.350000000000000e+00, 1.031925751997388e+00
 2.360000000000000e+00, 1.271152865728908e+00
 2.370000000000000e+00, 1.507696490422027e+00
 2.380000000000000e+00, 1.737043720471916e+00
 2.390000000000001e+00, 1.953363189462057e+00
 2.400000000000000e+00, 2.149789315032498e+00
 2.410000000000000e+00, 2.317781253975464e+00
 2.420000000000000e+00, 2.449245310844402e+00
 2.430000000000000e+00, 2.538951172265151e+00
 2.440000000000000e+00, 2.584636241934296e+00
 2.450000000000000e+00, 2.588073796431051e+00
 2.460000000000000e+00, 2.554315884904478e+00
 2.470000000000000e+00, 2.490312702280767e+00
 2.480000000000000e+00, 2.403439945578822e+00
 2.490000000000000e+00, 2.300572361688112e+00
 2.500000000000000e+00, 2.187784729564392e+00
 2.510000000000000e+00, 2.070302787578358e+00
 2.520000000000000e+00, 1.952423291475823e+00
 2.530000000000000e+00, 1.837394584233236e+00
 2.540000000000000e+00, 1.727345149686996e+00
 2.550000000000000e+00, 1.623306699187256e+00
 2.560000000000000e+00, 1.525197585469836e+00
 2.570000000000000e+00, 1.431701134063283e+00
 2.580000000000000e+00, 1.340409989374831e+00
 2.590000000000000e+00, 1.248494876474517e+00
